"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.205745000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
8.071110000E-3,2.277855873E-1,-1.667404175E-2,9.980058670E-2,2.492477774E-1
1.274673500E-2,4.587514400E-1,-4.989576340E-2,2.570333481E-1,5.282126589E-1
1.751725600E-2,7.182204723E-1,-1.026182175E-1,4.360179901E-1,8.464530897E-1
2.228772500E-2,9.174685478E-1,-1.310758591E-1,6.600933075E-1,1.137828015E0
2.705819300E-2,1.059548616E0,-1.431617737E-1,8.792304993E-1,1.384263282E0
3.182866200E-2,1.072267294E0,-1.609959602E-1,1.114295959E0,1.554777262E0
3.659913100E-2,9.913386106E-1,-1.797938347E-1,1.343273163E0,1.679125026E0
4.136960000E-2,8.749802113E-1,-2.167911530E-1,1.585626602E0,1.823951890E0
4.614012000E-2,7.768386602E-1,-2.387599945E-1,1.770479679E0,1.948097260E0
5.091058900E-2,6.478809118E-1,-2.757363319E-1,1.826670647E0,1.957678690E0
5.568105800E-2,4.960831404E-1,-3.271145821E-1,1.788817406E0,1.884932397E0
6.045152700E-2,3.422033787E-1,-3.638043404E-1,1.656442165E0,1.730103291E0
6.522199500E-2,1.728014946E-1,-3.916430473E-1,1.472509861E0,1.533469897E0
6.999246400E-2,4.239320755E-3,-4.002714157E-1,1.259149075E0,1.321246219E0
7.476293300E-2,-1.276111603E-1,-3.841683865E-1,1.044123173E0,1.119849614E0
7.953345400E-2,-2.897529602E-1,-3.557713032E-1,8.044939041E-1,9.261427751E-1
8.430392300E-2,-4.100620747E-1,-2.657568455E-1,5.798091888E-1,7.582587299E-1
8.907439100E-2,-5.147352219E-1,-1.801321507E-1,3.808431625E-1,6.651627280E-1
9.384486000E-2,-5.398044586E-1,-7.988452911E-2,2.024116516E-1,5.820144914E-1
9.861532900E-2,-5.033571720E-1,1.673889160E-2,6.501531601E-2,5.078145571E-1
1.033857980E-1,-4.287445545E-1,7.394266129E-2,-6.147098541E-2,4.393951436E-1
1.081562660E-1,-2.968511581E-1,1.417794228E-1,-1.461029053E-1,3.599556552E-1
1.129267350E-1,-1.164972782E-1,1.996138096E-1,-1.933383942E-1,3.013254444E-1
1.176972560E-1,8.811509609E-2,2.619323730E-1,-2.094068527E-1,3.467334252E-1
1.224677250E-1,3.121919632E-1,3.288896084E-1,-1.909146309E-1,4.920168622E-1
1.272381930E-1,4.983737469E-1,3.936927319E-1,-1.642999649E-1,6.560219792E-1
1.320086620E-1,6.649646759E-1,4.728531837E-1,-1.642746925E-1,8.323186458E-1
1.367791310E-1,7.302091122E-1,5.384812355E-1,-1.967616081E-1,9.283762809E-1
1.415496000E-1,7.397275567E-1,5.659022331E-1,-2.398657799E-1,9.617576555E-1
1.463200680E-1,6.915766001E-1,5.960111618E-1,-3.140816689E-1,9.654816381E-1
1.510905370E-1,5.880987644E-1,6.033556461E-1,-3.675026894E-1,9.192151104E-1
1.558610580E-1,4.746409655E-1,6.442949772E-1,-3.800311089E-1,8.859027641E-1
1.606315270E-1,3.205107450E-1,6.622011662E-1,-3.344511986E-1,8.081430111E-1
1.654019950E-1,2.124025822E-1,7.297885418E-1,-2.253961563E-1,7.927859736E-1
1.701724640E-1,1.491702795E-1,7.433154583E-1,-1.334376335E-1,7.697890912E-1
1.749429330E-1,1.230342388E-1,7.599992752E-1,-2.988433838E-2,7.704734881E-1
1.797134020E-1,1.167988777E-1,7.587897778E-1,5.717277527E-2,7.698523436E-1
1.844838700E-1,1.042803526E-1,7.447276115E-1,1.469516754E-1,7.662169420E-1
1.892543910E-1,7.362186909E-2,7.414271832E-1,2.347850800E-1,7.811904258E-1
1.940248600E-1,3.193020821E-2,7.907247543E-1,2.927293777E-1,8.437746523E-1
1.987953290E-1,-2.552652359E-2,7.909810543E-1,3.261861801E-1,8.559790043E-1
2.035657980E-1,-8.458495140E-2,7.853631973E-1,3.451032639E-1,8.620012926E-1
2.083362660E-1,-1.149997115E-1,7.644877434E-1,3.989877701E-1,8.699756802E-1
2.131067350E-1,-1.599705219E-1,7.427949905E-1,4.355649948E-1,8.758149522E-1
2.178772040E-1,-2.548650503E-1,7.063438892E-1,4.855880737E-1,8.942447434E-1
2.226477250E-1,-4.458863735E-1,6.414425373E-1,5.230083466E-1,9.401068648E-1
2.274181930E-1,-8.387622237E-1,5.977427959E-1,5.927095413E-1,1.188327867E0
2.321886620E-1,-1.035555959E0,6.546144485E-1,4.432296753E-1,1.302823382E0
2.369591310E-1,-1.101086855E0,6.859855652E-1,3.390464783E-1,1.340865755E0
2.417296000E-1,-1.038662434E0,6.691873074E-1,3.564510345E-1,1.285958259E0
2.465000680E-1,-9.289133549E-1,5.769703388E-1,5.377149582E-1,1.218569723E0
2.512705370E-1,-7.843385339E-1,4.949824810E-1,7.767782211E-1,1.209784690E0
2.560410060E-1,-6.468592286E-1,4.130594730E-1,9.862051010E-1,1.249658150E0
2.608115270E-1,-5.410844088E-1,3.493916988E-1,1.206950188E0,1.368055427E0
2.655819950E-1,-4.352479577E-1,3.502156734E-1,1.366309166E0,1.476107225E0
2.703524640E-1,-3.880454898E-1,3.741135597E-1,1.531402588E0,1.623494424E0
2.751229330E-1,-3.536506295E-1,4.650974274E-1,1.699972153E0,1.797578845E0
2.798934020E-1,-2.231160700E-1,5.606083870E-1,1.796870232E0,1.895469645E0
2.846638700E-1,2.628835291E-2,6.956098080E-1,1.934005737E0,2.055466437E0
2.894343390E-1,3.086504340E-1,8.150243759E-1,2.082633972E0,2.257630192E0
2.942048080E-1,6.144979596E-1,9.400446415E-1,2.261517525E0,2.525025383E0
2.989753290E-1,8.967110515E-1,1.063281298E0,2.406711578E0,2.779733521E0
3.037457980E-1,1.097239852E0,1.120930910E0,2.502334595E0,2.953320135E0
3.085162660E-1,1.220090628E0,1.179682970E0,2.589238167E0,3.095872629E0
3.132867350E-1,1.275728822E0,1.199330568E0,2.712313652E0,3.228393282E0
3.180572040E-1,1.208020687E0,1.208732128E0,2.783787727E0,3.266469263E0
3.228276730E-1,1.039526701E0,1.198720455E0,2.809050560E0,3.226191492E0
3.275981410E-1,7.855665684E-1,1.179217339E0,2.776843071E0,3.117455021E0
3.323686620E-1,5.065400600E-1,1.174580336E0,2.633403778E0,2.927633388E0
3.371391310E-1,1.448059678E-1,1.126374960E0,2.393981934E0,2.649686551E0
3.419096000E-1,-2.428371608E-1,1.070576906E0,2.179944038E0,2.440750051E0
3.466800680E-1,-5.782268047E-1,1.038077354E0,2.099271774E0,2.412238134E0
3.514505370E-1,-7.836186290E-1,1.033493996E0,2.065147400E0,2.438647531E0
3.562210060E-1,-9.522958398E-1,1.011438131E0,2.133749008E0,2.546126330E0
3.609914750E-1,-1.073794603E0,9.601366520E-1,2.164536476E0,2.600022192E0
3.657619430E-1,-1.127176523E0,8.444173336E-1,2.091861725E0,2.521795595E0
3.705324640E-1,-1.162592173E0,6.721146107E-1,2.028017044E0,2.432326405E0
3.753029330E-1,-1.231890917E0,5.196561813E-1,1.937322617E0,2.353893944E0
3.800734020E-1,-1.273275256E0,4.320549965E-1,1.746687889E0,2.204273118E0
3.848438700E-1,-1.320950985E0,3.970549107E-1,1.662821770E0,2.160449107E0
3.896143390E-1,-1.392685056E0,3.172214031E-1,1.719926834E0,2.235698861E0
3.943848080E-1,-1.430205107E0,1.787703037E-1,1.795893669E0,2.302754772E0
3.991552770E-1,-1.479280949E0,2.975058556E-2,1.821968079E0,2.347067298E0
4.039257450E-1,-1.530160069E0,-1.792259216E-1,1.749014854E0,2.330786290E0
4.086962140E-1,-1.672063589E0,-3.410804272E-1,1.660880089E0,2.381313749E0
4.134667350E-1,-1.831865311E0,-4.423820972E-1,1.588399887E0,2.464639251E0
4.182372040E-1,-1.973195314E0,-5.386006832E-1,1.559787750E0,2.572261315E0
4.230076730E-1,-2.079380035E0,-6.065883636E-1,1.588823318E0,2.686285598E0
4.277781410E-1,-2.115452290E0,-6.636013985E-1,1.627660751E0,2.750415374E0
4.325486100E-1,-2.129673004E0,-6.887726784E-1,1.621868134E0,2.764122130E0
4.373190790E-1,-2.077263117E0,-7.205717564E-1,1.628801346E0,2.736282065E0
4.420895480E-1,-1.982397199E0,-6.880071163E-1,1.617550850E0,2.649476023E0
4.468600680E-1,-1.916369915E0,-6.627976894E-1,1.609602928E0,2.588937237E0
4.516305370E-1,-1.805358887E0,-5.948772430E-1,1.637972832E0,2.509213949E0
4.564010060E-1,-1.699321985E0,-5.626845360E-1,1.598037720E0,2.399590309E0
4.611714750E-1,-1.619284034E0,-5.348391533E-1,1.566183090E0,2.315396980E0
4.659419430E-1,-1.565120339E0,-5.349349976E-1,1.568376541E0,2.279377569E0
4.707124120E-1,-1.555676222E0,-5.436985493E-1,1.542695045E0,2.257353455E0
4.754828810E-1,-1.564655662E0,-5.895583630E-1,1.546318054E0,2.277460412E0
4.802534020E-1,-1.587227583E0,-6.224858761E-1,1.538717270E0,2.296612920E0
4.850238700E-1,-1.656874895E0,-6.806004047E-1,1.572210312E0,2.383337281E0
4.897943390E-1,-1.780744314E0,-7.519705296E-1,1.599123001E0,2.508725645E0
4.945648080E-1,-1.944714308E0,-7.916138172E-1,1.650459290E0,2.670689432E0
4.993352770E-1,-2.089588165E0,-7.907350063E-1,1.711958885E0,2.814683601E0
5.041057450E-1,-2.177479267E0,-8.424959183E-1,1.759947777E0,2.923804287E0
5.088762140E-1,-2.210340500E0,-9.134590626E-1,1.768463135E0,2.974470448E0
5.136466830E-1,-2.189346313E0,-1.013105154E0,1.735365868E0,2.971719036E0
5.184172040E-1,-2.165442944E0,-1.145940304E0,1.658476830E0,2.958524584E0
5.231876730E-1,-2.148907423E0,-1.256983519E0,1.552167892E0,2.933775016E0
5.279581410E-1,-2.186057329E0,-1.350851774E0,1.416464806E0,2.934283508E0
5.327286100E-1,-2.221477509E0,-1.412755013E0,1.258448601E0,2.917967088E0
5.374990790E-1,-2.293324947E0,-1.449214458E0,1.068552017E0,2.915710081E0
5.422695480E-1,-2.382785320E0,-1.459543705E0,8.278150558E-1,2.914311493E0
5.470400160E-1,-2.462073565E0,-1.433624029E0,6.313495636E-1,2.918164897E0
5.518104850E-1,-2.492049217E0,-1.385222673E0,4.525146484E-1,2.886853073E0
5.565810060E-1,-2.502737522E0,-1.401724339E0,2.625932693E-1,2.880534924E0
5.613514750E-1,-2.528585911E0,-1.410905838E0,6.632518768E-2,2.896342698E0
5.661219430E-1,-2.558677673E0,-1.419737816E0,-5.083370209E-2,2.926614250E0
5.708924120E-1,-2.634464502E0,-1.418807030E0,-1.226615906E-1,2.994739132E0
5.756628810E-1,-2.699627638E0,-1.389440298E0,-1.375274658E-1,3.039316951E0
5.804333500E-1,-2.769102812E0,-1.386808634E0,-1.574497223E-1,3.100960978E0
5.852038180E-1,-2.793485165E0,-1.413544178E0,-1.086206436E-1,3.132645041E0
5.899742870E-1,-2.785014153E0,-1.439015627E0,-2.467918396E-2,3.134912896E0
5.947447560E-1,-2.731772423E0,-1.442354918E0,8.949661255E-2,3.090465648E0
5.995152770E-1,-2.719181776E0,-1.464530230E0,2.124376297E-1,3.095791994E0
6.042857450E-1,-2.677526712E0,-1.467809677E0,3.157043457E-1,3.069736760E0
6.090562140E-1,-2.658690929E0,-1.492903471E0,4.161157608E-1,3.077425963E0
6.138266830E-1,-2.645291805E0,-1.516187906E0,4.995298386E-1,3.089647967E0
6.185971520E-1,-2.619964838E0,-1.535536051E0,5.352687836E-1,3.083601691E0
6.233676200E-1,-2.570254564E0,-1.615153551E0,5.426845551E-1,3.083737350E0
6.281380890E-1,-2.521876335E0,-1.692920208E0,5.124940872E-1,3.080339148E0
6.329086100E-1,-2.488706589E0,-1.766427755E0,4.473199844E-1,3.084480940E0
6.376790790E-1,-2.496657372E0,-1.821262836E0,4.352207184E-1,3.120851394E0
6.424495480E-1,-2.543038368E0,-1.857555628E0,3.950605392E-1,3.173898216E0
6.472200160E-1,-2.575347424E0,-1.908487082E0,3.150978088E-1,3.220873161E0
6.519904850E-1,-2.622273445E0,-1.942784071E0,2.145185471E-1,3.270588047E0
6.567609540E-1,-2.667331457E0,-1.967434168E0,1.432666779E-1,3.317526134E0
6.615314230E-1,-2.727386713E0,-1.946682930E0,8.918666840E-2,3.352039226E0
6.663018910E-1,-2.712274313E0,-1.930440903E0,3.541278839E-2,3.329307449E0
