"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.856354171E-2,-3.160610497E-1,-2.864228189E-1,7.863666862E-2,4.337238107E-1
3.850554174E-2,-4.053005278E-1,-2.250733525E-1,-1.578274369E-2,4.638702694E-1
4.844854167E-2,-4.451973438E-1,-2.161043584E-1,-1.000811160E-1,5.048940468E-1
5.839054170E-2,-4.398249686E-1,-2.382390052E-1,-1.679312289E-1,5.276407151E-1
6.833354174E-2,-4.197716415E-1,-2.430942208E-1,-1.896229386E-1,5.208261610E-1
7.827554177E-2,-3.905664682E-1,-2.204889208E-1,-1.675888449E-1,4.787938505E-1
8.821854170E-2,-3.517794013E-1,-1.828672439E-1,-1.042870879E-1,4.099572816E-1
9.816054173E-2,-2.925724685E-1,-1.478520334E-1,-4.152363539E-2,3.304286389E-1
1.081035418E-1,-2.141785920E-1,-1.352286488E-1,1.642541587E-2,2.538287828E-1
1.180465417E-1,-1.400351524E-1,-1.300003678E-1,6.521487981E-2,2.018982914E-1
1.279885417E-1,-7.175622880E-2,-1.211349741E-1,8.652389795E-2,1.652544197E-1
1.379315418E-1,-2.273836359E-2,-1.051812917E-1,7.960025966E-2,1.338519280E-1
1.478735417E-1,6.506340578E-3,-9.735506028E-2,6.449720263E-2,1.169625127E-1
1.578165417E-1,1.939166337E-2,-9.434867650E-2,3.924019635E-2,1.040072227E-1
1.677585418E-1,1.791786961E-2,-1.066540778E-1,1.791520044E-2,1.096225194E-1
1.777015417E-1,4.888088442E-4,-1.057965085E-1,5.271893926E-3,1.059289054E-1
1.876435417E-1,-3.177352250E-2,-9.666479379E-2,8.791260421E-3,1.021319017E-1
1.975865418E-1,-5.725391209E-2,-8.247955143E-2,2.576456033E-2,1.036566420E-1
2.075285417E-1,-7.284805179E-2,-8.332031220E-2,3.067622520E-2,1.148483516E-1
2.174715417E-1,-8.926121145E-2,-7.900781929E-2,2.796102501E-2,1.224402642E-1
2.274145418E-1,-9.705148637E-2,-7.100369036E-2,9.538341314E-3,1.206295777E-1
2.373565417E-1,-1.061186120E-1,-8.442873508E-2,-5.579967517E-3,1.357221690E-1
2.472995417E-1,-1.230355427E-1,-9.950648248E-2,-8.552587591E-3,1.584690240E-1
2.572415418E-1,-1.433564276E-1,-1.127248332E-1,5.584117025E-3,1.824531055E-1
2.671845417E-1,-1.593359262E-1,-1.328487545E-1,4.203293845E-2,2.116683653E-1
2.771265417E-1,-1.685182005E-1,-1.732280999E-1,8.254405856E-2,2.553818320E-1
2.870695418E-1,-1.715270430E-1,-2.135230452E-1,1.113988757E-1,2.956743594E-1
2.970115417E-1,-1.718202680E-1,-2.435142100E-1,1.302053779E-1,3.252304036E-1
3.069545417E-1,-1.845821440E-1,-2.686730921E-1,1.263243407E-1,3.495906712E-1
3.168965417E-1,-2.091901153E-1,-2.710711956E-1,1.176530719E-1,3.620529557E-1
3.268395417E-1,-2.469814420E-1,-2.718107402E-1,1.214816421E-1,3.868316178E-1
3.367815417E-1,-2.859509885E-1,-2.980459630E-1,1.464197636E-1,4.382215320E-1
3.467245417E-1,-3.184529841E-1,-3.523986936E-1,1.983660609E-1,5.147292846E-1
3.566675417E-1,-3.392306864E-1,-4.460090101E-1,2.587907314E-1,6.172310251E-1
3.666095417E-1,-3.744925261E-1,-5.528600812E-1,3.242248595E-1,7.423076727E-1
3.765525417E-1,-4.155766666E-1,-6.110073328E-1,3.975498676E-1,8.390946453E-1
3.864945418E-1,-4.836502373E-1,-7.031063437E-1,4.694754779E-1,9.740037510E-1
3.964375417E-1,-5.781486630E-1,-7.646039724E-1,5.313872695E-1,1.096014389E0
4.063795417E-1,-7.081381083E-1,-7.643480301E-1,5.908975005E-1,1.197851137E0
4.163225418E-1,-8.610669971E-1,-7.571979165E-1,6.579198241E-1,1.321984702E0
4.262645417E-1,-1.004672408E0,-7.622345090E-1,7.068822980E-1,1.445700757E0
4.362075417E-1,-1.148227930E0,-8.040940166E-1,7.557066083E-1,1.592509669E0
4.461495418E-1,-1.300438404E0,-8.605317473E-1,8.132225871E-1,1.758688690E0
4.560925417E-1,-1.450850010E0,-9.094126821E-1,8.651630878E-1,1.918464059E0
4.660345417E-1,-1.600701928E0,-9.634050727E-1,8.905541897E-1,2.069657644E0
4.759775418E-1,-1.740023732E0,-1.010824084E0,8.891183138E-1,2.199995294E0
4.859195417E-1,-1.868345737E0,-9.904271364E-1,8.622635603E-1,2.283672515E0
4.958625417E-1,-2.005939007E0,-9.342826605E-1,8.235748410E-1,2.361133395E0
5.058055418E-1,-2.156803131E0,-9.486464262E-1,7.806771994E-1,2.482173781E0
5.157475417E-1,-2.289264202E0,-1.055183649E0,7.548844814E-1,2.631348267E0
5.256905417E-1,-2.353093386E0,-1.125109196E0,7.616987228E-1,2.717186804E0
5.356325418E-1,-2.347681284E0,-1.188571453E0,7.942554951E-1,2.748663548E0
5.455755417E-1,-2.303982496E0,-1.213765502E0,8.230155110E-1,2.731101713E0
5.555175417E-1,-2.213695526E0,-1.076353908E0,8.279021382E-1,2.596999724E0
5.654605418E-1,-2.110563993E0,-8.063682914E-1,7.882082462E-1,2.392902512E0
5.754025417E-1,-1.993113995E0,-5.706868172E-1,7.120605707E-1,2.192080540E0
5.853455417E-1,-1.844423890E0,-3.829965293E-1,6.453965902E-1,1.991261557E0
5.952875417E-1,-1.663369060E0,-2.321867645E-1,5.972805023E-1,1.782540692E0
6.052305417E-1,-1.454658747E0,-2.106202245E-1,6.149891615E-1,1.593299914E0
6.151735417E-1,-1.234155536E0,-2.609210908E-1,6.885226369E-1,1.437109294E0
6.251155417E-1,-1.024078369E0,-3.886843920E-1,7.781950235E-1,1.343651576E0
6.350585417E-1,-8.416594863E-1,-5.373762250E-1,8.315913677E-1,1.299503021E0
6.450005417E-1,-7.116463780E-1,-4.603586495E-1,8.170856833E-1,1.177284871E0
6.549435417E-1,-6.516464949E-1,-3.104192019E-1,7.445753217E-1,1.037012847E0
6.648855418E-1,-6.502723098E-1,-9.761239588E-2,6.534464955E-1,9.270245839E-1
6.748285417E-1,-6.583179235E-1,1.395644248E-1,5.893184543E-1,8.945149287E-1
