"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.106500007E-3,-5.295088806E0,5.493576050E0,6.219117279E0
8.946499998E-3,-6.446344757E0,5.294789429E0,5.880222015E0
1.899950000E-2,-7.120692444E0,5.611979828E0,5.110672302E0
2.905249999E-2,-7.031178589E0,5.891149292E0,4.383484497E0
3.910550000E-2,-6.402186584E0,5.976022797E0,3.829037476E0
4.915850000E-2,-5.760021973E0,5.798491974E0,3.605851593E0
5.921150000E-2,-5.293891296E0,5.550308075E0,3.733536072E0
6.926449999E-2,-5.172643433E0,5.240901489E0,4.264032898E0
7.931750000E-2,-5.304818573E0,4.590803375E0,5.015470276E0
8.937050000E-2,-5.525759125E0,4.006717987E0,5.498515778E0
9.942350000E-2,-5.801485748E0,4.000730438E0,5.586981812E0
1.094765000E-1,-6.071673889E0,4.562961273E0,5.437891846E0
1.195295000E-1,-6.299350433E0,5.020859070E0,5.222340088E0
1.295825000E-1,-6.531517639E0,5.160668335E0,5.121449890E0
1.396355000E-1,-6.682703247E0,5.097649384E0,4.991969147E0
1.496885000E-1,-6.790329437E0,5.148693237E0,4.819976807E0
1.597415000E-1,-7.144343262E0,5.337899780E0,4.765340424E0
1.697945000E-1,-7.677983551E0,5.833369446E0,4.873864746E0
1.798475000E-1,-7.613467712E0,6.392007751E0,4.985233154E0
1.899005000E-1,-7.201674042E0,6.721921692E0,4.776118011E0
1.999535000E-1,-6.776707764E0,6.534810791E0,4.654570770E0
2.100065000E-1,-6.082002411E0,6.183042297E0,4.671036530E0
2.200595000E-1,-5.767656097E0,5.946085052E0,4.646637268E0
2.301125000E-1,-5.565726013E0,5.899681549E0,4.364923096E0
2.401655000E-1,-5.377866669E0,6.059998169E0,4.140390015E0
2.502185000E-1,-5.255421295E0,6.549031219E0,4.280049591E0
2.602715000E-1,-5.188061371E0,6.922803955E0,4.480632477E0
2.703245000E-1,-5.439388733E0,7.096592560E0,4.663552094E0
2.803775000E-1,-5.445975037E0,6.829996948E0,4.508474579E0
2.904305000E-1,-5.418881378E0,6.712042236E0,4.221221924E0
3.004835000E-1,-5.496420135E0,7.028783569E0,3.990701294E0
3.105365000E-1,-5.673501892E0,7.304809570E0,3.921395416E0
3.205895000E-1,-5.799090729E0,7.473209381E0,3.799249420E0
3.306425000E-1,-5.832471313E0,7.608527985E0,3.597618713E0
3.406955000E-1,-5.621559906E0,7.566764832E0,3.573069763E0
3.507485000E-1,-4.859494629E0,7.499255219E0,3.842060394E0
3.608015000E-1,-4.054319000E0,7.434589691E0,3.915407867E0
3.708545000E-1,-4.065695343E0,7.251071320E0,3.895050201E0
3.809075000E-1,-4.619244232E0,6.853498077E0,4.132157135E0
3.909605000E-1,-5.110372925E0,6.754553833E0,4.252806244E0
4.010135000E-1,-5.753136292E0,7.070846100E0,4.031716003E0
4.110665000E-1,-6.095175018E0,7.741301880E0,3.677103424E0
4.211195000E-1,-6.063291321E0,8.315807190E0,3.488944702E0
4.311725000E-1,-5.753884735E0,8.438551941E0,3.264261932E0
