"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.663499996E-3,8.963792771E-2,5.899241567E-1,3.475713730E-2
1.271649999E-2,9.601566941E-2,5.816491842E-1,1.327241808E-1
2.276950000E-2,4.790733010E-2,5.616727471E-1,2.739150226E-1
3.282250000E-2,-2.443237975E-2,5.267949104E-1,3.853672445E-1
4.287550000E-2,-5.965045840E-2,4.315069020E-1,4.314455688E-1
5.292849999E-2,-6.002942473E-2,3.249037564E-1,4.420492053E-1
6.298150000E-2,-3.873442858E-2,2.779553533E-1,4.573155940E-1
7.303450000E-2,1.105130534E-3,3.192529976E-1,5.093976855E-1
8.308750000E-2,7.153031230E-2,4.367426038E-1,5.639473796E-1
9.314049999E-2,1.590167582E-1,5.242915750E-1,6.225560904E-1
1.031935000E-1,1.727583855E-1,6.118302941E-1,6.727618575E-1
1.132465000E-1,1.846102476E-1,6.893959045E-1,6.773324013E-1
1.232995000E-1,2.217158973E-1,7.251551151E-1,6.662390232E-1
1.333525000E-1,3.053527474E-1,7.206106782E-1,6.889663935E-1
1.434055000E-1,3.871198893E-1,7.846680880E-1,7.305429578E-1
1.534585000E-1,4.194312394E-1,9.357326627E-1,7.882397771E-1
1.635115000E-1,4.043264091E-1,1.031242609E0,8.877630830E-1
1.735645000E-1,3.700957298E-1,9.900498986E-1,9.829516411E-1
1.836175000E-1,3.374057114E-1,8.628495932E-1,1.075129151E0
1.936705000E-1,3.067404926E-1,7.481976151E-1,1.169637322E0
2.037235000E-1,2.908910811E-1,6.848049760E-1,1.256313682E0
2.137765000E-1,3.048878610E-1,6.066252589E-1,1.308979034E0
2.238295000E-1,3.123391271E-1,5.960218310E-1,1.343245268E0
2.338825000E-1,2.962118387E-1,6.027711034E-1,1.375520468E0
2.439355000E-1,2.465697825E-1,6.676186919E-1,1.417093039E0
2.539885000E-1,1.950088590E-1,7.332845330E-1,1.421682358E0
2.640415000E-1,1.462618858E-1,7.857356071E-1,1.417746067E0
2.740945000E-1,9.702830017E-2,7.719377875E-1,1.385057569E0
2.841475000E-1,3.697222471E-2,6.766986847E-1,1.352076530E0
2.942005000E-1,2.053066716E-2,5.901350379E-1,1.365479469E0
3.042535000E-1,3.353982791E-2,5.407981873E-1,1.413502932E0
3.143065000E-1,4.983198270E-2,5.443673730E-1,1.440726280E0
3.243595000E-1,2.399637178E-2,5.486803055E-1,1.396924615E0
3.344125000E-1,-5.415622145E-2,4.728066027E-1,1.338141441E0
3.444655000E-1,-1.419261247E-1,3.898639977E-1,1.311344147E0
3.545185000E-1,-1.830418706E-1,3.440712094E-1,1.265283704E0
3.645715000E-1,-1.623178422E-1,3.443249166E-1,1.221423388E0
3.746245000E-1,-1.220377982E-1,4.130762815E-1,1.244072437E0
3.846775000E-1,-5.555251613E-2,5.231621861E-1,1.268288374E0
3.947305000E-1,2.155786613E-3,6.261498332E-1,1.282133579E0
4.047835000E-1,2.412667684E-2,6.192181706E-1,1.274702191E0
4.148365000E-1,2.082302421E-2,6.005387902E-1,1.281371355E0
4.248895000E-1,-3.991140798E-2,5.992062688E-1,1.314077258E0
4.349425000E-1,-9.013862908E-2,5.183159709E-1,1.282447338E0
4.449955000E-1,-1.919751167E-1,4.766388834E-1,1.248834372E0
4.550485000E-1,-2.702400982E-1,4.999985397E-1,1.243308425E0
4.651015000E-1,-3.115111291E-1,5.339134336E-1,1.279247403E0
4.751545000E-1,-3.182103038E-1,5.247883797E-1,1.354716301E0
4.852075000E-1,-2.990209460E-1,4.190824628E-1,1.428139329E0
4.952605000E-1,-2.151087373E-1,2.938172221E-1,1.508648396E0
5.053135000E-1,-6.867324561E-2,2.052945495E-1,1.566786885E0
5.153665000E-1,7.466766983E-2,1.203596815E-1,1.594614983E0
5.254195000E-1,1.676212549E-1,4.927521572E-2,1.608943582E0
5.354725000E-1,2.123967111E-1,-2.181760408E-2,1.592384815E0
5.455255000E-1,2.482612431E-1,-4.977667332E-2,1.524324894E0
5.555785000E-1,2.442489266E-1,-1.863287017E-2,1.374648213E0
5.656315000E-1,1.937067956E-1,1.224411130E-1,1.208431482E0
5.756845000E-1,1.254121512E-1,2.591449022E-1,1.030666471E0
5.857375000E-1,6.269495189E-2,1.761120558E-1,7.807955742E-1
5.957905000E-1,1.561878528E-2,-1.012875959E-1,4.606913626E-1
6.058435000E-1,-6.397799123E-3,-4.119800627E-1,1.173349097E-1
6.158965000E-1,1.271171216E-2,-6.065266728E-1,-2.038878500E-1
6.259495000E-1,4.220214114E-2,-6.945499182E-1,-4.841162264E-1
6.360025000E-1,7.348202914E-2,-7.377517223E-1,-6.808048487E-1
6.460555000E-1,7.594250888E-2,-7.437771559E-1,-7.635754943E-1
6.561085000E-1,6.403232366E-2,-7.402852178E-1,-7.527334690E-1
6.661615000E-1,6.208439171E-2,-7.272273302E-1,-7.011699080E-1
6.762145000E-1,5.581291020E-2,-6.701717973E-1,-6.290009618E-1
6.862675000E-1,-7.989298552E-3,-5.685407519E-1,-5.852462053E-1
6.963205000E-1,-8.328751475E-2,-4.461192489E-1,-6.011103988E-1
7.063735000E-1,-1.224149093E-1,-2.938892543E-1,-6.550822258E-1
7.164265000E-1,-1.280978322E-1,-1.205206513E-1,-7.021759748E-1
7.264795000E-1,-1.185509637E-1,8.359817788E-3,-7.050876617E-1
7.365325000E-1,-1.267433763E-1,7.426825911E-2,-6.340312958E-1
7.465855000E-1,-1.511128098E-1,6.699801236E-2,-5.257521868E-1
7.566385000E-1,-1.743185222E-1,2.261989377E-2,-4.225568473E-1
7.666915000E-1,-1.972005218E-1,-2.851126157E-2,-3.490637243E-1
7.767445000E-1,-2.231322527E-1,-6.192647666E-2,-3.144852519E-1
7.867964167E-1,-2.350649089E-1,-8.339573443E-2,-3.190102577E-1
7.968494167E-1,-2.457154095E-1,-9.963542223E-2,-3.327529728E-1
8.069024167E-1,-2.447502166E-1,-9.067343920E-2,-3.490351140E-1
8.169554167E-1,-2.230108231E-1,-5.857223645E-2,-3.483642638E-1
8.270084167E-1,-1.989691108E-1,-1.908393018E-2,-3.363288641E-1
8.370614167E-1,-1.819587052E-1,1.053254958E-2,-3.326949775E-1
8.471144167E-1,-1.729646176E-1,1.177854091E-2,-3.520945013E-1
8.571674167E-1,-1.776195616E-1,2.001810819E-3,-3.839472234E-1
8.672204167E-1,-1.835655868E-1,-1.083513349E-2,-4.113282263E-1
8.772734167E-1,-1.831485331E-1,-3.427628055E-2,-4.258928001E-1
8.873264167E-1,-1.746254414E-1,-6.972447783E-2,-4.325884581E-1
8.973794167E-1,-1.760102808E-1,-1.348198652E-1,-4.350033998E-1
9.074324167E-1,-1.742551029E-1,-2.253242284E-1,-4.422334731E-1
9.174854167E-1,-1.844992191E-1,-3.152136505E-1,-4.647997916E-1
9.275384167E-1,-1.948689073E-1,-3.840621710E-1,-4.839356244E-1
9.375914167E-1,-2.069229037E-1,-4.324052036E-1,-4.951962829E-1
9.476444167E-1,-2.047356814E-1,-4.695158303E-1,-5.100899935E-1
9.576974167E-1,-1.889620423E-1,-4.959096313E-1,-5.136581063E-1
9.677504167E-1,-1.699665040E-1,-5.063844919E-1,-5.162377357E-1
9.778034167E-1,-1.614459753E-1,-4.972844720E-1,-5.277976990E-1
9.878564167E-1,-1.538302749E-1,-4.827756286E-1,-5.404756069E-1
9.979094167E-1,-1.513005495E-1,-4.704864621E-1,-5.394598842E-1
1.007962417E0,-1.402022541E-1,-4.654554427E-1,-5.314119458E-1
1.018015417E0,-1.189960390E-1,-4.484194517E-1,-5.218051076E-1
1.028068417E0,-8.942028135E-2,-4.492934942E-1,-5.121307373E-1
1.038121417E0,-7.943821698E-2,-4.475030601E-1,-4.897159934E-1
1.048174417E0,-9.632777423E-2,-4.377942681E-1,-4.532355368E-1
1.058227417E0,-1.237114593E-1,-4.277733266E-1,-4.260750413E-1
1.068280417E0,-1.545734555E-1,-4.173924625E-1,-4.205108881E-1
1.078333417E0,-1.814476699E-1,-3.972757459E-1,-4.327957928E-1
1.088386417E0,-1.989478916E-1,-3.829089403E-1,-4.484075010E-1
1.098439417E0,-2.044651657E-1,-3.687712848E-1,-4.513558745E-1
1.108492417E0,-2.048552781E-1,-3.423757255E-1,-4.481844902E-1
1.118545417E0,-2.004884928E-1,-3.087826073E-1,-4.480409622E-1
1.128598417E0,-1.877938062E-1,-3.004995584E-1,-4.603078663E-1
1.138651417E0,-1.803167164E-1,-3.063907325E-1,-4.727941155E-1
1.148704417E0,-1.947987974E-1,-3.127940893E-1,-4.615859091E-1
1.158757417E0,-2.070802301E-1,-3.025401235E-1,-4.343598783E-1
1.168810417E0,-2.180672437E-1,-3.169597387E-1,-4.061535001E-1
1.178863417E0,-2.275038958E-1,-3.262879848E-1,-3.893721104E-1
1.188916417E0,-2.231352031E-1,-3.377832174E-1,-3.928152621E-1
1.198969417E0,-2.108388543E-1,-3.450765610E-1,-4.053949714E-1
1.209022417E0,-1.995812058E-1,-3.484489620E-1,-4.242429435E-1
1.219075417E0,-2.001444697E-1,-3.714019358E-1,-4.502092898E-1
1.229128417E0,-2.058754563E-1,-4.007435143E-1,-4.701396823E-1
1.239181417E0,-2.096206695E-1,-4.258824289E-1,-4.713660777E-1
1.249234417E0,-2.078949362E-1,-4.390815794E-1,-4.479917884E-1
1.259287417E0,-1.957131028E-1,-4.547076821E-1,-4.010032415E-1
1.269340417E0,-1.923448443E-1,-4.722118974E-1,-3.681531549E-1
1.279393417E0,-2.006275505E-1,-4.979753196E-1,-3.645557463E-1
1.289446417E0,-2.354011089E-1,-5.163886547E-1,-3.727765083E-1
1.299499417E0,-2.779975533E-1,-5.166160464E-1,-3.778335750E-1
1.309552417E0,-2.955178618E-1,-5.080762506E-1,-3.808008730E-1
1.319605417E0,-2.891923189E-1,-5.099292994E-1,-3.784082830E-1
1.329658417E0,-2.841004133E-1,-5.364668369E-1,-3.748445511E-1
1.339711417E0,-2.962366939E-1,-5.853542089E-1,-3.694261014E-1
1.349764417E0,-3.138966560E-1,-6.178830266E-1,-3.522803485E-1
1.359817417E0,-3.340658545E-1,-6.272626519E-1,-3.309199214E-1
1.369870417E0,-3.415947855E-1,-6.244210601E-1,-3.112703264E-1
1.379923417E0,-3.460196257E-1,-6.452589631E-1,-3.070561290E-1
1.389976417E0,-3.503971398E-1,-6.732498407E-1,-3.102134466E-1
1.400029417E0,-3.642687500E-1,-7.039014697E-1,-3.212072253E-1
1.410082417E0,-3.876312971E-1,-7.238724828E-1,-3.324417472E-1
1.420135417E0,-4.044710100E-1,-7.353776097E-1,-3.372910917E-1
1.430188417E0,-3.970003128E-1,-7.753579617E-1,-3.289338052E-1
1.440241417E0,-3.744569421E-1,-8.084799647E-1,-2.971116900E-1
1.450294417E0,-3.449415863E-1,-8.224081397E-1,-2.508236766E-1
1.460347417E0,-3.105591238E-1,-8.223444819E-1,-1.982353032E-1
1.470400417E0,-2.820372283E-1,-8.062696457E-1,-1.509070992E-1
1.480453417E0,-2.581180632E-1,-7.887055874E-1,-1.221654639E-1
1.490506417E0,-2.279711068E-1,-7.562298179E-1,-1.082819849E-1
1.500559417E0,-1.932402849E-1,-6.911016703E-1,-1.030179858E-1
1.510612417E0,-1.419610232E-1,-5.983844399E-1,-8.389730752E-2
1.520665417E0,-8.928902447E-2,-4.909283519E-1,-4.075542092E-2
1.530718417E0,-4.222143441E-2,-4.041149020E-1,1.563707180E-2
1.540771417E0,-8.251218125E-3,-3.535625041E-1,5.917602777E-2
1.550824417E0,3.211500589E-3,-3.039412200E-1,7.027575374E-2
1.560877417E0,9.696031921E-3,-2.153929621E-1,8.047592640E-2
1.570930417E0,1.776268892E-2,-1.570017040E-1,8.100308478E-2
1.580983417E0,2.043357305E-2,-1.193323582E-1,8.176128566E-2
1.591036417E0,2.753447182E-2,-1.098831296E-1,8.853744715E-2
1.601089417E0,3.166396916E-2,-1.183306798E-1,9.850672632E-2
1.611142417E0,3.306311741E-2,-1.515226215E-1,1.052424908E-1
1.621195417E0,3.849756345E-2,-1.904737502E-1,1.102913171E-1
1.631248417E0,4.453107342E-2,-2.233843803E-1,1.133214012E-1
1.641301417E0,5.328461528E-2,-2.332732230E-1,1.146191582E-1
1.651354417E0,6.409444660E-2,-2.308174968E-1,1.128595471E-1
1.661407417E0,8.155146986E-2,-2.352615148E-1,1.073425412E-1
1.671460417E0,8.876682073E-2,-2.553241551E-1,1.048246026E-1
1.681513417E0,7.472237945E-2,-2.860551476E-1,1.072249040E-1
1.691566417E0,5.495633930E-2,-3.128966689E-1,1.046253219E-1
