"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.933166663E-3,2.205251716E-2,-3.762419894E-2,-9.378366172E-3
1.598616666E-2,2.132041380E-2,-5.754544586E-2,-1.058131643E-2
2.603916667E-2,1.301132794E-2,-6.716006994E-2,-2.826727461E-3
3.609216667E-2,8.522303775E-3,-7.244777679E-2,1.197671890E-2
4.614616666E-2,4.368492868E-3,-6.542438269E-2,2.132426202E-2
5.619916666E-2,7.034504088E-4,-4.347620532E-2,1.943821274E-2
6.625216667E-2,-8.679226041E-3,-1.789166965E-2,1.249662600E-2
7.630516667E-2,-1.642210037E-2,1.205291227E-2,9.357823059E-3
8.635916666E-2,-2.096589282E-2,2.807627246E-2,7.971972227E-3
9.641216666E-2,-1.579483226E-2,1.826385409E-2,7.864912972E-3
1.064651667E-1,-9.756223299E-3,-2.871196717E-3,1.622541435E-2
1.165191667E-1,-9.324790910E-3,-2.771795727E-2,1.785766520E-2
1.265721667E-1,-2.135074697E-2,-3.474401310E-2,1.092534326E-2
1.366251667E-1,-2.088602632E-2,-1.460864954E-2,6.784659810E-3
1.466781667E-1,-1.929406822E-2,-3.379182890E-2,2.799618989E-3
1.567321667E-1,-1.832574233E-2,-4.982672259E-2,6.113923155E-3
1.667851667E-1,-8.340673521E-3,-5.739685893E-2,7.379343733E-3
1.768381667E-1,-6.647435948E-3,-4.458998516E-2,-5.529263988E-3
1.868921667E-1,-9.066967177E-4,-2.897929028E-2,-1.823113672E-2
1.969451667E-1,-2.127223415E-3,-2.034851909E-2,-2.137632854E-2
2.069981667E-1,-1.172182336E-2,-1.452822238E-2,-1.483914256E-2
2.170511667E-1,-2.268738858E-2,-4.873463884E-3,-6.525552832E-3
2.271051667E-1,-2.903154492E-2,-4.238047637E-3,1.032941509E-4
2.371581667E-1,-2.628529444E-2,-1.798395440E-2,1.125948038E-3
2.472111667E-1,-2.010944858E-2,-3.765644506E-2,-1.478329883E-3
2.572641667E-1,-2.527731284E-2,-5.616461486E-2,-1.287772413E-2
2.673181667E-1,-3.016128391E-2,-6.389710307E-2,-2.210744098E-2
2.773711667E-1,-3.878752887E-2,-5.681762099E-2,-2.945270576E-2
2.874241667E-1,-4.016248882E-2,-5.261005089E-2,-3.561598435E-2
2.974781667E-1,-3.713900223E-2,-5.106568336E-2,-4.183073714E-2
3.075311667E-1,-2.970329858E-2,-5.635652691E-2,-4.804491997E-2
3.175841667E-1,-1.803039759E-2,-5.866788328E-2,-5.302875862E-2
3.276371667E-1,-6.985080894E-3,-5.776164681E-2,-5.157134682E-2
3.376911667E-1,1.353542437E-3,-5.070693418E-2,-4.646393657E-2
3.477441667E-1,1.665664953E-3,-4.177416116E-2,-4.059699178E-2
3.577971667E-1,-3.350665327E-3,-3.537431732E-2,-3.194358200E-2
3.678501667E-1,-1.238577720E-2,-3.950738162E-2,-2.043265477E-2
3.779041667E-1,-2.443072386E-2,-6.663434207E-2,-1.930986531E-2
3.879571667E-1,-3.521332145E-2,-9.518905729E-2,-2.913126722E-2
3.980101667E-1,-4.050768539E-2,-9.546122700E-2,-4.877207801E-2
4.080641667E-1,-4.597038031E-2,-7.182176411E-2,-6.680168211E-2
4.181171667E-1,-5.225996673E-2,-2.814991213E-2,-9.033017606E-2
4.281701667E-1,-6.625341624E-2,2.643105574E-2,-1.078277156E-1
