"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.256125001E-3,-5.931565247E0,5.271288300E0,5.727240143E0
7.797874998E-3,-5.903124390E0,5.408103790E0,5.745352478E0
1.785087500E-2,-5.851930847E0,5.502257996E0,5.780529327E0
2.790387500E-2,-5.806275787E0,5.541326752E0,5.754932556E0
3.795787500E-2,-5.837411041E0,5.526956635E0,5.711073761E0
4.801087500E-2,-5.850583649E0,5.458249512E0,5.710924072E0
5.806487500E-2,-5.828878784E0,5.344037018E0,5.694757690E0
6.811787499E-2,-5.837411041E0,5.246889038E0,5.680836639E0
7.817187500E-2,-5.871689758E0,5.257067871E0,5.615572357E0
8.822487500E-2,-5.827681274E0,5.373525696E0,5.582341461E0
9.827887500E-2,-5.748196564E0,5.477409668E0,5.632786560E0
1.083318750E-1,-5.669759674E0,5.535937958E0,5.672603760E0
1.183848750E-1,-5.684878235E0,5.552403717E0,5.656886444E0
1.284388750E-1,-5.727988586E0,5.553601227E0,5.657335510E0
1.384918750E-1,-5.748795319E0,5.529052277E0,5.699098663E0
1.485458750E-1,-5.729036407E0,5.466781769E0,5.713468781E0
1.585988750E-1,-5.767656097E0,5.404810638E0,5.703888702E0
1.686528750E-1,-5.830675049E0,5.365741882E0,5.661526794E0
1.787058750E-1,-5.877826996E0,5.412444763E0,5.681136017E0
1.887598750E-1,-5.894891510E0,5.438939667E0,5.732928314E0
1.988128750E-1,-5.866600342E0,5.432203674E0,5.701044617E0
2.088658750E-1,-5.833519135E0,5.404960327E0,5.671855316E0
2.189198750E-1,-5.810317383E0,5.413342896E0,5.675896912E0
2.289728750E-1,-5.783822479E0,5.503605194E0,5.699248352E0
2.390268750E-1,-5.801635437E0,5.551056519E0,5.711822205E0
2.490798750E-1,-5.799689484E0,5.535189514E0,5.657185822E0
2.591338750E-1,-5.766907654E0,5.526208191E0,5.650898895E0
2.691868750E-1,-5.757776642E0,5.538183289E0,5.678740997E0
2.792408750E-1,-5.722899170E0,5.590274963E0,5.704038391E0
2.892938750E-1,-5.686375122E0,5.574857025E0,5.752387848E0
2.993478750E-1,-5.678142242E0,5.560636597E0,5.830525360E0
3.094008750E-1,-5.649102631E0,5.573659515E0,5.767207031E0
3.194538750E-1,-5.692512360E0,5.534141693E0,5.717660065E0
3.295078750E-1,-5.756878510E0,5.482948151E0,5.685177612E0
3.395608750E-1,-5.776637421E0,5.474116516E0,5.696104889E0
3.496148750E-1,-5.783074036E0,5.494923248E0,5.726192322E0
3.596678750E-1,-5.802982635E0,5.506299591E0,5.688171387E0
3.697218750E-1,-5.852529602E0,5.469925232E0,5.665269012E0
3.797748750E-1,-5.857619019E0,5.476212158E0,5.689069519E0
3.898288750E-1,-5.815406799E0,5.526657257E0,5.739215240E0
3.998818750E-1,-5.845494232E0,5.513784027E0,5.728437653E0
4.099358750E-1,-5.915099487E0,5.454956360E0,5.699248352E0
4.199888750E-1,-5.951174469E0,5.387446747E0,5.722001038E0
4.300418750E-1,-6.024821320E0,5.275030518E0,5.796546021E0
4.400958750E-1,-6.094426575E0,5.194497986E0,5.816903687E0
4.501488750E-1,-6.146967316E0,5.160069580E0,5.840255127E0
4.602028750E-1,-6.178851013E0,5.210215302E0,5.835165710E0
4.702558750E-1,-6.198160858E0,5.321583710E0,5.819897461E0
4.803098750E-1,-6.199058990E0,5.496120758E0,5.789510651E0
4.903628750E-1,-6.121669922E0,5.641169128E0,5.714366913E0
5.004168750E-1,-6.028114471E0,5.731730804E0,5.588778076E0
5.104698750E-1,-5.994284821E0,5.766009521E0,5.511538696E0
5.205228750E-1,-5.983207855E0,5.848787384E0,5.471871185E0
5.305768750E-1,-5.975424042E0,6.133495331E0,5.391338654E0
5.406298750E-1,-5.928571472E0,6.496340790E0,5.342839508E0
5.506838750E-1,-5.866450653E0,6.824608154E0,5.327271881E0
5.607368750E-1,-5.825136566E0,7.037166138E0,5.358706512E0
5.707908750E-1,-5.789810028E0,7.204817505E0,5.391787720E0
5.808438750E-1,-5.694907379E0,7.295678558E0,5.423072662E0
5.908978750E-1,-5.533243561E0,7.287445679E0,5.562582550E0
6.009508750E-1,-5.545518036E0,7.235653381E0,5.612428894E0
6.110048750E-1,-5.704337769E0,7.179520111E0,5.308710480E0
6.210578750E-1,-5.803581390E0,7.172035675E0,4.946463776E0
6.311108750E-1,-5.987548828E0,7.315138092E0,4.763843536E0
6.411648750E-1,-6.231990509E0,7.768545227E0,4.666545868E0
6.512178750E-1,-6.248306580E0,8.381520538E0,4.475243683E0
6.612718750E-1,-6.096222839E0,8.347990265E0,4.185895386E0
6.713248750E-1,-6.173162842E0,7.513625336E0,3.544329529E0
6.813788750E-1,-6.607858887E0,6.558760986E0,2.983445892E0
6.914318750E-1,-7.006629639E0,5.736670532E0,3.370690613E0
7.014858750E-1,-7.504045258E0,4.913532257E0,4.850064240E0
7.115388750E-1,-7.502398682E0,4.030368805E0,6.440357208E0
7.215918750E-1,-7.703580322E0,3.793112183E0,8.252488861E0
7.316458750E-1,-9.682764587E0,3.946992188E0,9.979148254E0
7.416988750E-1,-1.297112640E1,2.650089111E0,1.042851379E1
7.517528750E-1,-1.490944565E1,2.526745605E-1,8.854836273E0
7.618058750E-1,-1.476664261E1,-1.531016235E0,6.831793213E0
7.718598750E-1,-1.279509247E1,-1.740879822E0,4.766238556E0
7.819128750E-1,-9.648336182E0,-4.613406372E-1,2.600991211E0
7.919668750E-1,-6.627318420E0,1.274150391E0,1.128203888E0
8.020198750E-1,-4.065845032E0,2.700683899E0,1.052910461E0
8.120738750E-1,-1.147214355E0,3.723656616E0,1.420695648E0
8.221268750E-1,1.565294952E0,4.114493866E0,2.500999146E0
8.321798750E-1,3.555705872E0,3.927532654E0,3.932921448E0
8.422338750E-1,4.025279388E0,3.404969330E0,4.966971130E0
8.522868750E-1,3.160527649E0,3.133134613E0,4.874164124E0
8.623408750E-1,1.614991608E0,3.385958862E0,4.139791260E0
8.723938750E-1,-3.372486877E-1,3.759581909E0,3.658542023E0
8.824478750E-1,-2.774779816E0,3.842958527E0,3.501069489E0
8.925008750E-1,-5.568121033E0,3.929179230E0,3.536396027E0
9.025548750E-1,-8.832532654E0,4.205205231E0,3.709136810E0
9.126082500E-1,-1.181343384E1,4.699327698E0,3.943848724E0
9.226622500E-1,-1.403646103E1,5.475613403E0,4.029021606E0
9.327152500E-1,-1.514879791E1,6.093977509E0,3.982468414E0
9.427682500E-1,-1.512604523E1,6.661297760E0,3.882476349E0
9.528222500E-1,-1.411669418E1,6.774761810E0,4.038302307E0
9.628752500E-1,-1.255618927E1,6.203849030E0,4.534969482E0
9.729292500E-1,-1.111393845E1,5.578000488E0,4.978197784E0
9.829822500E-1,-1.000369720E1,5.196144562E0,5.375471649E0
9.930362500E-1,-9.351204071E0,4.931195526E0,5.704038391E0
1.003089250E0,-8.620872803E0,4.825365601E0,5.820645905E0
1.013143250E0,-7.909701691E0,4.603077850E0,5.767057343E0
1.023196250E0,-7.430248718E0,4.956642609E0,5.275928650E0
1.033249250E0,-7.184609528E0,5.387596436E0,4.879253540E0
1.043303250E0,-6.994504852E0,5.683231659E0,4.509522400E0
1.053356250E0,-6.659052429E0,5.513784027E0,4.564308472E0
1.063410250E0,-6.472689972E0,4.844076691E0,4.506378937E0
1.073463250E0,-6.481521606E0,4.382286987E0,4.595743103E0
1.083517250E0,-6.878645782E0,4.071383514E0,4.408781891E0
1.093570250E0,-7.591164093E0,4.092639313E0,4.120182037E0
1.103624250E0,-8.324489136E0,4.108506317E0,3.788471832E0
1.113677250E0,-8.763975220E0,4.023333435E0,3.610791321E0
1.123731250E0,-8.743168488E0,3.664828949E0,3.466042328E0
1.133784250E0,-8.335566101E0,3.519032135E0,3.312012634E0
1.143837250E0,-7.742649078E0,3.604055328E0,3.209775238E0
