"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.697624995E-3,1.306775608E-3,-5.154317245E-3,4.227139987E-3
1.675062500E-2,6.224337267E-4,1.871415414E-2,3.670876380E-3
2.680362500E-2,-5.434127059E-3,3.982929513E-2,3.337448463E-3
3.685662500E-2,-6.596335676E-3,5.145112053E-2,-1.116369502E-3
4.690962499E-2,-3.765928093E-3,5.247324333E-2,-3.004817059E-3
5.696262500E-2,-7.607375737E-4,4.291064292E-2,-8.368585259E-5
6.701562500E-2,-3.092068713E-3,2.498783171E-2,5.951569881E-3
7.706862500E-2,-4.244136624E-3,7.089081686E-3,1.448418014E-2
8.712162499E-2,-4.519507289E-3,-9.376710281E-3,2.044806257E-2
9.717462500E-2,7.880665362E-4,-2.379131503E-2,1.982603408E-2
1.072286250E-1,3.175590187E-3,-3.033709899E-2,1.895091869E-2
1.172816250E-1,4.326981027E-3,-2.801590785E-2,2.058015577E-2
1.273346250E-1,1.261949074E-3,-2.297001705E-2,1.535636559E-2
1.373876250E-1,-2.660738071E-3,-2.505326830E-2,8.374015801E-3
1.474406250E-1,-2.624785295E-3,-2.524741180E-2,1.642077230E-3
1.574936250E-1,-3.742567729E-3,-1.952644996E-2,-2.283594571E-3
1.675466250E-1,4.463184159E-4,-1.220781915E-2,-6.031727418E-3
1.775996250E-1,3.330687527E-3,-1.389564248E-3,-1.357802842E-2
1.876526250E-1,5.438579246E-3,7.873175666E-3,-1.898717508E-2
1.977056250E-1,4.828806035E-3,1.543431450E-2,-2.007660083E-2
2.077586250E-1,6.306860596E-3,2.277052402E-2,-1.399500761E-2
2.178126250E-1,3.061425872E-3,2.500067465E-2,-9.506428614E-3
2.278656250E-1,-1.308821375E-3,3.101595677E-2,-4.399818368E-3
2.379186250E-1,-6.173335481E-3,3.323952109E-2,-3.245495725E-3
2.479716250E-1,-8.333425969E-3,2.869137377E-2,-4.826614633E-3
2.580246250E-1,-7.004977204E-3,1.493500266E-2,-5.159974098E-3
2.680776250E-1,-7.073154207E-3,1.867670217E-3,-8.154698648E-3
2.781306250E-1,-7.260493003E-3,-6.773083005E-3,-5.133942235E-3
2.881836250E-1,-5.217316095E-3,-1.138807461E-2,-3.014066257E-3
2.982366250E-1,-3.011253662E-3,-1.751295477E-2,3.150216537E-3
3.082896250E-1,-2.691407921E-3,-2.175243944E-2,7.112734020E-3
3.183426250E-1,-4.377928097E-3,-1.690337434E-2,9.792257100E-3
3.283956250E-1,-8.186248131E-3,-3.836575197E-3,1.116591506E-2
3.384496250E-1,-5.341976881E-3,9.776792489E-3,5.892965943E-3
3.485026250E-1,-2.033531899E-3,1.489805151E-2,5.604545586E-3
3.585556250E-1,1.436119899E-3,1.326761581E-2,5.244876258E-3
3.686086250E-1,3.760793246E-3,3.091677325E-3,2.711943816E-3
3.786616250E-1,7.780632470E-3,-1.062154956E-2,-2.198627917E-4
3.887146250E-1,1.122090314E-2,-2.000865899E-2,-9.639729746E-3
3.987676250E-1,1.913837530E-2,-2.972944267E-2,-1.879079454E-2
4.088206250E-1,2.294216864E-2,-3.325014189E-2,-2.906953171E-2
4.188736250E-1,1.766649261E-2,-2.388593741E-2,-4.147554189E-2
4.289266250E-1,1.563743129E-2,-6.861413829E-3,-4.928286374E-2
4.389796250E-1,1.706079021E-2,2.141439356E-2,-4.967165366E-2
4.490336250E-1,2.161878906E-2,4.957146198E-2,-5.130443722E-2
4.590866250E-1,3.123679571E-2,7.461582869E-2,-4.975634441E-2
4.691396250E-1,4.016930610E-2,9.636612982E-2,-5.382512137E-2
4.791926250E-1,3.500729054E-2,1.040665135E-1,-6.240944937E-2
4.892456250E-1,2.844872326E-2,1.071198285E-1,-7.323519886E-2
4.992986250E-1,2.892942913E-2,9.938009083E-2,-6.936460733E-2
5.093516250E-1,3.699800745E-2,8.950375766E-2,-5.806029215E-2
5.194046250E-1,3.938172013E-2,7.871714979E-2,-4.636786133E-2
5.294572917E-1,4.395516962E-2,8.176327497E-2,-4.528155923E-2
5.395102917E-1,5.106449500E-2,8.990997076E-2,-4.134716094E-2
5.495632917E-1,5.575112626E-2,8.851447701E-2,-3.589859605E-2
