"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.848333330E-3,-8.809181213E-1,4.278253326E0,8.685089264E0
7.204666668E-3,-9.419911194E-1,4.345912628E0,8.691076813E0
1.725866667E-2,-9.473799133E-1,4.379592590E0,8.724008331E0
2.731266667E-2,-8.999285889E-1,4.378993835E0,8.763675842E0
3.736566667E-2,-8.945397949E-1,4.330195312E0,8.810229034E0
4.741966667E-2,-9.383985901E-1,4.274211731E0,8.884474640E0
5.747266667E-2,-1.025068359E0,4.276457062E0,8.866362305E0
6.752666667E-2,-1.053209839E0,4.268673248E0,8.828041992E0
7.757966667E-2,-1.082399139E0,4.274361420E0,8.823401642E0
8.763366667E-2,-1.131347351E0,4.275409241E0,8.838370514E0
9.768666667E-2,-1.146615601E0,4.299658813E0,8.852740631E0
1.077406667E-1,-1.096918945E0,4.298311615E0,8.845256195E0
1.177936667E-1,-1.006806335E0,4.257147217E0,8.843759308E0
1.278476667E-1,-8.896000671E-1,4.223167877E0,8.796906738E0
1.379006667E-1,-8.927435303E-1,4.237388306E0,8.774303741E0
1.479546667E-1,-9.422904968E-1,4.259841614E0,8.799601135E0
1.580076667E-1,-9.595046997E-1,4.301155701E0,8.844507751E0
1.680616667E-1,-9.382489014E-1,4.327949982E0,8.858578491E0
1.781146667E-1,-9.295669556E-1,4.371659088E0,8.798253937E0
1.881686667E-1,-9.505233765E-1,4.423451385E0,8.743767242E0
1.982216667E-1,-9.972262573E-1,4.440366211E0,8.714128876E0
2.082756667E-1,-1.047970734E0,4.388873291E0,8.773255920E0
2.183286667E-1,-1.051862640E0,4.296215973E0,8.891360321E0
2.283826667E-1,-9.892927551E-1,4.169878693E0,9.045390015E0
2.384366667E-1,-8.084687805E-1,4.088448029E0,9.197922821E0
2.484896667E-1,-6.171665955E-1,4.115691376E0,9.104217682E0
2.585436667E-1,-5.758525085E-1,4.242777100E0,8.770262146E0
2.685966667E-1,-7.508386230E-1,4.362228699E0,8.412955170E0
2.786506667E-1,-1.104403381E0,4.404291229E0,8.306227112E0
2.887036667E-1,-1.510359192E0,4.324806519E0,8.314459991E0
2.987576667E-1,-1.790875854E0,4.268074493E0,8.311166840E0
3.088106667E-1,-1.940714264E0,4.234244843E0,8.375532990E0
3.188646667E-1,-2.030677185E0,4.231101379E0,8.508306885E0
3.289176667E-1,-2.086660767E0,4.306245117E0,8.604556732E0
3.389716667E-1,-2.057022400E0,4.384083252E0,8.719367981E0
3.490246667E-1,-2.000140686E0,4.440515900E0,8.798253937E0
3.590796250E-1,-1.924098816E0,4.479285278E0,8.797954559E0
3.691326250E-1,-1.851649475E0,4.536166992E0,8.795260162E0
3.791866250E-1,-1.781445465E0,4.540208588E0,8.796158295E0
3.892396250E-1,-1.726509705E0,4.506229248E0,8.834927673E0
3.992936250E-1,-1.746717682E0,4.467010803E0,8.892108765E0
4.093466250E-1,-1.731000366E0,4.479434967E0,8.880433044E0
4.194006250E-1,-1.658251648E0,4.464017029E0,8.911119232E0
4.294536250E-1,-1.601968689E0,4.395459595E0,8.929680634E0
4.395076250E-1,-1.533560944E0,4.333039398E0,8.820856934E0
4.495616250E-1,-1.450184326E0,4.274960175E0,8.596623230E0
4.596146250E-1,-1.338666229E0,4.266128540E0,8.392747192E0
4.696686250E-1,-1.191073151E0,4.262236633E0,8.297994232E0
