"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.101166670E-3,-7.428452454E0,-6.103557587E0,-1.191372528E0
1.804616667E-2,-7.524552612E0,-6.043382721E0,-1.257984009E0
2.799016667E-2,-7.598498840E0,-6.090085602E0,-1.399140472E0
3.793516666E-2,-7.664661255E0,-6.098019104E0,-1.409319305E0
4.788016667E-2,-7.730524292E0,-6.131998444E0,-1.420845337E0
5.782416667E-2,-7.730673981E0,-6.214177551E0,-1.421144714E0
6.776916666E-2,-7.667056274E0,-6.271358643E0,-1.359323273E0
7.771416667E-2,-7.548951874E0,-6.233188019E0,-1.278491364E0
8.765916667E-2,-7.499404907E0,-6.197113037E0,-1.249601440E0
9.760316667E-2,-7.542814636E0,-6.124963074E0,-1.264570312E0
1.075481667E-1,-7.526498566E0,-6.093079376E0,-1.204245758E0
1.174931667E-1,-7.554190979E0,-6.155948639E0,-1.242566071E0
1.274381667E-1,-7.596253510E0,-6.157744904E0,-1.372346191E0
1.373821667E-1,-7.644902344E0,-6.110293579E0,-1.311871948E0
1.473271667E-1,-7.702682190E0,-6.103108521E0,-1.169667664E0
1.572721667E-1,-7.628286896E0,-6.128405914E0,-1.082548828E0
1.672171667E-1,-7.517367554E0,-6.144572296E0,-1.138382721E0
1.771611667E-1,-7.502248993E0,-6.190676422E0,-1.337319031E0
1.871061667E-1,-7.588170319E0,-6.186784515E0,-1.421294403E0
1.970511667E-1,-7.656128998E0,-6.118227081E0,-1.363664246E0
2.069961667E-1,-7.594457245E0,-6.097869415E0,-1.300645294E0
2.169401667E-1,-7.549400940E0,-6.117927704E0,-1.254840546E0
2.268851667E-1,-7.533683624E0,-6.184090118E0,-1.167422333E0
2.368301667E-1,-7.453151093E0,-6.308631134E0,-1.196312256E0
2.467751667E-1,-7.371720428E0,-6.207142181E0,-1.184786224E0
2.567191667E-1,-7.347171478E0,-6.177204437E0,-1.125808868E0
2.666641667E-1,-7.340884552E0,-6.218967590E0,-1.063089294E0
2.766091667E-1,-7.459288330E0,-6.219117279E0,-9.939331055E-1
2.865531667E-1,-7.639962616E0,-6.184090118E0,-1.162482605E0
2.964981667E-1,-7.671097870E0,-6.120472412E0,-1.277593231E0
3.064431667E-1,-7.578590240E0,-6.115382996E0,-1.262474670E0
3.163881667E-1,-7.485483856E0,-6.173162842E0,-1.153351593E0
3.263321667E-1,-7.555089111E0,-6.214177551E0,-1.170565796E0
3.362771667E-1,-7.687863007E0,-6.233337708E0,-1.270857239E0
3.462221667E-1,-7.595654755E0,-6.244564362E0,-1.164727936E0
3.561671667E-1,-7.433242493E0,-6.302643585E0,-9.966275024E-1
3.661111667E-1,-7.334447937E0,-6.291566620E0,-1.094972992E0
3.760561667E-1,-7.279063110E0,-6.180946655E0,-1.168619843E0
3.860010417E-1,-7.388784943E0,-6.148913269E0,-1.154698792E0
3.959460417E-1,-7.502248993E0,-6.119873657E0,-1.143322449E0
4.058900417E-1,-7.558681641E0,-6.117628326E0,-1.268462219E0
