"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.182416666E-3,2.280152217E-2,1.131129451E-2,-1.604183577E-3
1.512741666E-2,3.046846949E-2,1.291595958E-2,-3.074935637E-3
2.507141666E-2,3.714128211E-2,6.855403539E-3,-3.590523731E-3
3.501641667E-2,4.457349703E-2,3.002929967E-3,-3.006907646E-3
4.496141666E-2,5.350280926E-2,-3.414677922E-4,-9.477856569E-3
5.490541666E-2,5.914923549E-2,5.582603626E-4,-1.098550390E-2
6.485041667E-2,6.395331025E-2,2.675473457E-3,-8.399840444E-3
7.479441667E-2,6.817555428E-2,3.386908444E-3,-4.677199293E-3
8.473941666E-2,6.546525657E-2,5.802928470E-3,-1.732009463E-3
9.468341666E-2,6.349485368E-2,9.153556079E-3,2.289436758E-3
1.046284167E-1,6.612232327E-2,1.345323026E-2,1.626043580E-3
1.145734167E-1,6.416881084E-2,1.160779968E-2,-9.462032467E-4
1.245174167E-1,6.658083946E-2,6.955523044E-3,-7.100768387E-3
1.344624167E-1,6.959638000E-2,-5.852753762E-3,-4.640058614E-3
1.444064167E-1,7.280495018E-2,-8.962526917E-3,-2.570515964E-3
1.543514167E-1,7.456843555E-2,-4.985578358E-3,-1.426196657E-3
1.642922083E-1,7.515086979E-2,4.169836640E-3,2.687055618E-3
1.742372083E-1,7.076779008E-2,1.749288477E-2,2.647867426E-3
1.841822083E-1,7.254012674E-2,2.632446028E-2,7.218690589E-4
1.941262083E-1,7.847782224E-2,1.846733689E-2,1.100727357E-3
2.040712083E-1,8.269440383E-2,-1.042822562E-2,4.486138001E-3
2.140152083E-1,7.909831405E-2,-3.296220303E-2,4.062569700E-3
2.239602083E-1,6.761449575E-2,-4.086859524E-2,-7.915738970E-4
2.339042083E-1,5.640316010E-2,-2.185009979E-2,-1.555209048E-3
2.438492083E-1,5.276687816E-2,5.820942577E-3,-7.326279301E-3
2.537942083E-1,5.947416648E-2,2.091404051E-2,-1.216089912E-2
2.637382083E-1,7.535433024E-2,1.671450213E-2,-1.062665228E-2
2.736832083E-1,1.009764150E-1,1.507691853E-2,-5.948435050E-3
2.836272083E-1,1.118239984E-1,7.792108227E-3,4.340687767E-3
2.935722083E-1,1.171142459E-1,1.221632119E-3,1.105632167E-2
3.035172083E-1,1.127972677E-1,-2.299865708E-3,1.293624844E-2
3.134612083E-1,1.161776856E-1,-4.858525470E-3,1.291847974E-2
3.234062083E-1,1.076555699E-1,-3.080599243E-3,1.008354500E-2
3.333502083E-1,9.751350433E-2,-4.921869840E-4,7.493071258E-3
3.432952083E-1,9.268172830E-2,4.399507307E-3,1.233045012E-3
3.532392083E-1,8.813080192E-2,-1.236395165E-2,4.141691141E-3
3.631842083E-1,9.060940146E-2,-2.736260742E-2,2.153375186E-3
3.731292083E-1,9.990834445E-2,-3.125750273E-2,3.755973652E-3
3.830732083E-1,1.213198975E-1,-2.619430050E-2,4.866777919E-3
3.930182083E-1,1.480562240E-1,-1.010619290E-2,1.216761023E-2
4.029622083E-1,1.818293780E-1,1.372244023E-2,1.636528410E-2
4.129072083E-1,2.023985237E-1,3.157436848E-2,2.097450010E-2
4.228512083E-1,2.097203583E-1,3.800190613E-2,2.761056274E-2
4.327962083E-1,2.141880691E-1,2.557224594E-2,3.528043628E-2
4.427402083E-1,2.146069854E-1,3.419900313E-4,4.507367685E-2
4.526852083E-1,2.167203724E-1,-2.678937465E-2,4.023312405E-2
4.626302083E-1,2.214331031E-1,-3.675492480E-2,4.397752881E-2
4.725742083E-1,2.221461982E-1,-2.637473494E-2,3.928031400E-2
4.825192083E-1,2.183695734E-1,-7.277474739E-3,3.221521154E-2
4.924632083E-1,2.208923995E-1,8.592991158E-3,3.329622000E-2
5.024082083E-1,2.375190407E-1,8.609503508E-3,3.683343530E-2
5.123532083E-1,2.596068978E-1,-8.613637649E-3,4.065358639E-2
5.222972083E-1,2.884563804E-1,-3.613208234E-2,5.134857446E-2
5.322422083E-1,3.104387522E-1,-4.552384093E-2,5.828716606E-2
