"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.995500003E-3,-8.318351898E0,-5.212310944E0,6.966513062E-1
1.594050000E-2,-8.340805206E0,-5.180576935E0,6.911128235E-1
2.588450000E-2,-8.354277191E0,-5.120252380E0,7.476951599E-1
3.582950000E-2,-8.343200226E0,-5.080135803E0,8.038284302E-1
4.577350000E-2,-8.327482910E0,-5.070705414E0,8.336164856E-1
5.571850000E-2,-8.339907074E0,-5.053940277E0,8.072712708E-1
6.566250000E-2,-8.347541199E0,-5.081033936E0,7.467970276E-1
7.560750000E-2,-8.332272949E0,-5.156327362E0,7.161108398E-1
8.555150000E-2,-8.328081665E0,-5.191204834E0,7.137158203E-1
9.549650000E-2,-8.318501587E0,-5.153183899E0,7.670050049E-1
1.054405000E-1,-8.296796722E0,-5.092110901E0,8.376580811E-1
1.153855000E-1,-8.261470184E0,-5.093308411E0,8.809181213E-1
1.253295000E-1,-8.245752869E0,-5.071453857E0,9.268725586E-1
1.352735000E-1,-8.274044037E0,-5.021308136E0,9.518705750E-1
1.452185000E-1,-8.340056763E0,-5.003195801E0,9.111552429E-1
1.551625000E-1,-8.367449799E0,-5.003794556E0,8.780740356E-1
1.651075000E-1,-8.364306335E0,-5.015919342E0,8.285270691E-1
1.750515000E-1,-8.405321045E0,-5.036576385E0,7.346722412E-1
1.849965000E-1,-8.405470734E0,-5.063071289E0,6.611750793E-1
1.949405000E-1,-8.379724274E0,-5.065466309E0,7.108717346E-1
2.048855000E-1,-8.390501862E0,-5.102289734E0,8.330177307E-1
2.148295000E-1,-8.389154663E0,-5.156626740E0,9.584568787E-1
2.247745000E-1,-8.344996490E0,-5.142256622E0,9.728269958E-1
2.347185000E-1,-8.308023376E0,-5.124144287E0,8.583151245E-1
2.446635000E-1,-8.302484894E0,-5.135071564E0,7.053332520E-1
2.546075000E-1,-8.343349915E0,-5.141807556E0,5.635780334E-1
2.645525000E-1,-8.398285675E0,-5.146896973E0,5.010081482E-1
2.744965000E-1,-8.424181824E0,-5.181624756E0,5.367837524E-1
2.844415000E-1,-8.430768127E0,-5.226082306E0,6.466552734E-1
2.943855000E-1,-8.448281708E0,-5.217999115E0,7.869136047E-1
3.043305000E-1,-8.449628906E0,-5.195845184E0,8.430468750E-1
3.142745000E-1,-8.420888672E0,-5.136269073E0,8.081694031E-1
3.242185000E-1,-8.383466492E0,-5.068160706E0,7.813751221E-1
3.341635000E-1,-8.336015167E0,-5.029241638E0,8.331674194E-1
3.441075000E-1,-8.303383026E0,-4.993316345E0,8.979826355E-1
3.540525000E-1,-8.269553375E0,-4.951104126E0,8.848100281E-1
3.639965000E-1,-8.284821625E0,-5.078938293E0,7.917036438E-1
3.739415000E-1,-8.309520264E0,-5.204676819E0,7.204518127E-1
3.838855000E-1,-8.307574310E0,-5.238656158E0,7.505392456E-1
3.938305000E-1,-8.288863220E0,-5.233866119E0,7.849676514E-1
4.037745000E-1,-8.261769562E0,-5.201533356E0,7.884104919E-1
4.137195000E-1,-8.249195709E0,-5.171296234E0,7.453001404E-1
4.236635000E-1,-8.267158356E0,-5.175038452E0,6.945556641E-1
4.336085000E-1,-8.316555634E0,-5.181325378E0,6.734495544E-1
4.435525000E-1,-8.331524506E0,-5.148842926E0,6.855743408E-1
4.534975000E-1,-8.367599487E0,-5.119503937E0,7.247927856E-1
4.634415000E-1,-8.432714081E0,-5.149591370E0,7.723937988E-1
4.733865000E-1,-8.460256805E0,-5.177134094E0,8.153544617E-1
4.833305000E-1,-8.456514587E0,-5.172044678E0,7.958949280E-1
4.932755000E-1,-8.461154938E0,-5.101990356E0,7.159611511E-1
5.032195000E-1,-8.421038361E0,-5.048102417E0,6.553372192E-1
5.131645000E-1,-8.347840576E0,-5.071753235E0,6.584806824E-1
5.231085000E-1,-8.289012909E0,-5.104834442E0,7.155120850E-1
5.330535000E-1,-8.275091858E0,-5.060526581E0,6.722520447E-1
5.429975000E-1,-8.389603729E0,-5.008135529E0,5.492079163E-1
5.529425000E-1,-8.640931091E0,-4.896767120E0,4.543052673E-1
5.628865000E-1,-8.906927948E0,-4.820276184E0,4.323010254E-1
5.728315000E-1,-9.112899628E0,-4.765939178E0,4.519102478E-1
5.827755000E-1,-9.140891418E0,-4.714296570E0,5.370831299E-1
5.927195000E-1,-8.965156860E0,-4.668940887E0,7.150630188E-1
6.026645000E-1,-8.707243195E0,-4.692442017E0,1.021625519E0
6.126085000E-1,-8.526568909E0,-4.702022095E0,1.295555878E0
6.225535000E-1,-8.474177856E0,-4.681963806E0,1.267863464E0
6.324975000E-1,-8.522527313E0,-4.606221313E0,9.789642334E-1
6.424425000E-1,-8.469238129E0,-4.512216797E0,7.662565613E-1
6.523865000E-1,-8.399632874E0,-4.504133606E0,7.538323975E-1
6.623315000E-1,-8.410260773E0,-4.526586914E0,8.885522461E-1
6.722755000E-1,-8.456813965E0,-4.507277069E0,1.105451202E0
6.822205000E-1,-8.430319061E0,-4.449048157E0,1.248403931E0
6.921645000E-1,-8.378826141E0,-4.396806793E0,1.271156616E0
7.021095000E-1,-8.303981781E0,-4.401746521E0,1.239721985E0
7.120535000E-1,-8.250842285E0,-4.435576172E0,1.171912994E0
7.219985000E-1,-8.192613373E0,-4.431235199E0,1.115630035E0
7.319425000E-1,-8.106841736E0,-4.456682281E0,1.076710968E0
7.418875000E-1,-8.020171967E0,-4.587061157E0,1.008153534E0
7.518315000E-1,-8.022716675E0,-4.778063965E0,9.157955933E-1
7.617765000E-1,-8.155041504E0,-4.982239380E0,7.768844604E-1
7.717205000E-1,-8.394842834E0,-5.237907715E0,5.281018066E-1
7.816655000E-1,-8.623567200E0,-5.433550873E0,3.409909058E-1
7.916095000E-1,-8.863368530E0,-5.507946167E0,3.733236694E-1
8.015545000E-1,-9.034163361E0,-5.372477875E0,5.706134033E-1
8.114983750E-1,-9.034462738E0,-5.194497986E0,7.363188171E-1
8.214433750E-1,-9.037755890E0,-5.101690979E0,6.057902527E-1
8.313873750E-1,-8.999734955E0,-5.117557983E0,3.296145630E-1
8.413323750E-1,-8.952433319E0,-5.013374634E0,1.603166199E-1
8.512763750E-1,-8.979976044E0,-4.864284668E0,-6.197113037E-2
8.612203750E-1,-9.117090912E0,-4.760550385E0,-6.900650024E-2
8.711653750E-1,-8.775800629E0,-4.656965790E0,5.580395508E-1
8.811093750E-1,-8.052355042E0,-4.715194702E0,1.427132263E0
8.910543750E-1,-7.867190094E0,-4.965773621E0,1.909878387E0
9.009983750E-1,-7.979456635E0,-5.155878296E0,2.088606720E0
9.109433750E-1,-8.167166290E0,-5.299729156E0,1.938618622E0
9.208873750E-1,-8.216114502E0,-5.313350830E0,1.540147247E0
9.308323750E-1,-8.202642517E0,-5.156177673E0,1.370699615E0
9.407763750E-1,-8.320746918E0,-4.951104126E0,1.258732452E0
9.507213750E-1,-8.467292175E0,-4.611460419E0,1.382375336E0
9.606653750E-1,-8.584947510E0,-4.249962158E0,1.641336823E0
9.706103750E-1,-8.834478607E0,-4.058510284E0,1.711391144E0
9.805543750E-1,-8.834777985E0,-3.837869110E0,1.657353516E0
9.904993750E-1,-8.374036102E0,-3.746558990E0,1.456620941E0
1.000443375E0,-7.787855072E0,-4.083657990E0,1.152004395E0
1.010388375E0,-7.493866425E0,-4.483626251E0,1.159937897E0
1.020332375E0,-7.734565887E0,-4.715194702E0,1.243613892E0
1.030277375E0,-8.136480103E0,-4.933740234E0,1.283730469E0
1.040221375E0,-8.178392944E0,-4.893324280E0,1.608704681E0
1.050166375E0,-8.297545166E0,-4.442761230E0,1.901795197E0
1.060110375E0,-8.830886078E0,-4.193379822E0,1.996398468E0
1.070055375E0,-9.195078735E0,-3.971690826E0,1.993105316E0
1.079999375E0,-9.370064850E0,-3.890260162E0,1.913770294E0
1.089944375E0,-9.610315247E0,-3.765120392E0,1.859133911E0
1.099888375E0,-9.618398438E0,-3.490890656E0,1.947749634E0
1.109833375E0,-9.442214813E0,-3.311563568E0,1.841919708E0
