"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.345450000E-2,1.175012905E-2,-7.548276335E-3,-6.080384366E-3
2.339850000E-2,3.562603844E-3,-9.691075422E-3,-8.767303079E-4
3.334350000E-2,2.044868423E-3,-8.471347392E-3,1.839693636E-3
4.328750000E-2,8.151906542E-3,-4.790711682E-3,2.317572013E-3
5.323250000E-2,5.852533504E-3,-6.524259225E-4,1.605176367E-3
6.317650000E-2,9.944835678E-3,7.515288889E-3,2.931434661E-3
7.312050000E-2,1.136509981E-2,5.934969056E-3,-1.924307086E-3
8.306550000E-2,1.470313966E-2,5.921706092E-3,-4.962019622E-3
9.300950000E-2,2.067900822E-2,7.192210178E-4,-7.359130774E-3
1.029545000E-1,1.869856007E-2,2.122909296E-3,-6.940719206E-3
1.128985000E-1,1.392031461E-2,4.228936974E-3,-1.037556212E-3
1.228435000E-1,8.180383593E-3,3.331847489E-3,7.464410737E-4
1.327875000E-1,4.625329748E-3,1.301986398E-3,2.132765949E-4
1.427325000E-1,3.580757184E-3,2.721551340E-3,-4.876796156E-3
1.526765000E-1,8.321450092E-3,7.577293087E-3,-4.303151742E-3
1.626215000E-1,8.842281997E-3,1.101510413E-2,-5.073337816E-3
1.725655000E-1,6.330388132E-3,1.882775314E-2,-5.607301369E-3
1.825105000E-1,-7.770108990E-3,1.720688865E-2,-2.193104010E-3
1.924545000E-1,-3.018726781E-2,9.903434664E-3,-3.686604556E-3
2.023995000E-1,-3.914034367E-2,-3.110826947E-3,-1.615411136E-3
2.123435000E-1,-2.633719891E-2,-1.568068005E-2,3.225416876E-3
2.222885000E-1,-1.118458249E-2,-2.883948758E-2,3.488061018E-3
2.322325000E-1,3.220455255E-3,-2.957239002E-2,6.149624474E-3
2.421775000E-1,7.476530969E-3,-2.254621871E-2,3.700739704E-3
2.521215000E-1,1.243373938E-2,-4.335789010E-3,9.854789823E-5
2.620665000E-1,1.136947609E-2,9.396377020E-3,2.775490284E-4
2.720105000E-1,7.759294473E-3,2.186290175E-2,4.834113643E-4
2.819545000E-1,2.640425041E-2,2.505462803E-2,-1.374153886E-3
2.918995000E-1,4.522987083E-2,1.992138475E-2,-3.908684477E-3
3.018435000E-1,5.409833789E-2,9.978086688E-3,-2.606026828E-3
3.117885000E-1,4.810968786E-2,1.339057926E-3,5.008168519E-4
3.217325000E-1,2.772718668E-2,7.049141917E-3,4.945100285E-3
3.316775000E-1,1.515892893E-2,4.717544187E-3,6.215960719E-3
3.416215000E-1,8.524913341E-3,1.451967051E-3,6.661959924E-3
3.515665000E-1,1.190419775E-2,-9.750087745E-3,5.633980036E-3
3.615105000E-1,8.455713280E-3,-1.293453015E-2,1.726857387E-3
3.714555000E-1,2.586905146E-3,-1.714285836E-2,-2.608769108E-3
3.813995000E-1,-8.379744831E-4,-1.630329713E-2,-5.626850761E-4
3.913445000E-1,1.220965013E-2,-1.428142563E-2,-2.219171263E-3
4.012885000E-1,3.078914434E-2,-1.035082340E-2,-2.050251234E-3
4.112335000E-1,4.337417707E-2,-4.293196835E-3,-3.136288375E-3
4.211775000E-1,4.743042588E-2,1.832369366E-3,3.280042671E-3
4.311225000E-1,5.144993588E-2,1.332630683E-2,3.188736737E-4
4.410665000E-1,4.781814292E-2,7.568975911E-3,3.640679643E-4
4.510115000E-1,4.764850065E-2,6.226476282E-3,-7.396116853E-3
4.609555000E-1,6.161761656E-2,-7.399779279E-4,-8.065822534E-3
4.709005000E-1,8.540603518E-2,-6.459682481E-4,-1.106747147E-2
4.808445000E-1,1.074983403E-1,-4.222457763E-3,-1.433195174E-2
4.907895000E-1,1.263801605E-1,-2.344396897E-3,-9.896457195E-3
5.007335000E-1,1.379037499E-1,-4.738365533E-5,-3.255572170E-3
5.106775000E-1,1.556169689E-1,-7.331661880E-3,-5.388814025E-4
5.206225000E-1,1.869031787E-1,-2.834022790E-2,-1.257359795E-2
5.305665000E-1,2.315662503E-1,-5.360164121E-2,-2.261611260E-2
5.405115000E-1,2.581992745E-1,-7.017128170E-2,-3.406522423E-2
5.504555000E-1,2.488286793E-1,-8.581442386E-2,-3.979448229E-2
5.604005000E-1,2.261483520E-1,-1.097846404E-1,-3.337680176E-2
5.703445000E-1,2.082684189E-1,-1.065901816E-1,-2.319820039E-2
5.802895000E-1,1.907127202E-1,-5.011640117E-2,-1.317176968E-2
5.902335000E-1,1.909540147E-1,4.130619019E-2,5.450383760E-3
6.001785000E-1,2.113146037E-1,1.117188856E-1,1.679795608E-2
6.101225000E-1,2.502111495E-1,1.187277958E-1,2.684632875E-2
6.200675000E-1,2.776741982E-1,8.452093601E-2,3.772781789E-2
6.300115000E-1,2.756885588E-1,4.716477171E-2,5.291715264E-2
6.399565000E-1,2.442368120E-1,2.185487561E-2,6.398037076E-2
6.499005000E-1,2.136008739E-1,2.450711653E-2,6.989818811E-2
6.598455000E-1,1.869825870E-1,3.727064282E-2,7.775124162E-2
6.697895000E-1,1.703168005E-1,3.791299835E-2,8.401073515E-2
6.797345000E-1,1.616641730E-1,3.286086768E-2,8.816409111E-2
6.896785000E-1,1.595674753E-1,2.691536024E-2,8.550599217E-2
6.996235000E-1,1.474355459E-1,2.015294507E-2,8.010656387E-2
7.095675000E-1,1.419161409E-1,3.128421027E-3,7.199271023E-2
7.195125000E-1,1.436083317E-1,-1.513444632E-2,5.310738459E-2
7.294565000E-1,1.587532014E-1,-2.503394894E-2,3.419494629E-2
7.394015000E-1,1.810321212E-1,-3.495185450E-2,2.366033569E-2
7.493455000E-1,2.152899504E-1,-4.351524636E-2,1.387961116E-2
7.592905000E-1,2.515270114E-1,-6.353599578E-2,1.380690373E-2
7.692345000E-1,2.741670609E-1,-7.818365097E-2,1.852549240E-2
7.791795000E-1,2.989184558E-1,-7.064248621E-2,2.342536114E-2
7.891235000E-1,3.251748383E-1,-2.425075136E-2,3.060364537E-2
7.990675000E-1,3.490756750E-1,4.748352617E-2,5.046550557E-2
8.090123750E-1,3.639398515E-1,1.112494543E-1,7.788302004E-2
8.189563750E-1,3.553125262E-1,1.372043043E-1,1.064470857E-1
8.289013750E-1,3.168545961E-1,1.091199294E-1,1.411488801E-1
8.388453750E-1,2.251339704E-1,1.735993847E-2,1.694948971E-1
8.487903750E-1,1.302229017E-1,-7.556893677E-2,1.908608973E-1
8.587343750E-1,7.128132880E-2,-1.153888330E-1,2.432049960E-1
8.686793750E-1,-1.991276443E-2,-1.805446595E-1,2.907557189E-1
8.786233750E-1,-4.612253234E-2,-2.553198636E-1,2.752350867E-1
8.885683750E-1,3.949090466E-2,-2.405318320E-1,2.275008708E-1
8.985123750E-1,1.480037421E-1,-2.210472822E-1,1.962212920E-1
9.084573750E-1,2.743496895E-1,-1.767309457E-1,1.805696338E-1
9.184013750E-1,3.551773727E-1,-1.557837725E-1,1.893972605E-1
9.283463750E-1,3.666686416E-1,-1.735712886E-1,1.902105957E-1
9.382903750E-1,3.697259128E-1,-1.463333368E-1,1.911090016E-1
9.482353750E-1,3.497335613E-1,-6.486696750E-2,1.914368272E-1
9.581793750E-1,3.252163231E-1,2.970469929E-2,1.745614111E-1
9.681243750E-1,3.405822217E-1,1.518218219E-1,1.570396721E-1
9.780683750E-1,3.554592133E-1,2.098717093E-1,1.763869971E-1
9.880133750E-1,3.226703703E-1,2.180207223E-1,2.045920044E-1
9.979573750E-1,2.618242204E-1,2.610969245E-1,1.967792660E-1
1.007902375E0,2.235441953E-1,2.925672233E-1,1.609943807E-1
1.017846375E0,2.319767475E-1,3.037131131E-1,1.328539401E-1
1.027791375E0,2.063909620E-1,3.236995935E-1,1.472515166E-1
1.037735375E0,1.975803822E-1,2.706730068E-1,1.344355494E-1
1.047680375E0,2.205498815E-1,2.133791000E-1,1.101262271E-1
1.057624375E0,2.302356809E-1,1.648517102E-1,1.135191247E-1
1.067569375E0,2.391191870E-1,1.315209270E-1,1.109630242E-1
1.077513375E0,2.444129139E-1,1.417591721E-1,1.018181816E-1
1.087458375E0,2.394927293E-1,1.599451005E-1,1.145086735E-1
1.097402375E0,2.512131929E-1,1.579756141E-1,1.381834745E-1
1.107347375E0,2.576271296E-1,1.448382288E-1,1.557193100E-1
1.117291375E0,2.288368046E-1,1.170697883E-1,1.859534681E-1
1.127236375E0,1.876885742E-1,7.188606262E-2,2.110729367E-1
1.137180375E0,1.573541015E-1,4.894298688E-2,2.249500602E-1
1.147125375E0,1.310399473E-1,3.811004758E-2,2.263538241E-1
1.157069375E0,1.549856961E-1,2.644653805E-2,2.131547183E-1
1.167014375E0,1.887686998E-1,3.197739273E-2,1.801685393E-1
1.176958375E0,1.819133461E-1,6.106220931E-2,1.337313056E-1
1.186903375E0,1.650808305E-1,8.406499773E-2,9.292262793E-2
1.196847375E0,1.520191878E-1,8.688214421E-2,9.840242565E-2
1.206791375E0,1.329078227E-1,9.473633766E-2,1.282050610E-1
1.216736375E0,9.561700374E-2,1.215871796E-1,1.489678323E-1
1.226680375E0,5.533509701E-2,1.246327758E-1,1.638639569E-1
1.236625375E0,3.750566393E-2,1.167553291E-1,1.699753702E-1
1.246569375E0,2.527669258E-2,1.294343770E-1,1.753355116E-1
1.256514375E0,1.911617070E-2,1.414343119E-1,1.724158376E-1
1.266458375E0,2.909290418E-2,1.379993707E-1,1.700112671E-1
1.276403375E0,4.049098864E-2,1.213693097E-1,1.709507257E-1
1.286347375E0,4.398851842E-2,1.088439301E-1,1.855709404E-1
1.296292375E0,3.134597465E-2,8.490643650E-2,2.057232857E-1
1.306236375E0,2.422121912E-2,4.219732434E-2,2.329839170E-1
1.316181375E0,7.395131513E-3,1.883589476E-2,2.589765191E-1
1.326125375E0,5.982857198E-3,-4.724954488E-5,2.808682323E-1
1.336070375E0,4.684069194E-3,5.464536604E-3,2.948621511E-1
1.346014375E0,-7.657018956E-3,3.637212142E-2,3.056088090E-1
1.355959375E0,-1.195067447E-2,4.589579254E-2,3.047119081E-1
1.365903375E0,-9.656361304E-3,2.979618497E-2,3.119437099E-1
1.375848375E0,-2.369018458E-2,3.157535568E-2,3.248561621E-1
1.385792375E0,-2.907882445E-2,3.599753231E-2,3.443593085E-1
1.395737375E0,-2.376591787E-2,4.902142286E-2,3.550441265E-1
1.405681375E0,-1.569813862E-2,8.262065798E-2,3.604807258E-1
1.415626375E0,-3.185215872E-3,1.109001264E-1,3.648907244E-1
1.425570375E0,6.655164063E-3,1.153659821E-1,3.733089864E-1
1.435515375E0,5.822062027E-3,9.981876612E-2,3.764047623E-1
1.445459375E0,1.812140341E-3,1.175349131E-1,3.805736601E-1
1.455404375E0,8.474571630E-3,1.442088932E-1,3.715187609E-1
1.465348375E0,2.478456870E-2,1.692905426E-1,3.632368743E-1
1.475293375E0,4.227911681E-2,1.626802534E-1,3.520551324E-1
1.485237375E0,5.075090006E-2,1.262942851E-1,3.471162915E-1
1.495182375E0,6.023398414E-2,8.682334423E-2,3.444531560E-1
1.505126375E0,5.252865702E-2,8.722441643E-2,3.414115608E-1
1.515071375E0,4.099659622E-2,7.946570218E-2,3.367933631E-1
1.525015375E0,2.308151126E-2,7.514578849E-2,3.399481475E-1
1.534960375E0,-4.129671957E-3,8.155208081E-2,3.394720852E-1
1.544904375E0,-1.485635154E-2,8.255342394E-2,3.442372978E-1
1.554849375E0,-3.394278884E-2,1.065684631E-1,3.496974707E-1
1.564793375E0,-5.283579230E-2,1.092697009E-1,3.548453748E-1
1.574738375E0,-6.487949938E-2,8.745733649E-2,3.632147908E-1
1.584682375E0,-1.033986583E-1,9.188670665E-2,3.654129803E-1
1.594627375E0,-1.282932907E-1,9.662462026E-2,3.732001185E-1
1.604571375E0,-1.353717148E-1,8.168295771E-2,3.881764114E-1
1.614516375E0,-1.521451920E-1,9.597377479E-2,4.049157500E-1
1.624460375E0,-1.597711444E-1,1.226139069E-1,4.180555344E-1
1.634405375E0,-1.571563780E-1,1.575066149E-1,4.285355508E-1
1.644349375E0,-1.556884348E-1,1.812657416E-1,4.340610802E-1
1.654294375E0,-1.685654223E-1,1.920407265E-1,4.509279430E-1
1.664238375E0,-1.757458299E-1,1.768820137E-1,4.681852162E-1
1.674183375E0,-1.738271862E-1,1.508813500E-1,4.845623076E-1
1.684127375E0,-1.790342033E-1,1.628748924E-1,4.927789569E-1
