Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.1,3.5,167.7,74,555,,
2,4.6,13.7,167.7,74,555,,
3,8.0,22.8,190.5,51,474,17,
4,11.4,31.4,190.5,51,474,17,
5,14.7,40.2,196.8,46,458,18,
6,17.4,48.0,187.1,53,483,19,
7,21.0,58.4,173.2,67,531,17,
8,24.4,67.6,173.2,67,531,17,
9,27.4,76.0,185.8,55,487,17,
10,30.8,85.1,185.1,55,489,18,
11,34.4,94.7,185.1,55,489,18,
12,37.4,103.0,188.2,53,480,17,
13,40.5,112.5,165.7,77,564,19,
14,44.1,123.5,162.8,81,579,17,
15,47.5,134.5,157.9,89,605,17,
16,51.1,145.4,162.3,82,581,17,
17,54.4,155.6,162.3,82,581,17,
18,57.8,166.2,161.6,83,585,18,
19,61.0,176.9,149.5,105,660,19,
20,64.4,188.3,148.8,106,665,18,
21,67.5,199.1,145.5,114,691,19,
22,70.6,209.9,140.6,126,733,20,
23,73.6,220.8,139.8,128,740,20,
24,76.8,232.1,141.9,122,721,19,
25,80.3,243.4,157.6,89,607,17,
26,83.5,254.2,157.6,89,607,17,
27,86.7,265.2,143.1,119,711,19,
28,89.9,276.2,145.2,114,693,19,
29,93.3,287.8,150.1,103,656,17,
30,97.1,300.0,154.5,95,626,16,
31,100.4,310.9,151.4,101,647,18,
32,103.8,322.5,147.3,110,676,18,
33,107.3,334.3,147.3,110,676,18,
34,110.9,346.5,151.6,100,645,16,
35,114.3,358.1,151.6,100,645,16,
36,117.4,369.3,143.2,119,710,19,
37,121.2,382.2,147.1,110,678,16,
38,124.9,394.9,145.4,114,691,16,
39,128.4,407.1,145.4,114,691,16,
40,131.9,419.4,142.5,121,716,17,
41,135.4,431.9,141.2,124,727,17,
42,138.5,442.0,153.7,96,631,19,
43,141.9,452.8,155.9,92,617,18,
44,145.8,465.3,157.7,89,607,15,
45,149.2,476.7,157.7,89,607,15,
46,152.6,488.0,151.0,102,649,18,
47,156.1,499.5,151.5,101,646,17,
48,159.3,510.3,150.2,103,655,18,
49,159.3,510.3,150.2,103,655,18,
50,162.7,520.9,159.5,86,596,18,
51,166.3,532.4,159.5,86,596,18,
52,169.9,544.1,152.3,99,640,17,
53,173.3,555.4,152.3,99,640,17,
54,176.6,566.4,151.5,101,646,18,
55,179.9,577.1,152.3,99,640,18,
56,183.6,589.0,152.3,99,640,18,
57,187.1,600.2,156.3,92,615,16,
58,190.6,610.7,167.6,74,555,17,
59,193.9,621.3,157.9,89,605,18,
60,196.9,631.2,152.5,99,639,20,
61,200.4,642.4,152.5,99,639,20,
62,203.8,653.8,149.1,106,663,18,
63,207.0,664.8,149.1,106,663,18,
64,210.7,677.0,148.7,106,666,17,
65,214.1,688.8,148.7,106,666,17,
66,217.5,700.6,145.9,113,687,17,
67,220.9,712.3,146.3,112,684,18,
68,224.4,724.2,146.3,112,684,18,
69,227.9,736.3,146.1,112,686,17,
70,231.5,748.5,145.7,113,689,17,
71,234.8,759.8,145.7,113,689,17,
72,238.1,770.5,149.6,105,659,18,
73,241.4,781.0,153.6,97,632,19,
74,244.7,792.0,153.6,97,632,19,
75,247.9,802.9,151.7,100,645,18,
76,251.3,814.5,145.6,113,690,18,
77,254.5,825.2,149.3,105,661,19,
78,258.0,837.5,145.1,115,694,17,
79,261.4,849.1,142.6,121,715,18,
80,264.8,860.5,152.3,99,640,17,
81,268.3,872.0,152.3,99,640,17,
82,271.7,883.6,152.3,99,640,17,
83,275.0,895.1,146.6,111,682,18,
84,278.5,907.2,142.5,121,716,18,
85,281.8,918.7,145.8,113,688,18,
86,285.2,930.5,145.8,113,688,18,
87,288.6,942.2,144.5,116,699,18,
88,292.0,953.8,144.5,116,699,18,
89,295.4,965.5,145.9,113,687,18,
90,298.5,976.7,145.9,113,687,18,
