Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.2,3.2,157.1,90,610,,
2,2.5,8.4,157.1,90,610,,
3,3.3,11.8,139.9,128,739,25,
4,6.6,23.8,136.5,138,773,18,
5,10.0,36.7,136.5,138,773,18,
6,13.6,49.9,133.9,146,801,17,
7,17.0,63.1,133.9,146,801,17,
8,20.4,75.7,132.0,152,823,18,
9,23.6,88.2,131.8,153,826,18,
10,27.0,101.0,131.0,156,835,18,
11,30.3,113.7,131.0,156,835,18,
12,33.8,126.7,132.2,151,821,18,
13,37.1,139.4,131.9,153,824,18,
14,40.3,151.6,131.9,153,824,18,
15,43.7,164.6,132.1,152,822,17,
16,47.1,177.1,132.1,152,822,17,
17,50.4,189.7,133.4,147,807,18,
18,53.6,202.0,132.5,150,817,19,
19,57.3,215.4,134.1,145,799,17,
20,60.6,228.0,134.4,144,796,18,
21,63.8,240.2,134.4,144,796,18,
22,67.2,252.7,133.2,148,809,18,
23,70.4,264.8,133.2,148,809,18,
24,73.7,277.4,133.3,148,808,18,
25,76.9,289.6,132.0,152,823,19,
26,80.3,302.3,132.9,149,813,18,
27,83.6,314.6,132.9,149,813,18,
28,86.8,326.8,133.8,146,802,18,
29,90.1,339.2,133.8,146,802,18,
30,93.6,352.2,135.1,142,788,17,
31,97.0,365.0,134.7,143,792,17,
32,100.5,377.7,134.7,143,792,17,
33,103.8,390.1,135.7,140,782,18,
34,107.2,402.7,134.4,144,796,18,
35,110.6,415.3,134.8,143,791,18,
36,113.9,427.8,134.7,143,792,18,
37,117.1,439.8,134.1,145,799,19,
38,120.7,452.8,135.7,140,782,17,
39,123.9,465.1,135.7,140,782,17,
40,127.3,477.7,134.3,144,797,18,
41,130.6,489.8,134.6,144,793,18,
42,134.0,502.5,135.0,142,789,18,
43,137.3,514.8,135.0,142,789,18,
44,140.5,526.9,134.8,143,791,18,
45,144.0,539.8,135.2,142,787,18,
46,147.4,552.3,135.9,139,779,18,
47,150.7,564.3,136.8,137,770,18,
48,154.0,576.4,135.2,142,787,18,
49,157.3,588.9,135.4,141,785,18,
50,160.5,600.5,135.0,142,789,19,
51,163.9,613.3,135.8,140,780,17,
52,167.3,625.4,136.9,136,769,18,
53,170.6,637.6,136.2,139,776,18,
54,173.8,649.6,136.0,139,778,18,
55,177.1,661.6,136.3,138,775,18,
56,180.4,674.0,136.3,138,775,18,
57,183.7,686.0,135.9,139,779,18,
58,187.0,698.4,136.3,138,775,18,
59,190.2,710.0,136.3,138,775,18,
60,193.4,721.6,136.7,137,771,19,
61,196.8,734.1,137.6,134,762,17,
62,200.1,746.2,138.3,132,755,18,
63,203.4,758.2,138.3,132,755,18,
64,206.7,770.2,137.5,135,763,18,
65,210.0,782.3,136.1,139,777,18,
66,213.3,794.3,137.9,133,759,18,
67,216.4,805.8,137.9,133,759,18,
68,219.7,817.8,137.8,134,760,19,
69,223.1,830.4,136.1,139,777,18,
70,226.3,842.4,135.4,141,785,19,
71,229.6,854.4,135.1,142,788,19,
72,232.8,866.4,136.2,139,776,18,
73,236.0,878.0,136.2,139,776,18,
74,239.2,890.0,136.1,139,777,19,
75,242.6,902.4,136.2,139,776,18,
76,245.8,914.4,134.8,143,791,19,
77,249.2,927.1,135.3,141,786,18,
78,252.4,938.9,134.6,144,793,19,
79,255.7,951.2,134.6,144,793,18,
80,259.1,963.9,135.5,141,784,17,
81,262.4,976.0,136.2,139,776,18,
82,265.6,987.9,135.4,141,785,19,
83,269.0,1000.4,134.6,144,793,18,
84,272.2,1012.6,134.6,144,793,18,
85,275.5,1024.6,135.0,142,789,19,
86,278.6,1036.3,136.0,139,778,19,
87,281.9,1048.3,136.7,137,771,18,
88,285.4,1061.1,138.9,131,749,17,
89,288.8,1073.1,138.9,131,749,17,
90,292.1,1085.3,138.7,131,751,18,
91,295.4,1097.1,136.8,137,770,19,
92,298.6,1109.1,135.9,139,779,19,
