Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.1,3.5,170.9,70,541,,
2,4.3,13.7,154.3,95,627,19,
3,7.8,24.7,162.4,82,581,17,
4,11.5,35.7,165.9,77,563,16,
5,14.9,45.8,165.9,77,563,16,
6,18.4,56.7,170.7,70,542,18,
7,22.1,67.9,162.0,82,583,17,
8,25.4,77.9,162.0,82,583,17,
9,28.9,88.6,167.2,75,557,18,
10,32.5,99.3,165.1,78,567,17,
11,36.0,109.8,166.3,76,561,17,
12,39.4,120.3,163.7,80,574,18,
13,42.9,131.0,163.7,80,574,18,
14,46.4,141.5,167.4,75,556,17,
15,49.8,151.5,168.0,74,554,18,
16,53.4,162.3,169.4,72,547,17,
17,56.9,172.8,169.4,72,547,17,
18,60.5,183.8,168.8,73,550,17,
19,64.0,194.9,158.7,88,601,17,
20,67.5,205.6,165.4,77,566,17,
21,70.9,216.1,159.2,87,598,18,
22,74.4,227.2,158.7,88,601,17,
23,77.9,238.0,158.7,88,601,17,
24,81.3,248.2,166.5,76,560,18,
25,84.7,258.9,166.5,76,560,18,
26,88.2,269.7,160.1,85,593,18,
27,91.6,280.0,166.8,75,559,18,
28,95.3,290.9,166.8,75,559,18,
29,98.7,301.1,167.5,74,556,16,
30,102.3,311.5,169.6,72,546,17,
31,105.9,322.1,170.0,71,545,17,
32,109.2,332.3,167.3,75,557,18,
33,112.6,342.5,166.8,75,559,18,
34,115.9,352.3,166.7,76,560,18,
35,119.3,362.4,166.7,76,560,18,
36,122.5,372.2,166.1,76,562,18,
37,125.9,382.2,166.6,76,560,18,
38,129.5,392.8,170.1,71,544,17,
39,132.7,402.7,167.7,74,555,18,
40,136.2,413.2,164.5,79,570,17,
41,139.5,423.3,165.4,77,566,18,
42,142.9,433.4,165.4,77,566,18,
43,146.4,444.0,168.3,73,552,17,
44,149.6,453.5,168.3,73,552,17,
45,153.0,463.4,171.1,70,540,18,
46,156.5,473.3,177.8,62,514,17,
47,160.1,483.5,175.3,65,523,17,
48,163.7,493.9,175.3,65,523,17,
49,166.8,502.9,173.4,67,531,19,
50,170.3,513.0,173.7,67,529,17,
51,173.7,522.6,173.7,67,529,17,
52,177.2,532.2,178.5,62,511,18,
53,180.5,541.8,173.9,67,529,18,
54,183.7,551.2,173.9,67,529,18,
55,187.1,561.5,168.5,73,551,17,
56,190.7,572.1,168.5,73,551,17,
57,194.1,582.1,170.5,71,543,18,
58,197.6,592.1,174.9,65,525,17,
59,201.0,601.9,174.9,65,525,17,
60,204.3,611.8,169.6,72,546,18,
61,207.7,621.9,171.1,70,540,17,
62,211.3,632.0,175.4,65,523,17,
63,214.6,641.5,177.5,63,515,18,
64,218.0,651.5,168.4,73,552,18,
65,221.4,661.5,167.5,74,556,18,
66,224.9,672.2,164.2,79,572,17,
67,228.3,682.5,165.5,77,565,18,
68,231.9,693.0,172.9,68,533,17,
69,235.4,702.7,180.7,59,504,17,
70,238.9,712.6,176.6,64,518,17,
71,242.4,722.5,177.0,63,517,17,
72,245.9,732.5,177.9,62,513,17,
73,249.1,742.2,166.8,75,559,18,
74,252.5,752.1,166.8,75,559,18,
75,255.8,761.9,172.4,68,535,18,
76,259.4,772.5,170.4,71,543,17,
77,262.9,782.4,170.4,71,543,17,
78,266.3,792.2,173.3,67,531,18,
79,269.4,801.2,172.0,69,536,19,
80,272.6,810.5,172.0,69,536,19,
81,276.2,820.9,171.4,70,539,17,
82,279.7,830.8,178.4,62,512,17,
83,282.9,840.2,173.7,67,529,18,
84,286.0,849.3,167.8,74,554,20,
85,288.9,858.3,167.8,74,554,20,
86,291.9,867.8,158.8,87,600,20,
87,294.9,877.3,159.0,87,599,20,
88,298.2,887.9,153.7,96,631,18,
