"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.575916669E-3,5.115069449E-3,-3.708570497E-3,-6.047517061E-3
1.862891667E-2,9.497833438E-3,3.425238887E-3,-2.277279738E-3
2.868191666E-2,1.152388193E-2,1.881240495E-2,-2.905732952E-3
3.873491667E-2,1.450609043E-2,3.162327409E-2,4.032867029E-3
4.878791667E-2,1.535863522E-2,2.413822711E-2,1.385258604E-2
5.884091667E-2,1.192981564E-2,1.599055156E-2,2.012566105E-2
6.889391667E-2,9.643179365E-3,1.015706919E-3,2.329046093E-2
7.894691667E-2,7.752867416E-3,-4.588116426E-3,2.476505190E-2
8.899991667E-2,8.670949377E-3,5.010227673E-3,1.660186797E-2
9.905291667E-2,7.682117634E-3,2.465743385E-2,7.184132934E-3
1.091059167E-1,3.065577941E-3,3.964227065E-2,5.276137963E-3
1.191589167E-1,1.335854875E-3,3.806647658E-2,1.142351329E-2
1.292119167E-1,7.497149054E-3,2.732651494E-2,1.365348138E-2
1.392649167E-1,8.989050984E-3,1.770557836E-2,1.526469458E-2
1.493179167E-1,1.016249228E-2,6.773592904E-3,1.603509672E-2
1.593709167E-1,1.038501854E-3,-2.428427804E-3,1.237298362E-2
1.694239167E-1,-1.126160845E-2,-6.125976332E-3,7.277768105E-3
1.794769167E-1,-1.691736281E-2,-9.985695593E-3,2.558380598E-3
1.895299167E-1,-2.294019610E-2,-1.533536706E-2,8.472462650E-4
1.995829167E-1,-2.439614572E-2,-2.337225527E-2,3.130640835E-3
2.096359167E-1,-2.115947753E-2,-2.959959395E-2,8.214456961E-3
2.196889167E-1,-1.629255153E-2,-2.874605171E-2,7.861588150E-3
2.297419167E-1,-1.152432524E-2,-1.905502006E-2,6.479778327E-3
2.397949167E-1,-1.407616585E-2,-5.131748039E-3,-6.854559761E-4
2.498479167E-1,-1.592109166E-2,1.172358636E-2,-1.305722445E-2
2.599009167E-1,-2.523150295E-2,2.713130414E-2,-1.550307218E-2
2.699539167E-1,-3.280369565E-2,2.691810206E-2,-1.311495900E-2
2.800069167E-1,-3.628870472E-2,1.599328406E-2,-1.295623556E-2
2.900599167E-1,-3.416922688E-2,-3.104706295E-3,-1.192623191E-2
3.001129167E-1,-2.820108272E-2,-1.023105904E-2,-9.061736986E-3
3.101659167E-1,-2.271216176E-2,-8.191673085E-3,-1.934049185E-3
3.202189167E-1,-1.685986482E-2,-2.384649590E-3,4.539029673E-3
3.302719167E-1,-1.311699767E-2,-1.463830587E-3,5.527860019E-3
3.403249167E-1,-2.100847661E-2,-6.729965564E-3,-4.613620695E-5
3.503779167E-1,-3.721014783E-2,-1.470549125E-2,-1.450738986E-3
3.604309167E-1,-4.138784856E-2,-3.546749428E-2,5.210654344E-4
3.704839167E-1,-3.724373132E-2,-5.658745021E-2,5.430334713E-3
3.805369167E-1,-3.090700880E-2,-6.553620100E-2,1.023920439E-2
3.905899167E-1,-2.620258741E-2,-6.470505148E-2,1.135671884E-2
4.006429167E-1,-2.149624936E-2,-5.833717063E-2,8.730309084E-3
4.106959167E-1,-1.730334945E-2,-4.793592170E-2,9.916641749E-3
4.207489167E-1,-9.075779468E-3,-3.820286691E-2,1.276196260E-2
4.308019167E-1,-4.980465397E-3,-3.208816051E-2,7.023595739E-3
4.408549167E-1,-2.591343597E-3,-2.020513639E-2,5.758594256E-3
4.509089167E-1,-2.142618177E-3,-1.106917113E-2,1.196759474E-2
4.609609167E-1,-1.758057741E-3,-7.152194157E-3,1.322833542E-2
4.710149167E-1,3.434479237E-3,-6.487649400E-3,1.085940003E-2
4.810679167E-1,8.077167906E-3,-1.487580780E-2,7.018589415E-3
4.911209167E-1,2.800852992E-3,-1.323999185E-2,2.212915337E-3
5.011739167E-1,-5.052808672E-3,-1.095047314E-2,5.582346581E-3
5.112269167E-1,-6.234069820E-3,-1.285697334E-2,8.179523051E-3
5.212799167E-1,-2.075011376E-3,-2.082009055E-2,5.455642007E-3
5.313329167E-1,1.168034389E-3,-2.557896636E-2,3.536719596E-3
5.413859167E-1,-3.763873596E-3,-2.407907322E-2,5.659525283E-3
5.514385417E-1,-5.081331357E-3,-2.207304724E-2,1.384858787E-2
5.614915417E-1,-6.048857700E-3,-1.958512142E-2,1.846437901E-2
5.715445417E-1,-3.239668906E-3,-1.349549182E-2,2.147156373E-2
5.815975417E-1,-4.358462989E-3,-5.326777231E-3,1.517718285E-2
5.916505417E-1,-3.498742590E-3,-1.521895640E-3,1.185883209E-2
6.017035417E-1,-1.153349876E-2,3.495077835E-4,1.818703674E-2
6.117565417E-1,-6.703118328E-3,-7.109105587E-3,2.212531865E-2
6.218095417E-1,-3.832497168E-3,-1.675294526E-2,2.669104189E-2
6.318625417E-1,2.521521645E-3,-2.758615837E-2,2.521122992E-2
6.419155417E-1,6.249947473E-3,-3.609921783E-2,2.659687214E-2
6.519685417E-1,8.209690452E-3,-3.167241812E-2,2.472690865E-2
6.620215417E-1,3.995237872E-3,-2.004132792E-2,2.072604001E-2
6.720745417E-1,-9.592149407E-3,-7.824978791E-3,1.861228980E-2
6.821275417E-1,-1.126434840E-2,-8.901694790E-3,1.643382385E-2
6.921805417E-1,-6.602614187E-3,-2.852273174E-2,1.538948994E-2
7.022335417E-1,-9.950620588E-4,-3.859187663E-2,1.816290617E-2
7.122865417E-1,3.912335727E-3,-3.909268975E-2,1.769573800E-2
7.223395417E-1,3.476109821E-3,-3.438182175E-2,2.630653605E-2
7.323925417E-1,2.727444284E-3,-2.933143079E-2,2.450256236E-2
7.424455417E-1,1.686793985E-4,-2.461284213E-2,1.496045571E-2
7.524985417E-1,-4.648257513E-3,-2.665459178E-2,-9.845821187E-4
7.625515417E-1,-7.308755536E-3,-2.979712188E-2,6.075457670E-3
7.726045417E-1,-1.305708848E-2,-3.358835354E-2,1.482970174E-2
7.826575417E-1,-1.355430111E-2,-4.169634730E-2,1.619670168E-2
7.927105417E-1,-4.972957075E-3,-4.434107617E-2,1.584313437E-2
8.027635417E-1,1.795732882E-3,-3.751379624E-2,1.723836362E-2
8.128165417E-1,6.815841421E-3,-2.721638791E-2,1.897437312E-2
8.228695417E-1,5.841922946E-3,-1.844819635E-2,1.860526018E-2
8.329225417E-1,9.310305119E-3,-1.353206299E-2,1.615221798E-2
8.429755417E-1,9.200317785E-3,-1.106304582E-2,1.481398102E-2
8.530285417E-1,4.848137032E-4,-9.719638154E-3,1.003722940E-2
8.630815417E-1,-6.686546374E-3,-1.476499625E-2,7.098165341E-3
8.731345417E-1,-1.184445526E-2,-2.149235271E-2,1.011350285E-2
8.831875417E-1,-1.033657324E-2,-2.706501633E-2,9.604838677E-3
8.932405417E-1,-9.912339039E-3,-2.463928610E-2,8.730469272E-3
9.032935417E-1,-7.194316946E-3,-1.889777742E-2,5.343195517E-3
9.133465417E-1,-6.009622477E-3,-1.327258535E-2,5.791138858E-3
9.233995417E-1,-3.925699275E-3,-1.340867300E-2,7.914477028E-3
9.334525417E-1,2.447735053E-3,-1.096537802E-2,7.952188142E-3
9.435055417E-1,-1.965173287E-4,-1.183756348E-2,9.714667685E-3
9.535585417E-1,-5.408186466E-3,-1.432808209E-2,6.915044971E-3
9.636115417E-1,-1.197793894E-2,-1.148382574E-2,1.697113970E-3
9.736645417E-1,-1.080801152E-2,-7.901341654E-3,-1.639029942E-4
9.837175417E-1,-9.480426088E-3,-7.756997831E-3,-1.844091341E-3
9.937705417E-1,-5.501483567E-3,-6.381521467E-3,9.192614816E-4
1.003823542E0,-3.637537127E-3,-6.339177489E-3,5.936124362E-3
1.013876542E0,-3.079341725E-3,-8.067029528E-3,6.809588056E-3
1.023929542E0,-1.219013939E-4,-1.017598715E-2,5.558967125E-3
1.033982542E0,6.737598451E-4,-1.358075906E-2,2.430285327E-3
1.044035542E0,2.915962832E-4,-1.552806236E-2,-7.018584292E-4
1.054088542E0,1.081539085E-4,-1.713658683E-2,-5.547262263E-3
1.064141542E0,-3.401359776E-3,-1.628810354E-2,-1.038010046E-2
1.074194542E0,-6.099792197E-3,-1.751454547E-2,-8.028857410E-3
1.084247542E0,-3.790298477E-3,-2.046958916E-2,-3.912675194E-3
1.094300542E0,3.287996631E-3,-2.573365718E-2,7.758224383E-4
1.104353542E0,6.530661602E-3,-2.945888601E-2,8.686741814E-3
1.114406542E0,6.356190890E-3,-2.674753778E-2,8.027022704E-3
1.124459542E0,7.775388658E-3,-2.525589988E-2,8.082948625E-3
1.134512542E0,6.624353584E-3,-2.205985039E-2,1.228978392E-2
1.144565542E0,1.055950182E-3,-2.263189666E-2,1.330684498E-2
1.154618542E0,1.500704442E-3,-2.078885399E-2,1.113887876E-2
1.164671542E0,4.232308827E-3,-1.039453689E-2,1.053567231E-2
1.174724542E0,7.457695901E-3,1.628852566E-3,1.529319957E-2
1.184777542E0,1.238827221E-2,8.705138229E-3,1.552942209E-2
1.194830542E0,1.602232084E-2,4.092228133E-3,6.152263843E-3
1.204883542E0,1.213304233E-2,-3.864231985E-3,1.598852687E-4
1.214936542E0,6.774923299E-3,-1.050274074E-2,-4.625974689E-3
1.224989542E0,-2.948011504E-3,-1.178318914E-2,-6.141579710E-3
1.235042542E0,-3.479406703E-3,-1.124967821E-2,-9.379180148E-3
1.245095542E0,4.328449257E-3,-7.901019417E-3,-1.487834193E-2
1.255148542E0,3.357332665E-3,9.311582544E-4,-1.602840424E-2
1.265201542E0,6.176555064E-3,3.415088635E-3,-1.525608730E-2
1.275254542E0,1.110628806E-2,7.192093879E-3,-1.792387851E-2
1.285307542E0,1.292842254E-2,1.034980360E-2,-2.538632229E-2
1.295361542E0,1.431199908E-2,1.208302192E-2,-3.159030527E-2
1.305414542E0,1.378895435E-2,9.702421725E-3,-3.281562775E-2
1.315467542E0,1.071829349E-2,5.021765362E-3,-3.433433548E-2
1.325520542E0,2.056095749E-3,-5.420489237E-3,-4.014828056E-2
1.335573542E0,-8.216643706E-3,-1.193957031E-2,-4.744864628E-2
1.345626542E0,-1.137968060E-2,-2.227476798E-2,-5.125430599E-2
1.355679542E0,-4.962296225E-3,-3.485076129E-2,-5.314173922E-2
1.365732542E0,-1.712440629E-3,-3.802924603E-2,-5.976662040E-2
1.375785542E0,-4.574127030E-3,-3.410354257E-2,-7.102672756E-2
1.385838542E0,-7.757403422E-3,-2.983822115E-2,-7.550110668E-2
1.395891542E0,-1.144428365E-2,-2.507888526E-2,-7.222009450E-2
1.405944542E0,-2.089877054E-2,-2.617397718E-2,-7.502041012E-2
1.415997542E0,-2.476836182E-2,-2.965074405E-2,-8.875396103E-2
1.426050542E0,-1.804387942E-2,-3.101827763E-2,-1.042908430E-1
1.436103542E0,-5.010275636E-3,-2.558764443E-2,-1.155703366E-1
1.446156542E0,1.621458493E-2,-1.703463681E-2,-1.153580844E-1
1.456209542E0,3.328766301E-2,-1.072940533E-3,-1.063054651E-1
1.466262542E0,1.992924698E-2,2.535706945E-2,-1.082501039E-1
1.476315542E0,-4.881756380E-3,6.429145485E-2,-1.210625172E-1
1.486368542E0,-2.352308482E-2,9.690133482E-2,-1.337181330E-1
1.496421542E0,-2.447860315E-2,1.162008718E-1,-1.438533664E-1
1.506474542E0,-2.362745814E-2,1.152117774E-1,-1.553257257E-1
1.516527542E0,-3.677879274E-2,1.116927490E-1,-1.762549281E-1
1.526580542E0,-6.060289964E-2,1.171295941E-1,-2.030569762E-1
1.536633542E0,-9.710258245E-2,1.309135854E-1,-2.329309881E-1
1.546686542E0,-1.476626992E-1,1.095816642E-1,-2.720096707E-1
1.556739958E0,-2.052413821E-1,3.054606356E-2,-3.155280352E-1
1.566792958E0,-2.708462179E-1,-7.426450402E-2,-3.492540419E-1
1.576845958E0,-3.534070849E-1,-1.710293591E-1,-3.738511503E-1
1.586898958E0,-4.379576445E-1,-2.490717024E-1,-4.180045128E-1
1.596951958E0,-5.133065581E-1,-3.042661846E-1,-4.754516482E-1
1.607004958E0,-5.750258565E-1,-3.431232870E-1,-5.509238243E-1
1.617057958E0,-6.145822406E-1,-3.409426510E-1,-6.335447431E-1
1.627110958E0,-6.515410542E-1,-3.040152490E-1,-6.928695440E-1
1.637163958E0,-7.382472157E-1,-2.844949663E-1,-7.201043367E-1
1.647216958E0,-8.739293814E-1,-2.062499672E-1,-7.180294394E-1
1.657269958E0,-1.031264067E0,-2.033125311E-1,-7.697699666E-1
1.667322958E0,-1.185080767E0,-1.439171135E-1,-7.948287129E-1
1.677375958E0,-1.284442544E0,-7.009722292E-2,-7.695034146E-1
1.687428958E0,-1.326175809E0,-1.663159765E-2,-7.128126621E-1
1.697481958E0,-1.347223759E0,8.632541634E-3,-6.458379030E-1
1.707534958E0,-1.421850562E0,-1.505398005E-1,-5.534211993E-1
1.717587958E0,-1.510074735E0,-4.576846063E-1,-4.516713023E-1
1.727640958E0,-1.509316802E0,-8.112208247E-1,-3.210083842E-1
1.737693958E0,-1.325446367E0,-9.947884083E-1,-1.302048713E-1
1.747746958E0,-9.624716640E-1,-9.738456011E-1,6.461733580E-2
1.757799958E0,-5.684919357E-1,-7.156141996E-1,2.328671813E-1
1.767852958E0,-3.176916540E-1,-3.252947032E-1,3.588304222E-1
1.777905958E0,-1.719122678E-1,-1.913977973E-2,3.705587685E-1
1.787958958E0,-8.181966841E-2,1.377822012E-1,3.036660254E-1
1.798011958E0,-3.129145876E-2,2.350171655E-1,2.272934467E-1
1.808064958E0,7.843210548E-2,2.498363256E-1,1.370570213E-1
1.818117958E0,2.237899750E-1,3.057555854E-1,4.867884144E-2
1.828170958E0,3.714992702E-1,3.538011611E-1,-7.209471613E-2
1.838223958E0,5.613664985E-1,2.689996064E-1,-2.215763479E-1
1.848276958E0,6.340529323E-1,2.973838449E-1,-3.127621710E-1
1.858329958E0,5.842989087E-1,3.884147704E-1,-3.635893166E-1
1.868382958E0,5.582864881E-1,4.034019709E-1,-4.156349301E-1
1.878435958E0,5.131447911E-1,4.648033082E-1,-3.879030049E-1
1.888488958E0,4.910216928E-1,5.291566849E-1,-3.145672679E-1
1.898541958E0,5.496503711E-1,5.047993064E-1,-1.976960897E-1
1.908594958E0,4.898062050E-1,5.374197960E-1,-5.179774389E-2
1.918647958E0,3.712037802E-1,5.263235569E-1,2.447838150E-2
1.928700958E0,1.554310024E-1,5.440929532E-1,9.488970041E-2
1.938753958E0,-9.053673130E-4,5.344993472E-1,1.564396769E-1
1.948806958E0,-7.318435609E-2,5.019680262E-1,2.242898196E-1
1.958859958E0,-4.043918476E-2,4.256438315E-1,2.173139900E-1
1.968912958E0,-3.451684490E-2,3.938944042E-1,2.073630840E-1
1.978965958E0,-4.136985540E-2,3.988785744E-1,1.314878613E-1
1.989018958E0,-1.714594066E-1,4.825982153E-1,8.064200170E-3
1.999071958E0,-3.222977221E-1,5.536177754E-1,-1.475699097E-1
2.009124958E0,-4.715759158E-1,5.878215432E-1,-2.607550621E-1
2.019177958E0,-5.066627264E-1,4.438252747E-1,-2.706843317E-1
2.029230958E0,-3.859306872E-1,1.591128409E-1,-1.935205907E-1
2.039283958E0,-2.881847322E-1,-3.932183236E-2,-4.090408608E-2
2.049336958E0,-3.100042641E-1,-9.693239629E-2,2.056699432E-2
2.059389958E0,-3.685248196E-1,-9.319717064E-3,-5.746479705E-2
2.069442958E0,-3.668715358E-1,1.593228281E-1,-1.884414405E-1
2.079495958E0,-2.892383039E-1,3.127656281E-1,-2.995956242E-1
2.089548958E0,-1.702101976E-1,4.410240054E-1,-3.284472525E-1
2.099601958E0,-8.213750273E-2,4.147588611E-1,-2.961204648E-1
2.109654958E0,-8.113562316E-2,2.598491609E-1,-2.534227967E-1
2.119707958E0,-1.131692976E-1,1.027959958E-1,-2.132220715E-1
2.129760958E0,-6.448005885E-2,5.247343704E-2,-1.797325462E-1
2.139813958E0,3.835973144E-2,1.751800328E-1,-1.403235197E-1
2.149866958E0,1.569050103E-1,3.617640138E-1,-1.072624996E-1
2.159919958E0,2.065526098E-1,5.070754886E-1,-9.237920493E-2
2.169972958E0,1.785050035E-1,5.537721515E-1,-6.658676267E-2
2.180025958E0,6.232429668E-2,4.795409143E-1,3.460234264E-3
2.190078958E0,-3.899273649E-2,3.098205924E-1,2.983564883E-2
2.200131958E0,-7.427260280E-2,2.058384418E-1,2.137856744E-2
2.210184958E0,-4.006456584E-2,1.943927109E-1,2.314184606E-2
2.220237958E0,3.778075427E-2,3.747092485E-1,-2.618165687E-3
2.230290958E0,6.157050654E-2,6.207336187E-1,-5.280863121E-2
2.240343958E0,1.271987334E-2,7.424408793E-1,-1.250940114E-1
2.250396958E0,-8.898571879E-2,7.043108344E-1,-1.502044350E-1
2.260449958E0,-1.894248128E-1,5.088157058E-1,-1.807273924E-1
2.270502958E0,-2.317198068E-1,3.177650869E-1,-2.118520141E-1
2.280555958E0,-1.791513413E-1,2.418698221E-1,-1.915090978E-1
2.290608958E0,-9.533233196E-2,3.802069128E-1,-1.359065473E-1
2.300661958E0,-7.755649835E-2,6.668915153E-1,-1.239413917E-1
2.310715958E0,-1.409666240E-1,8.274812102E-1,-1.750429422E-1
2.320767958E0,-2.745365798E-1,8.024189472E-1,-2.703208327E-1
2.330821958E0,-3.600533605E-1,6.575389504E-1,-2.925329208E-1
2.340873958E0,-3.686285615E-1,4.607794285E-1,-2.438051105E-1
2.350927958E0,-2.887779176E-1,3.350422680E-1,-1.539250165E-1
2.360980958E0,-9.497530013E-2,4.173987210E-1,-4.245989770E-2
2.371033958E0,1.073013693E-1,6.410970688E-1,6.899019331E-2
2.381086958E0,2.317552119E-1,8.791674376E-1,1.025557667E-1
2.391139958E0,2.053116113E-1,1.053275824E0,3.077558428E-2
2.401192958E0,1.540286690E-1,9.894548059E-1,-6.056253240E-2
2.411245958E0,1.105488315E-1,8.161397576E-1,-9.142696857E-2
2.421298958E0,1.290518641E-1,6.413600445E-1,-6.014963239E-2
2.431351958E0,1.595498472E-1,5.710869431E-1,1.210751757E-2
2.441404958E0,1.811768264E-1,5.715847611E-1,9.209801257E-2
2.451457958E0,1.987861842E-1,6.334609389E-1,1.323964298E-1
2.461510958E0,2.157931626E-1,7.530294061E-1,1.045797691E-1
2.471563958E0,1.737620831E-1,8.622525930E-1,7.052946836E-3
2.481616958E0,1.192825660E-1,8.562183976E-1,-9.942002594E-2
2.491669958E0,5.326839909E-2,7.500594258E-1,-1.647662669E-1
2.501722958E0,-1.231212355E-2,5.979501009E-1,-1.857762635E-1
2.511775958E0,-4.425887018E-2,4.882353246E-1,-1.702985018E-1
2.521828958E0,-5.224251375E-2,4.191473424E-1,-8.733236045E-2
2.531881958E0,-2.421780303E-2,3.488758206E-1,4.505444691E-2
2.541934958E0,-3.938397020E-2,3.379539549E-1,1.682296395E-1
2.551987833E0,-1.032472476E-1,3.756581247E-1,2.015560120E-1
2.562040833E0,-1.498217285E-1,3.832556903E-1,1.435057074E-1
2.572093833E0,-1.838923395E-1,4.009515941E-1,8.504985273E-2
2.582146833E0,-1.612034142E-1,4.209643900E-1,6.998737901E-2
2.592199833E0,-1.164881513E-1,4.472473860E-1,1.084053442E-1
2.602252833E0,-8.452954888E-2,5.117259026E-1,1.781738698E-1
2.612305833E0,-2.045043372E-2,5.658668876E-1,2.265717685E-1
2.622358833E0,3.303841874E-2,6.127962470E-1,2.614405155E-1
2.632411833E0,7.167662680E-2,6.501228213E-1,3.003085852E-1
2.642464833E0,1.337486804E-1,6.652204990E-1,3.607155681E-1
2.652517833E0,2.171043009E-1,6.884549856E-1,4.503959119E-1
2.662570833E0,3.118630648E-1,7.860623002E-1,5.547682047E-1
2.672623833E0,4.130661190E-1,9.596236944E-1,6.510037184E-1
2.682676833E0,5.347090364E-1,1.138076901E0,7.397338152E-1
2.692729833E0,6.720370650E-1,1.264336824E0,8.128788471E-1
2.702782833E0,7.750432491E-1,1.330987334E0,8.523252606E-1
2.712835833E0,7.900989056E-1,1.381695747E0,8.538075686E-1
2.722888833E0,7.656137347E-1,1.422249913E0,8.617979288E-1
2.732941833E0,7.580761909E-1,1.438279271E0,9.460459352E-1
2.742994833E0,8.199145794E-1,1.489693165E0,1.084421277E0
2.753047833E0,9.287800789E-1,1.533096552E0,1.248672009E0
2.763100833E0,1.044469118E0,1.489537358E0,1.398574471E0
2.773153833E0,1.090541005E0,1.359603286E0,1.532095313E0
2.783206833E0,1.139348149E0,1.274579048E0,1.633168697E0
2.793259833E0,1.169518828E0,1.166198850E0,1.728587627E0
2.803312833E0,1.146606684E0,1.025692344E0,1.808950543E0
2.813365833E0,1.165406823E0,9.220061302E-1,1.837250113E0
2.823418833E0,1.290702224E0,9.302394986E-1,1.823717356E0
2.833471833E0,1.571210861E0,1.047076941E0,1.884333730E0
2.843524833E0,1.894169211E0,1.093504071E0,2.155561209E0
2.853577833E0,2.121954679E0,1.150814295E0,2.472194433E0
2.863630833E0,2.213831186E0,1.371601105E0,2.608316183E0
2.873683833E0,2.029587269E0,1.573698759E0,2.375492096E0
2.883736833E0,1.803019166E0,1.632803202E0,2.037692547E0
2.893789833E0,1.583448768E0,1.722239375E0,1.789050817E0
2.903842833E0,1.437390208E0,1.787412524E0,1.754552007E0
2.913895833E0,1.427334309E0,1.839776754E0,1.899420261E0
2.923948833E0,1.451260686E0,1.777176380E0,2.207583904E0
2.934001833E0,1.413787365E0,1.509792924E0,2.478047371E0
2.944054833E0,1.228396893E0,1.141192198E0,2.593704700E0
2.954107833E0,9.842718840E-1,9.378303885E-1,2.561453342E0
2.964160833E0,8.528843522E-1,7.364315987E-1,2.538438082E0
2.974213833E0,8.371280432E-1,6.315584779E-1,2.494258165E0
2.984266833E0,8.874322772E-1,5.336106420E-1,2.543006897E0
2.994319833E0,9.499997497E-1,3.118042350E-1,2.662675858E0
3.004372833E0,1.010072112E0,8.790514618E-2,2.759866714E0
3.014425833E0,1.034375548E0,-8.953328431E-2,2.860580683E0
3.024478833E0,1.052701473E0,-2.040076852E-1,2.889792442E0
3.034531833E0,1.066274643E0,-1.745912135E-1,2.847747087E0
3.044584833E0,1.100029349E0,-1.182308346E-1,2.778784275E0
3.054637833E0,1.186726451E0,-1.107614953E-2,2.800925970E0
3.064690833E0,1.303590894E0,2.220199630E-2,2.916172504E0
3.074743833E0,1.392364144E0,1.206840295E-2,3.000701666E0
3.084796833E0,1.442605972E0,7.851452380E-2,2.953713179E0
3.094849833E0,1.423502922E0,1.709067672E-1,2.823343277E0
3.104902833E0,1.400310278E0,2.072665244E-1,2.705482006E0
