"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.324583332E-3,5.987997894E0,4.470303955E0,6.532266083E0
1.137758334E-2,6.038892059E0,4.596491547E0,6.519392853E0
2.143058334E-2,6.144721985E0,4.691693573E0,6.585704956E0
3.148358333E-2,6.090983734E0,4.717739410E0,6.618786163E0
4.153658333E-2,6.020779724E0,4.727020111E0,6.633755035E0
5.158958334E-2,6.072721710E0,4.766238556E0,6.621031494E0
6.164258334E-2,6.200406189E0,4.812791748E0,6.573280792E0
7.169558333E-2,6.289770355E0,4.903054047E0,6.448739777E0
8.174858333E-2,6.326893158E0,5.089416504E0,6.403234406E0
9.180158334E-2,6.255940704E0,5.189258881E0,6.386020203E0
1.018545833E-1,6.223458252E0,5.189408569E0,6.314019928E0
1.119085833E-1,6.258335724E0,5.173242188E0,6.217171326E0
1.219615833E-1,6.354735260E0,5.254373474E0,6.071673889E0
1.320145833E-1,6.326294403E0,5.396278381E0,5.945037231E0
1.420675833E-1,6.289321289E0,5.628445587E0,5.886508942E0
1.521205833E-1,6.400090942E0,5.769901428E0,5.859265594E0
1.621735833E-1,6.540199585E0,5.881120148E0,5.875132599E0
1.722265833E-1,6.450236664E0,5.974076843E0,5.862858124E0
1.822795833E-1,6.190526733E0,6.058052216E0,5.915548553E0
1.923325833E-1,5.989943848E0,6.193819885E0,6.040688324E0
2.023855833E-1,5.836812286E0,6.357878723E0,6.145171051E0
2.124385833E-1,5.734874268E0,6.611002350E0,6.181545410E0
2.224915833E-1,5.630990295E0,6.987768860E0,6.209088135E0
2.325445833E-1,5.631589050E0,6.998097382E0,6.172115021E0
2.425975833E-1,5.445076904E0,6.950795746E0,6.285579071E0
2.526505833E-1,5.383554840E0,6.780300293E0,6.597979431E0
2.627035833E-1,5.399721222E0,6.484964447E0,6.652615814E0
2.727565833E-1,5.402565308E0,6.623127136E0,6.703509979E0
2.828095833E-1,5.469176788E0,6.795718231E0,6.769073639E0
2.928625833E-1,5.601501617E0,6.427184601E0,6.893015900E0
3.029155833E-1,6.189927979E0,5.627248077E0,7.263495483E0
3.129685833E-1,7.041207733E0,4.200864258E0,7.914342041E0
3.230215833E-1,7.319479065E0,2.995720367E0,8.417745209E0
3.330745833E-1,7.829169159E0,2.360740814E0,8.505762177E0
3.431275833E-1,8.376131744E0,1.419049072E0,8.910520477E0
3.531805833E-1,8.052804108E0,4.117936707E-1,8.763975220E0
3.632335833E-1,6.892566833E0,-9.761201477E-1,7.866591339E0
3.732865833E-1,5.271138611E0,-2.969375153E0,6.431824951E0
3.833395833E-1,4.132157135E0,-3.986959076E0,5.356161804E0
3.933925833E-1,3.497327271E0,-3.381917267E0,4.380041656E0
4.034455833E-1,4.436324615E0,-2.195035400E0,3.460952911E0
4.134995833E-1,5.607938232E0,-1.695075073E0,2.488125916E0
4.235525833E-1,6.076463928E0,3.986210632E-1,2.833158417E0
4.336055833E-1,5.841003571E0,1.949545898E0,4.158652039E0
4.436585833E-1,5.125491486E0,2.920277252E0,5.112318878E0
4.537115833E-1,4.788392487E0,4.323159943E0,5.420977020E0
4.637645833E-1,4.549189911E0,4.830005951E0,5.744304657E0
4.738175833E-1,3.805087280E0,4.369114380E0,6.450835419E0
4.838705833E-1,3.760480042E0,4.287084961E0,8.030500488E0
4.939235833E-1,4.554279327E0,4.563859406E0,9.304950256E0
5.039765833E-1,5.507796478E0,4.899910583E0,9.455387421E0
5.140295833E-1,6.538403320E0,5.170996857E0,9.445507965E0
5.240825833E-1,7.070995789E0,5.469625854E0,9.184151459E0
5.341355833E-1,7.172035675E0,5.466332703E0,8.950936432E0
5.441885833E-1,7.492818604E0,6.375541992E0,8.455466766E0
5.542415833E-1,7.936346283E0,6.850354614E0,7.757168884E0
5.642945833E-1,8.463400269E0,6.848408661E0,7.209008789E0
5.743475833E-1,8.166118469E0,6.089337158E0,7.024292908E0
5.844005833E-1,7.184759216E0,4.390070801E0,7.058272247E0
5.944535833E-1,6.347999268E0,4.044439545E0,7.569010162E0
6.045065833E-1,5.638474731E0,3.281176758E0,7.637567596E0
6.145595833E-1,5.188809814E0,3.619473267E0,7.760911102E0
6.246125833E-1,4.415966949E0,3.455115051E0,7.241640930E0
6.346655833E-1,4.116439819E0,3.410956879E0,7.253017273E0
6.447185833E-1,3.701203308E0,2.160606995E0,7.162605286E0
6.547715833E-1,3.450474701E0,2.013013916E0,7.162006531E0
6.648245833E-1,3.691024475E0,1.428180084E0,6.526278534E0
6.748775833E-1,4.335284729E0,1.996099091E0,5.891897736E0
6.849305833E-1,5.063670044E0,2.689008179E0,5.241350555E0
6.949835833E-1,4.974605255E0,3.479065247E0,4.433480530E0
7.050375833E-1,5.029541016E0,4.614154816E0,4.495900726E0
7.150905833E-1,4.922214203E0,4.386178894E0,5.190157013E0
7.251435833E-1,5.106780396E0,3.583697662E0,6.461762695E0
7.351965833E-1,5.532794495E0,3.095263367E0,8.005352783E0
7.452495833E-1,5.517526245E0,3.453019409E0,8.973240051E0
7.553025833E-1,5.636229401E0,4.188140717E0,9.200317841E0
7.653555833E-1,5.765859833E0,4.353546753E0,8.913065186E0
7.754085833E-1,5.937852173E0,4.883744202E0,8.379275208E0
7.854615833E-1,6.119723969E0,4.876409454E0,8.217461700E0
7.955145833E-1,6.373446350E0,4.421804810E0,8.270900574E0
8.055675833E-1,6.680757294E0,3.721261597E0,8.575966187E0
8.156205833E-1,7.075935516E0,3.560944977E0,8.561895447E0
8.256735833E-1,7.499554596E0,3.854035492E0,8.047265625E0
8.357265833E-1,7.405699768E0,4.576433258E0,7.445067902E0
8.457795833E-1,6.684948578E0,5.061574402E0,6.879693604E0
8.558325833E-1,5.816903687E0,5.080135803E0,6.872957611E0
8.658850000E-1,5.504653015E0,4.859045563E0,7.766898651E0
8.759380000E-1,5.275778961E0,4.335434418E0,8.923393707E0
8.859910000E-1,5.073699188E0,3.688629456E0,9.215436401E0
8.960440000E-1,4.989723816E0,3.547772369E0,8.854536896E0
9.060970000E-1,4.812791748E0,3.496578827E0,7.794141998E0
9.161500000E-1,5.237608337E0,3.908821564E0,6.334527283E0
9.262030000E-1,5.799390106E0,4.204307098E0,5.501060486E0
9.362560000E-1,5.773344269E0,3.410358124E0,5.458399200E0
9.463090000E-1,5.620362396E0,2.607427826E0,6.282435608E0
9.563620000E-1,5.691763916E0,2.792742462E0,6.993007965E0
9.664150000E-1,5.292843475E0,3.049159241E0,7.322472839E0
9.764680000E-1,4.957391052E0,3.478017426E0,7.459438019E0
9.865210000E-1,5.033732300E0,3.745960236E0,7.357050934E0
9.965740000E-1,5.314847717E0,4.368815002E0,7.259154510E0
1.006628000E0,5.207221527E0,4.370012512E0,7.027436371E0
1.016681000E0,4.920567627E0,4.878505096E0,6.628366241E0
1.026734000E0,5.013524323E0,4.335434418E0,6.732848969E0
1.036787000E0,5.351222076E0,3.479963379E0,7.333100739E0
1.046840000E0,5.295986938E0,4.354145508E0,7.934400330E0
1.056893000E0,5.442232819E0,4.943470001E0,8.343948669E0
1.066946000E0,5.950575714E0,4.424948273E0,8.062683563E0
1.076999000E0,6.354435883E0,4.104614410E0,7.727680206E0
1.087052000E0,6.259533234E0,3.956123199E0,7.200775909E0
1.097105000E0,5.560636597E0,3.434308319E0,7.156318359E0
1.107158000E0,4.725523224E0,3.528462524E0,7.471113739E0
1.117211000E0,4.592749329E0,4.203109589E0,8.394693146E0
1.127264000E0,4.959786072E0,4.327650604E0,8.837921448E0
1.137317000E0,5.258564758E0,4.793930969E0,8.871751099E0
1.147370000E0,5.826483765E0,5.327421570E0,8.456514587E0
1.157423000E0,6.058201904E0,4.515959015E0,8.019722900E0
1.167476000E0,5.678591309E0,3.238665161E0,7.454348602E0
1.177529000E0,4.960684204E0,2.440225525E0,7.529192963E0
1.187582000E0,4.584067383E0,2.240091705E0,7.524851990E0
1.197635000E0,4.879852295E0,3.497027893E0,7.577692108E0
1.207688000E0,5.143304443E0,5.364244995E0,7.690557404E0
