"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.027874995E-3,-5.774289370E-3,-4.474215209E-2,-5.822501145E-3
1.408087500E-2,-8.301096037E-3,-4.450432956E-2,-1.014800742E-2
2.413487500E-2,-1.365249511E-2,-5.018713698E-2,-5.486301146E-3
3.418787500E-2,-2.017937042E-2,-4.928219318E-2,1.353228930E-3
4.424187500E-2,-2.426901460E-2,-4.501908273E-2,1.748132752E-3
5.429487500E-2,-2.377979085E-2,-4.345687479E-2,-6.537760142E-3
6.434787500E-2,-1.717275381E-2,-5.026710778E-2,-1.649025828E-2
7.440187500E-2,-1.449760981E-2,-5.869601294E-2,-1.320817973E-2
8.445487500E-2,-1.060762443E-2,-6.440343708E-2,-4.768005572E-3
9.450887500E-2,-2.951835049E-3,-5.868029594E-2,4.524562508E-3
1.045618750E-1,-4.379831953E-4,-3.966400027E-2,8.538127877E-3
1.146158750E-1,-5.072682165E-3,-1.190933213E-2,1.588898525E-2
1.246688750E-1,-1.202092692E-2,1.369407307E-2,1.883787289E-2
1.347228750E-1,-1.958563551E-2,2.569161355E-2,1.805516705E-2
1.447758750E-1,-2.378495969E-2,2.342845872E-2,9.262842126E-3
1.548298750E-1,-2.373435907E-2,1.731517166E-2,4.484332167E-3
1.648828750E-1,-2.633185498E-2,1.287108008E-2,2.988917287E-3
1.749358750E-1,-2.858568914E-2,7.932513952E-3,5.734902807E-3
1.849898750E-1,-2.182872966E-2,2.129634842E-3,9.367452003E-3
1.950428750E-1,-1.587390155E-2,-7.289699744E-3,1.251024846E-2
2.050968750E-1,-1.055403613E-2,-1.272376627E-2,1.102217380E-2
2.151498750E-1,-1.386434492E-2,-1.675845496E-2,6.493735127E-3
2.252038750E-1,-1.561527699E-2,-1.333895605E-2,-5.121195223E-3
2.352568750E-1,-1.312282402E-2,-1.413470879E-2,-9.395834990E-3
2.453108750E-1,-1.412789710E-2,-1.571430638E-2,-1.020716410E-2
2.553638750E-1,-1.709599048E-2,-9.105403908E-3,-7.391669787E-3
2.654178750E-1,-1.691875421E-2,4.163758364E-3,-7.079347037E-3
2.754708750E-1,-2.432180941E-2,1.789581403E-2,-6.056692917E-3
2.855238750E-1,-2.099667117E-2,3.976668790E-2,-3.097171895E-3
2.955778750E-1,-9.881436825E-3,6.627712399E-2,-8.720702492E-3
3.056308750E-1,-8.719478734E-3,7.553952187E-2,-2.103953809E-2
3.156848750E-1,-8.562352508E-3,7.624605298E-2,-2.580606192E-2
3.257378750E-1,-1.294983737E-2,6.894614547E-2,-2.329733223E-2
3.357918750E-1,-1.474640705E-2,6.222325936E-2,-2.000246942E-2
3.458448750E-1,-1.842612401E-2,5.888087675E-2,-2.208907343E-2
3.558988750E-1,-1.939231902E-2,5.065810308E-2,-2.855735831E-2
3.659518750E-1,-1.936207339E-2,4.744841903E-2,-3.241659328E-2
3.760048750E-1,-2.094212733E-2,6.127395108E-2,-3.405497223E-2
3.860588750E-1,-2.546757646E-2,8.113709837E-2,-3.709946945E-2
3.961118750E-1,-2.932090312E-2,9.718611091E-2,-3.244240209E-2
4.061658750E-1,-3.316759318E-2,1.058150157E-1,-2.527477778E-2
4.162188750E-1,-3.640679643E-2,1.049241945E-1,-2.168723382E-2
4.262728750E-1,-3.617647290E-2,9.323295206E-2,-1.604907401E-2
4.363258750E-1,-3.624678031E-2,8.181198686E-2,-1.395156886E-2
4.463798750E-1,-3.651686758E-2,7.877182961E-2,-1.118097734E-2
4.564328750E-1,-4.411939159E-2,7.253790647E-2,-1.719759032E-2
4.664868750E-1,-4.940111935E-2,5.509675294E-2,-3.235996887E-2
4.765398750E-1,-5.510960519E-2,2.018990368E-2,-4.583796114E-2
4.865928750E-1,-6.101448089E-2,-2.390462905E-2,-6.363538653E-2
4.966468750E-1,-6.866760552E-2,-5.599891767E-2,-9.017325193E-2
5.066998750E-1,-7.616390288E-2,-6.334741414E-2,-1.186282113E-1
5.167538750E-1,-8.379758894E-2,-5.436110869E-2,-1.526290625E-1
5.268068750E-1,-9.145317227E-2,-4.756841063E-2,-1.877969205E-1
5.368608750E-1,-9.600984305E-2,-4.875484854E-2,-2.300719470E-1
5.469138750E-1,-8.804579079E-2,-5.613549799E-2,-2.660889924E-1
5.569678750E-1,-7.489324361E-2,-4.615583643E-2,-2.912178040E-1
5.670208750E-1,-5.376955122E-2,-2.187248319E-2,-3.040504754E-1
5.770738750E-1,-2.788202837E-2,-4.837841261E-3,-3.099073172E-1
5.871278750E-1,1.050783973E-2,7.877649739E-3,-3.080932498E-1
5.971808750E-1,5.108509213E-2,-5.122304894E-3,-2.852627635E-1
6.072348750E-1,5.916056037E-2,-5.151993409E-2,-2.545356154E-1
6.172878750E-1,3.905875608E-2,-1.200542524E-1,-2.456569076E-1
6.273418750E-1,3.034031205E-2,-2.017917633E-1,-2.498579323E-1
6.373948750E-1,6.727436185E-2,-2.961139977E-1,-2.721307278E-1
6.474488750E-1,1.703774333E-1,-3.312848508E-1,-3.793093562E-1
6.575018750E-1,3.085765541E-1,-2.410348505E-1,-5.991471410E-1
6.675558750E-1,3.385502398E-1,8.998093009E-2,-8.851606846E-1
6.776088750E-1,1.400248855E-1,9.101849794E-1,-1.221557021E0
6.876618750E-1,-2.691558599E-1,2.262595177E0,-1.617675304E0
6.977158750E-1,-6.021549106E-1,3.544829369E0,-1.945155144E0
7.077688750E-1,-7.127459049E-1,4.113319397E0,-2.219458103E0
7.178228750E-1,-6.649557352E-1,4.017887115E0,-2.449804306E0
7.278758750E-1,-5.360998511E-1,3.486533403E0,-2.559930801E0
7.379298750E-1,-3.674730659E-1,2.493985891E0,-2.410386324E0
7.479828750E-1,-2.477966398E-1,1.100965619E0,-2.098098516E0
7.580368750E-1,-1.098563522E-1,-6.491664052E-1,-1.662022233E0
7.680898750E-1,3.717969358E-2,-2.314553976E0,-1.230771422E0
7.781428750E-1,6.011670083E-2,-3.635030746E0,-8.985921741E-1
7.881968750E-1,2.887958661E-2,-4.213986397E0,-6.090464592E-1
7.982498750E-1,-3.233874682E-3,-4.070106030E0,-3.161709011E-1
8.083038750E-1,-1.197367068E-2,-3.357717752E0,-3.008300439E-2
8.183568750E-1,4.006769136E-2,-2.251005411E0,2.875671387E-1
8.284108750E-1,1.619951278E-1,-9.826102853E-1,5.787559152E-1
8.384638750E-1,3.195293546E-1,2.022860199E-1,8.332902193E-1
8.485178750E-1,4.062013626E-1,1.227555871E0,9.407277107E-1
8.585708750E-1,3.707839847E-1,2.028482199E0,8.764717579E-1
8.686248750E-1,3.031994104E-1,2.556379318E0,6.460940838E-1
8.786778750E-1,2.221383601E-1,2.907264948E0,3.324141800E-1
8.887308750E-1,1.251457781E-1,3.165974140E0,-1.977992803E-2
8.987848750E-1,7.245966792E-2,3.278993607E0,-2.851841748E-1
9.088378750E-1,4.265962169E-2,3.193798065E0,-4.508804977E-1
9.188922500E-1,5.639620498E-2,2.830276489E0,-4.953947067E-1
9.289452500E-1,1.093339548E-1,2.135468245E0,-4.155838788E-1
9.389992500E-1,1.115052253E-1,1.246667862E0,-2.573511004E-1
9.490522500E-1,1.026214883E-1,2.852852345E-1,-1.262620687E-1
9.591062500E-1,8.828888834E-2,-5.407058597E-1,-3.486530483E-2
9.691592500E-1,2.584508061E-2,-1.073541284E0,1.631884836E-2
9.792122500E-1,-7.232445292E-3,-1.288014889E0,4.490419291E-3
9.892662500E-1,-4.934198409E-2,-1.171668410E0,8.368564770E-3
9.993192500E-1,-7.042276859E-2,-8.626328111E-1,-2.924033068E-2
1.009373250E0,-1.994141564E-2,-5.361983776E-1,-6.797584146E-2
1.019426250E0,-3.720482439E-2,-1.898116618E-1,-1.118042842E-1
1.029480250E0,-1.048610313E-3,1.285650581E-2,-1.228951141E-1
1.039533250E0,-8.486654609E-2,1.952670664E-1,-8.897496015E-2
1.049587250E0,-4.256578907E-2,2.173388004E-1,-3.641846031E-2
1.059640250E0,-8.422747999E-2,2.404177487E-1,2.332023904E-2
1.069694250E0,-5.098888278E-2,2.119032145E-1,2.052469179E-2
1.079747250E0,-5.004213005E-2,2.330239415E-1,-4.232377931E-2
1.089800250E0,-1.231685095E-2,2.525365949E-1,-1.366711855E-1
1.099854250E0,8.788451087E-4,3.033321202E-1,-2.199399769E-1
1.109907250E0,3.464508336E-3,2.906192541E-1,-2.465255111E-1
1.119961250E0,3.519553691E-2,1.437363327E-1,-1.896949857E-1
1.130014250E0,6.077343598E-2,-6.638688594E-2,-9.371434152E-2
1.140068250E0,4.265062511E-2,-2.634008527E-1,-1.171241887E-2
1.150121250E0,9.869279340E-3,-3.826137781E-1,3.038139082E-2
1.160175250E0,-1.629281603E-2,-3.991642594E-1,2.470486239E-2
1.170228250E0,-1.247476600E-2,-3.143938482E-1,-1.183390501E-3
1.180281250E0,-2.513037436E-2,-9.771851450E-2,-1.584489085E-2
1.190335250E0,3.428555559E-3,1.634005904E-1,-5.529940128E-3
1.200388250E0,3.873834014E-2,4.192326367E-1,2.161619253E-2
1.210442250E0,4.548779130E-2,6.310191154E-1,5.754353106E-2
1.220495250E0,3.390996158E-2,7.271229625E-1,6.755089015E-2
1.230549250E0,1.669873483E-3,7.554439902E-1,3.700370714E-2
1.240602250E0,-5.699370429E-2,7.518308759E-1,-2.050086483E-2
1.250656250E0,-5.415634066E-2,6.780296564E-1,-7.936775684E-2
1.260709250E0,-4.402008280E-2,5.744353533E-1,-1.168043464E-1
1.270763250E0,-4.223369993E-3,4.776215851E-1,-1.574180722E-1
1.280816250E0,3.627904877E-2,4.185473621E-1,-1.744673699E-1
1.290869250E0,5.407308787E-2,3.699042201E-1,-1.880097389E-1
1.300923250E0,3.178109974E-2,3.251825571E-1,-1.592667699E-1
1.310976250E0,8.524625562E-3,2.315762192E-1,-1.145098954E-1
1.321030250E0,-3.247260675E-2,9.845332056E-2,-1.024729460E-1
1.331083250E0,-4.065397754E-2,-3.314594924E-2,-1.195202991E-1
1.341137250E0,-4.043532908E-2,-1.612317413E-1,-1.507866234E-1
1.351190250E0,7.667574100E-3,-2.382090241E-1,-1.476227343E-1
1.361244250E0,-5.167263560E-3,-2.341034859E-1,-1.014009118E-1
1.371297250E0,1.363381743E-4,-1.956657022E-1,-5.502521992E-3
1.381351250E0,-1.748180389E-2,-1.858215928E-1,1.150981933E-1
1.391404250E0,-1.113465754E-3,-1.927588582E-1,1.518500894E-1
1.401457250E0,-2.247972414E-3,-1.050290018E-1,7.088121027E-2
1.411511250E0,-1.728287898E-2,1.301192194E-1,-1.049337685E-1
1.421564250E0,2.034811862E-2,3.626706898E-1,-2.520276010E-1
1.431618250E0,7.446571253E-3,6.042537093E-1,-3.051811755E-1
1.441671250E0,6.198437884E-2,6.953098774E-1,-2.641285658E-1
1.451725250E0,5.039034039E-2,6.860970259E-1,-1.430196911E-1
1.461778250E0,5.489480868E-2,5.466882586E-1,-3.270862624E-2
1.471832250E0,7.689202577E-2,3.500154614E-1,-3.672372550E-2
1.481885250E0,3.507693112E-2,3.344639242E-1,-1.538652629E-1
1.491938250E0,4.190892912E-3,4.488870800E-1,-2.900348306E-1
