Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.1,2.8,195.2,47,461,,
2,3.0,7.9,195.2,47,461,,
3,3.9,10.1,195.2,47,461,,
4,6.8,17.7,193.9,48,465,21,
5,10.9,27.8,194.6,47,463,20,
6,14.2,36.5,195.5,47,461,18,
7,17.9,47.1,175.3,65,523,16,
8,21.2,57.7,157.7,89,607,18,
9,24.4,68.3,149.6,105,659,19,
10,28.0,79.9,154.5,95,626,17,
11,31.2,90.6,154.5,95,626,17,
12,34.4,101.4,149.7,104,659,19,
13,37.8,112.5,152.9,98,636,18,
14,41.1,122.9,157.2,90,610,18,
15,44.6,134.1,158.4,88,603,17,
16,48.0,144.7,161.9,82,583,18,
17,51.4,155.4,161.9,82,583,18,
18,51.4,155.4,161.9,82,583,18,
19,55.0,166.6,159.2,87,598,17,
20,58.4,177.2,159.4,86,597,18,
21,61.6,188.0,149.2,105,662,19,
22,64.9,198.9,153.3,97,634,18,
23,68.1,209.1,155.7,93,619,19,
24,71.2,219.3,155.7,93,619,19,
25,74.5,229.6,156.0,92,617,19,
26,77.6,239.3,163.3,80,576,19,
27,80.9,249.5,163.4,80,576,18,
28,84.0,259.7,153.9,96,630,19,
29,87.5,270.8,153.9,96,630,19,
30,90.8,281.6,154.9,94,624,18,
31,94.1,292.4,153.5,97,633,18,
32,97.4,303.0,157.1,90,610,18,
33,101.1,314.8,155.9,92,617,16,
34,104.3,324.6,162.0,82,583,19,
35,107.6,335.2,159.9,86,594,18,
36,110.9,345.4,158.3,88,603,19,
37,114.1,355.4,162.7,81,579,18,
38,117.2,364.6,162.7,81,579,18,
39,120.8,375.5,167.0,75,558,17,
40,124.2,386.0,167.0,75,558,17,
41,127.7,396.9,161.5,83,585,17,
42,131.1,407.5,161.5,83,585,17,
43,134.5,418.0,162.5,82,580,18,
44,137.6,428.2,162.5,82,580,18,
45,141.2,439.5,160.6,84,590,17,
46,144.6,450.1,160.6,84,590,17,
47,148.0,460.8,161.8,83,584,18,
48,151.5,471.2,165.5,77,565,18,
49,154.8,481.8,165.5,77,565,18,
50,158.4,492.9,161.7,83,584,17,
51,162.0,504.1,159.5,86,596,17,
52,165.6,515.6,154.9,94,624,17,
53,169.0,526.3,161.8,83,584,17,
54,172.4,536.5,161.8,83,584,17,
55,176.0,547.3,165.2,78,567,17,
56,179.3,557.7,160.0,85,594,18,
57,182.8,568.5,163.5,80,575,17,
58,186.3,579.1,165.1,78,567,17,
59,189.8,589.6,166.9,75,559,17,
60,193.4,600.2,168.6,73,551,17,
61,196.7,610.2,167.0,75,558,18,
62,200.3,620.8,167.0,75,558,18,
63,203.5,630.3,169.0,73,549,19,
64,207.1,641.3,169.0,73,549,19,
65,210.5,651.6,166.7,76,560,17,
66,214.0,662.9,155.2,94,622,17,
67,217.3,673.4,157.4,90,608,18,
68,220.7,684.3,155.3,93,621,18,
69,224.1,695.3,155.3,93,621,18,
70,227.6,706.0,155.5,93,620,17,
71,231.0,716.3,164.8,78,569,18,
72,234.3,726.2,167.2,75,557,18,
73,237.7,736.7,167.2,75,557,18,
74,240.7,746.4,161.1,84,588,18,
75,243.8,756.4,153.5,97,633,20,
76,246.9,766.8,150.5,103,653,19,
77,250.6,778.3,162.5,82,580,16,
78,253.9,789.0,154.1,96,629,18,
79,257.2,800.2,147.2,110,677,18,
80,260.7,811.7,153.4,97,633,17,
81,264.0,822.4,154.5,95,626,18,
82,267.5,833.4,157.4,90,608,18,
83,271.0,844.8,154.3,95,627,17,
84,274.2,855.4,151.6,100,645,18,
85,277.6,866.6,151.6,100,645,18,
86,281.0,878.0,149.2,105,662,18,
87,284.3,888.9,151.0,102,649,18,
88,287.7,900.2,151.2,101,648,17,
89,290.9,910.9,149.1,106,663,19,
90,294.2,921.2,160.8,84,589,18,
91,297.6,931.9,159.4,86,597,18,
