Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.8,2.3,0.0,,,,
2,4.3,12.9,183.3,57,495,,
3,7.8,24.0,165.2,78,567,17,
4,11.3,35.8,157.3,90,609,17,
5,14.9,48.0,148.6,107,667,17,
6,18.4,60.7,143.6,118,706,17,
7,21.9,73.1,142.7,120,714,17,
8,25.4,85.5,142.4,121,717,18,
9,28.9,97.9,141.7,123,723,17,
10,32.4,110.1,141.7,123,723,17,
11,35.9,122.4,141.8,123,722,16,
12,39.4,134.6,142.7,120,714,17,
13,42.9,147.1,143.2,119,710,17,
14,46.4,159.4,141.8,123,722,18,
15,49.9,171.8,142.5,121,716,18,
16,53.4,184.2,142.6,121,715,17,
17,56.4,194.4,142.6,121,715,17,
18,60.0,207.1,143.4,119,708,17,
19,63.4,219.2,142.2,122,718,17,
20,66.9,231.5,142.2,122,718,17,
21,70.4,243.9,142.7,120,714,18,
22,73.9,256.3,142.2,122,718,18,
23,76.9,266.7,142.2,122,718,18,
24,80.4,279.1,142.2,122,718,18,
25,83.9,291.5,142.4,121,717,18,
26,87.4,304.1,140.3,127,736,18,
27,90.4,314.5,140.3,127,736,18,
28,93.9,326.9,141.1,125,728,18,
29,97.4,339.4,141.6,123,724,18,
30,100.9,351.8,141.6,123,724,17,
31,104.4,364.3,141.6,123,724,17,
32,107.9,376.7,141.9,122,721,18,
33,110.9,387.3,141.9,122,721,18,
34,114.4,399.6,141.2,124,727,18,
35,117.9,412.1,141.8,123,722,18,
36,120.9,422.7,141.6,123,724,18,
37,124.4,435.1,140.5,126,734,18,
38,127.9,447.6,141.8,123,722,18,
39,131.4,460.1,141.0,125,729,18,
40,134.4,470.7,141.0,125,729,18,
41,137.9,483.2,140.8,125,731,18,
42,141.4,495.5,140.8,125,731,18,
43,144.9,508.1,141.8,123,722,17,
44,148.4,520.6,140.8,125,731,18,
45,151.9,533.1,141.1,125,728,18,
46,154.9,543.5,141.1,125,728,18,
47,158.4,555.9,142.0,122,720,18,
48,161.9,568.2,142.4,121,717,18,
49,165.4,580.6,142.0,122,720,17,
50,168.9,593.0,142.2,122,718,17,
51,172.4,605.4,141.3,124,726,17,
52,175.9,617.9,141.2,124,727,17,
53,179.4,630.3,141.3,124,726,17,
54,182.9,642.6,141.2,124,727,17,
55,186.9,657.0,141.8,123,722,17,
56,190.4,669.3,142.2,122,718,17,
57,193.4,679.9,142.2,122,718,17,
58,196.9,692.3,140.9,125,730,18,
59,200.4,704.8,140.7,126,732,17,
60,203.9,717.2,140.8,125,731,17,
61,207.4,729.7,141.4,124,726,17,
62,210.9,742.2,140.8,125,731,17,
63,214.4,754.7,140.7,126,732,18,
64,217.9,767.0,141.2,124,727,17,
65,221.4,779.3,142.6,121,715,18,
66,224.9,791.8,141.6,123,724,17,
67,227.9,802.3,141.6,123,724,17,
68,231.4,814.5,140.6,126,733,18,
69,234.9,826.9,143.6,118,706,17,
70,238.4,839.3,142.3,121,718,17,
71,241.9,851.7,142.4,121,717,18,
72,245.4,864.0,143.1,119,711,17,
73,248.4,874.4,143.1,119,711,17,
74,251.9,886.8,142.1,122,719,18,
75,255.4,899.3,141.6,123,724,18,
76,258.9,911.2,141.7,123,723,18,
77,262.4,922.7,147.5,109,675,18,
78,265.9,934.3,152.6,98,638,16,
79,269.4,946.3,146.5,111,683,18,
80,272.9,958.4,145.0,115,695,17,
81,276.4,970.4,146.1,112,686,17,
82,279.4,980.6,146.1,112,686,17,
83,283.4,994.1,150.3,103,654,17,
84,286.4,1004.0,150.3,103,654,17,
85,289.9,1015.9,148.8,106,665,17,
86,293.4,1027.5,149.0,106,664,18,
87,296.9,1039.5,150.4,103,654,17,
