Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.1,2.9,184.3,56,492,,
2,3.9,10.7,184.3,56,492,,
3,4.6,13.3,184.3,56,492,,
4,8.4,23.6,172.2,69,535,17,
5,12.2,34.6,174.9,65,525,16,
6,15.8,44.9,175.0,65,524,17,
7,19.3,55.7,175.0,65,524,17,
8,22.9,66.2,172.0,69,536,17,
9,26.2,75.8,173.2,67,531,18,
10,29.9,86.4,173.2,67,531,18,
11,33.4,97.1,166.6,76,560,17,
12,37.3,108.5,170.2,71,544,16,
13,41.0,119.5,170.0,71,545,16,
14,44.7,130.7,166.7,76,560,16,
15,48.6,142.3,166.7,76,560,16,
16,52.1,152.7,168.0,74,554,15,
17,55.7,163.8,165.0,78,568,16,
18,59.4,174.4,165.0,78,568,16,
19,63.1,184.8,181.7,58,500,16,
20,66.4,194.0,181.7,58,500,16,
21,69.9,204.0,179.0,61,510,18,
22,73.5,213.8,183.7,56,494,17,
23,77.2,223.9,183.7,56,494,17,
24,80.9,234.5,174.5,66,526,16,
25,84.4,244.9,174.5,66,526,16,
26,87.9,254.9,170.7,70,542,18,
27,91.6,265.1,182.1,58,499,16,
28,95.4,275.4,184.9,55,490,16,
29,99.0,285.3,184.9,55,490,16,
30,102.6,295.5,177.7,62,514,16,
31,106.1,305.4,178.1,62,513,17,
32,109.7,315.4,178.1,62,513,17,
33,113.4,325.7,177.1,63,516,16,
34,116.8,335.4,178.9,61,510,17,
35,120.5,346.0,177.0,63,517,16,
36,124.1,355.9,179.2,61,509,17,
37,127.8,366.0,185.2,55,489,16,
38,131.4,375.4,188.2,53,480,17,
39,135.0,385.5,188.2,53,480,17,
40,138.7,395.9,176.3,64,519,16,
41,142.1,405.5,182.9,57,496,17,
42,145.8,415.7,182.9,57,496,17,
43,149.2,425.1,183.8,56,493,18,
44,152.5,434.2,183.8,56,493,18,
45,156.3,444.6,182.7,57,497,18,
46,160.0,454.0,183.2,57,495,16,
47,163.8,463.9,193.3,48,466,16,
48,167.4,473.4,190.0,51,475,17,
49,171.0,483.0,190.0,51,475,17,
50,174.7,493.0,188.6,52,479,17,
51,178.5,502.9,183.5,57,494,16,
52,182.0,512.1,191.5,50,471,16,
53,185.2,521.0,193.8,48,465,17,
54,188.7,531.3,181.4,59,501,19,
55,192.0,540.9,169.1,72,549,17,
56,195.7,551.7,171.3,70,539,16,
57,199.1,561.5,173.1,67,532,18,
58,202.6,571.9,171.4,70,539,17,
59,206.1,581.8,175.7,65,522,17,
60,209.7,592.1,174.6,66,526,17,
61,213.2,602.3,174.6,66,526,17,
62,216.7,612.6,176.0,64,520,17,
63,220.2,622.5,174.4,66,527,17,
64,223.7,632.6,174.4,66,527,17,
65,227.1,641.9,181.9,58,500,18,
66,230.7,651.9,181.9,58,500,18,
67,234.2,661.8,179.5,61,508,17,
68,237.7,670.9,189.6,51,476,17,
69,241.2,680.5,185.3,55,489,17,
70,244.4,689.6,175.9,64,521,19,
71,247.6,698.5,178.8,61,510,19,
72,250.8,707.3,178.8,61,510,19,
73,253.8,715.7,182.4,58,498,19,
74,257.2,725.1,182.5,58,498,18,
75,260.7,735.1,174.6,66,526,17,
76,264.0,744.6,174.6,66,526,17,
77,267.4,753.8,186.3,54,486,18,
78,270.9,763.1,183.8,56,493,18,
79,273.9,771.3,187.3,53,483,20,
80,276.9,779.5,183.5,57,494,20,
81,280.6,789.4,183.5,57,494,20,
82,284.1,799.8,185.4,55,489,16,
83,287.5,809.7,170.3,71,543,18,
84,290.8,819.0,170.3,71,543,18,
85,294.1,828.0,181.2,59,502,18,
86,297.4,837.3,177.7,62,514,18,
