Time,HR (bpm)
00:00:00,113
00:00:01,113
00:00:02,112
00:00:03,112
00:00:04,108
00:00:05,106
00:00:06,104
00:00:07,107
00:00:08,111
00:00:09,114
00:00:10,118
00:00:11,120
00:00:12,122
00:00:13,124
00:00:14,124
00:00:15,125
00:00:16,125
00:00:17,127
00:00:18,129
00:00:19,131
00:00:20,133
00:00:21,136
00:00:22,138
00:00:23,139
00:00:24,142
00:00:25,143
00:00:26,145
00:00:27,146
00:00:28,146
00:00:29,150
00:00:30,152
00:00:31,153
00:00:32,154
00:00:33,155
00:00:34,156
00:00:35,157
00:00:36,158
00:00:37,158
00:00:38,159
00:00:39,160
00:00:40,160
00:00:41,161
00:00:42,162
00:00:43,162
00:00:44,162
00:00:45,162
00:00:46,163
00:00:47,163
00:00:48,163
00:00:49,163
00:00:50,163
00:00:51,163
00:00:52,162
00:00:53,162
00:00:54,162
00:00:55,162
00:00:56,163
00:00:57,163
00:00:58,164
00:00:59,164
00:01:00,165
00:01:01,165
00:01:02,166
00:01:03,166
00:01:04,167
00:01:05,167
00:01:06,167
00:01:07,168
00:01:08,168
00:01:09,168
00:01:10,169
00:01:11,170
00:01:12,170
00:01:13,170
00:01:14,170
00:01:15,170
00:01:16,170
00:01:17,170
00:01:18,169
00:01:19,169
00:01:20,169
00:01:21,170
00:01:22,170
00:01:23,171
00:01:24,171
00:01:25,172
00:01:26,172
00:01:27,173
00:01:28,172
00:01:29,172
00:01:30,172
00:01:31,172
00:01:32,171
00:01:33,172
00:01:34,173
00:01:35,173
00:01:36,173
00:01:37,174
00:01:38,174
00:01:39,174
00:01:40,175
00:01:41,174
00:01:42,173
00:01:43,173
00:01:44,173
00:01:45,172
00:01:46,172
00:01:47,172
00:01:48,171
00:01:49,170
00:01:50,170
00:01:51,169
00:01:52,168
00:01:53,168
00:01:54,167
00:01:55,167
00:01:56,166
00:01:57,166
00:01:58,166
00:01:59,166
00:02:00,167
00:02:01,167
00:02:02,167
00:02:03,167
00:02:04,168
00:02:05,167
00:02:06,168
00:02:07,168
00:02:08,168
00:02:09,168
00:02:10,169
00:02:11,169
00:02:12,169
00:02:13,169
00:02:14,169
00:02:15,169
00:02:16,170
00:02:17,170
00:02:18,169
00:02:19,169
00:02:20,169
00:02:21,170
00:02:22,170
00:02:23,171
00:02:24,171
00:02:25,171
00:02:26,171
00:02:27,172
00:02:28,173
00:02:29,172
00:02:30,172
00:02:31,173
00:02:32,173
00:02:33,173
00:02:34,173
00:02:35,173
00:02:36,173
00:02:37,174
00:02:38,174
00:02:39,173
00:02:40,173
00:02:41,174
00:02:42,174
00:02:43,175
00:02:44,175
00:02:45,176
00:02:46,176
00:02:47,176
00:02:48,177
00:02:49,176
00:02:50,176
00:02:51,176
00:02:52,177
00:02:53,177
00:02:54,176
00:02:55,177
00:02:56,176
00:02:57,176
00:02:58,176
00:02:59,176
00:03:00,175
00:03:01,175
00:03:02,175
00:03:03,175
00:03:04,175
00:03:05,175
00:03:06,175
00:03:07,175
00:03:08,175
00:03:09,176
00:03:10,175
00:03:11,174
00:03:12,174
00:03:13,174
00:03:14,174
00:03:15,174
00:03:16,174
00:03:17,174
00:03:18,173
00:03:19,173
00:03:20,173
00:03:21,173
00:03:22,173
00:03:23,174
00:03:24,172
00:03:25,171
00:03:26,171
00:03:27,171
00:03:28,170
00:03:29,171
00:03:30,171
00:03:31,170
00:03:32,169
00:03:33,170
00:03:34,170
00:03:35,170
00:03:36,170
00:03:37,171
00:03:38,171
00:03:39,171
00:03:40,172
00:03:41,172
00:03:42,172
00:03:43,172
00:03:44,171
00:03:45,170
00:03:46,170
00:03:47,170
00:03:48,169
00:03:49,169
00:03:50,170
00:03:51,170
00:03:52,170
00:03:53,170
00:03:54,170
00:03:55,170
00:03:56,170
00:03:57,170
00:03:58,170
00:03:59,170
00:04:00,170
00:04:01,171
00:04:02,171
00:04:03,172
00:04:04,172
00:04:05,172
00:04:06,173
00:04:07,173
00:04:08,173
00:04:09,172
00:04:10,172
00:04:11,172
00:04:12,171
00:04:13,172
00:04:14,171
00:04:15,170
00:04:16,170
00:04:17,171
00:04:18,171
00:04:19,171
00:04:20,172
00:04:21,172
00:04:22,172
00:04:23,173
00:04:24,174
00:04:25,174
00:04:26,174
00:04:27,174
00:04:28,173
00:04:29,173
00:04:30,174
00:04:31,173
00:04:32,173
00:04:33,173
00:04:34,174
00:04:35,174
00:04:36,174
00:04:37,175
00:04:38,175
00:04:39,175
00:04:40,176
00:04:41,175
00:04:42,175
00:04:43,175
00:04:44,175
00:04:45,176
00:04:46,176
00:04:47,177
00:04:48,176
00:04:49,177
00:04:50,177
00:04:51,176
00:04:52,175
00:04:53,175
00:04:54,175
00:04:55,175
00:04:56,175
00:04:57,175
00:04:58,175
00:04:59,175
00:05:00,176
