Time,HR (bpm)
00:00:00,129
00:00:01,129
00:00:02,129
00:00:03,130
00:00:04,131
00:00:05,133
00:00:06,136
00:00:07,138
00:00:08,140
00:00:09,143
00:00:10,145
00:00:11,148
00:00:12,151
00:00:13,152
00:00:14,154
00:00:15,155
00:00:16,156
00:00:17,157
00:00:18,158
00:00:19,158
00:00:20,159
00:00:21,160
00:00:22,161
00:00:23,161
00:00:24,162
00:00:25,162
00:00:26,162
00:00:27,162
00:00:28,162
00:00:29,162
00:00:30,163
00:00:31,163
00:00:32,164
00:00:33,164
00:00:34,165
00:00:35,165
00:00:36,165
00:00:37,165
00:00:38,165
00:00:39,165
00:00:40,166
00:00:41,166
00:00:42,166
00:00:43,167
00:00:44,167
00:00:45,168
00:00:46,168
00:00:47,170
00:00:48,170
00:00:49,170
00:00:50,171
00:00:51,171
00:00:52,171
00:00:53,171
00:00:54,172
00:00:55,172
00:00:56,173
00:00:57,174
00:00:58,174
00:00:59,174
00:01:00,174
00:01:01,175
00:01:02,175
00:01:03,175
00:01:04,176
00:01:05,176
00:01:06,175
00:01:07,175
00:01:08,175
00:01:09,174
00:01:10,175
00:01:11,175
00:01:12,175
00:01:13,175
00:01:14,176
00:01:15,176
00:01:16,176
00:01:17,177
00:01:18,178
00:01:19,178
00:01:20,178
00:01:21,178
00:01:22,179
00:01:23,178
00:01:24,178
00:01:25,178
00:01:26,178
00:01:27,178
00:01:28,178
00:01:29,178
00:01:30,178
00:01:31,178
00:01:32,178
00:01:33,179
00:01:34,179
00:01:35,180
00:01:36,180
00:01:37,179
00:01:38,180
00:01:39,180
00:01:40,180
00:01:41,181
00:01:42,181
00:01:43,180
00:01:44,181
00:01:45,181
00:01:46,180
00:01:47,180
00:01:48,180
00:01:49,180
00:01:50,179
00:01:51,179
00:01:52,179
00:01:53,179
00:01:54,180
00:01:55,181
00:01:56,180
00:01:57,181
00:01:58,181
00:01:59,182
00:02:00,182
00:02:01,183
00:02:02,183
00:02:03,183
00:02:04,183
00:02:05,183
00:02:06,183
00:02:07,183
00:02:08,184
00:02:09,184
00:02:10,184
00:02:11,185
00:02:12,184
00:02:13,184
00:02:14,185
00:02:15,184
00:02:16,184
00:02:17,184
00:02:18,184
00:02:19,184
00:02:20,184
00:02:21,184
00:02:22,183
00:02:23,183
00:02:24,183
00:02:25,182
00:02:26,182
00:02:27,183
00:02:28,183
00:02:29,183
00:02:30,183
00:02:31,184
00:02:32,184
00:02:33,184
00:02:34,185
00:02:35,185
00:02:36,185
00:02:37,185
00:02:38,185
00:02:39,185
00:02:40,185
00:02:41,185
00:02:42,184
00:02:43,185
00:02:44,185
00:02:45,184
00:02:46,185
00:02:47,185
00:02:48,185
00:02:49,184
00:02:50,184
00:02:51,185
00:02:52,185
00:02:53,185
00:02:54,186
00:02:55,185
00:02:56,186
00:02:57,186
00:02:58,186
00:02:59,186
00:03:00,186
00:03:01,186
00:03:02,186
00:03:03,186
00:03:04,186
00:03:05,186
00:03:06,186
00:03:07,187
00:03:08,187
00:03:09,187
00:03:10,187
00:03:11,187
00:03:12,187
00:03:13,187
00:03:14,186
00:03:15,187
00:03:16,187
00:03:17,186
00:03:18,186
00:03:19,186
00:03:20,186
00:03:21,185
00:03:22,186
00:03:23,187
00:03:24,186
00:03:25,187
00:03:26,188
00:03:27,187
00:03:28,187
00:03:29,187
00:03:30,188
00:03:31,187
00:03:32,187
00:03:33,187
00:03:34,186
00:03:35,186
00:03:36,187
00:03:37,187
00:03:38,187
00:03:39,188
00:03:40,188
00:03:41,187
00:03:42,187
00:03:43,188
00:03:44,187
00:03:45,188
00:03:46,188
00:03:47,188
00:03:48,188
00:03:49,188
00:03:50,188
00:03:51,188
00:03:52,188
00:03:53,188
00:03:54,188
00:03:55,188
00:03:56,188
00:03:57,188
00:03:58,188
00:03:59,188
00:04:00,187
00:04:01,188
00:04:02,188
00:04:03,188
00:04:04,189
00:04:05,189
00:04:06,190
00:04:07,190
00:04:08,190
00:04:09,190
00:04:10,190
00:04:11,189
00:04:12,189
00:04:13,189
00:04:14,189
00:04:15,189
00:04:16,190
00:04:17,189
00:04:18,189
00:04:19,190
00:04:20,190
00:04:21,190
00:04:22,190
00:04:23,191
00:04:24,190
00:04:25,190
00:04:26,190
00:04:27,190
00:04:28,190
00:04:29,190
00:04:30,190
00:04:31,190
00:04:32,190
00:04:33,190
00:04:34,189
00:04:35,190
00:04:36,190
00:04:37,189
00:04:38,189
00:04:39,189
00:04:40,189
00:04:41,188
00:04:42,189
00:04:43,189
00:04:44,188
00:04:45,189
00:04:46,189
00:04:47,188
00:04:48,189
00:04:49,189
00:04:50,189
00:04:51,189
00:04:52,189
00:04:53,189
00:04:54,189
00:04:55,190
00:04:56,190
00:04:57,189
00:04:58,190
00:04:59,190
00:05:00,189
