Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.008946499998,-6.446344757,5.294789429,5.880222015
0.0189995,-7.1206924439999995,5.611979828,5.110672302
0.029052499989999998,-7.031178589,5.891149292000001,4.3834844969999995
0.0391055,-6.402186584,5.976022797000001,3.8290374760000003
0.0491585,-5.760021973,5.798491974,3.605851593
0.0592115,-5.293891296,5.550308075,3.7335360719999997
0.06926449998999999,-5.172643433,5.240901489,4.264032898
0.0793175,-5.304818573,4.590803375,5.015470276
0.0893705,-5.525759125,4.006717987,5.498515778
0.0994235,-5.801485747999999,4.000730438,5.586981812
0.1094765,-6.0716738889999995,4.562961273,5.437891846
0.1195295,-6.299350433,5.02085907,5.222340088
0.1295825,-6.531517639,5.160668335,5.12144989
0.1396355,-6.682703247,5.0976493839999995,4.991969147
0.1496885,-6.7903294370000005,5.148693237,4.819976807
0.1597415,-7.1443432620000005,5.33789978,4.765340424
0.1697945,-7.6779835510000005,5.833369446,4.873864746000001
0.1798475,-7.613467712,6.392007751,4.9852331539999994
0.1899005,-7.2016740420000005,6.7219216920000004,4.776118011
0.1999535,-6.776707764,6.534810791,4.65457077
0.2100065,-6.082002411,6.183042297,4.67103653
0.2200595,-5.767656097000001,5.946085052000001,4.646637268
0.2301125,-5.565726013,5.899681548999999,4.364923096
0.2401655,-5.377866668999999,6.059998169,4.140390015
0.2502185,-5.255421295,6.549031219,4.280049591
0.2602715,-5.188061371,6.922803955,4.4806324769999994
0.2703245,-5.4393887329999995,7.09659256,4.663552094
0.2803775,-5.445975037,6.829996948,4.508474579
0.2904305,-5.418881377999999,6.712042236,4.221221924
0.3004835,-5.496420135,7.028783569,3.990701294
0.3105365,-5.673501892000001,7.30480957,3.921395416
0.3205895,-5.7990907289999996,7.473209381,3.79924942
0.3306425,-5.832471312999999,7.608527985,3.597618713
0.3406955,-5.621559906,7.5667648320000005,3.573069763
0.3507485,-4.859494628999999,7.499255219,3.8420603939999998
0.3608015,-4.054319,7.434589691,3.915407867
0.3708545,-4.065695343,7.25107132,3.895050201
0.3809075,-4.619244232,6.853498077,4.132157135
0.3909605,-5.110372925,6.754553832999999,4.252806243999999
0.4010135,-5.753136292000001,7.0708461,4.0317160030000005
0.4110665,-6.095175018,7.74130188,3.677103424
0.4211195,-6.063291321,8.31580719,3.488944702
0.4311725,-5.753884735,8.438551941,3.2642619319999997
0.4412255,-5.25841507,8.279283142,3.5106495669999997
0.4512785,-5.016967163,7.698341217,3.538491669
0.4613315,-4.820276184,7.115902405,4.007915497
0.4713845,-4.791386261,7.023245087,4.2572969060000005
0.4814375,-4.853058014,7.498955841,4.243824921
0.4914905,-5.124144287,8.261021118,4.045487366000001
0.5015435,-5.73921524,8.700058136,3.825444946
0.5115965,-6.088738403,8.646768951,3.779789886
0.5216495,-5.8736357120000005,8.504414978,3.538940735
0.5317025,-5.446873169,8.378526764,3.1263986210000003
0.5417555,-5.256918182,8.089777222,3.1000534060000002
0.5518085,-5.128634948999999,7.676037598,3.439846802
0.5618615,-5.251529388,7.440726928999999,3.59103241
0.5719145,-6.215824127,7.632178802,3.66707428
0.5819675,-7.424261168999999,8.292904816,3.712130585
0.5920205,-8.315058746,8.759484557999999,3.740122375
0.6020735,-8.703800354,8.671916656,3.7467086789999997
0.6121265,-8.671766968,8.426127777,3.638633423
0.6221795,-8.431067505,8.356073456,3.621718597
0.6322325,-8.162825317000001,8.382268982000001,3.668870544
0.6422855,-7.6978921510000005,8.195158081,3.898193665
0.6523385,-6.878795471,8.228538666,4.142635345
0.6623915,-5.846991119,8.600066071,4.358935547
0.6724445,-4.802612915,9.121880951,4.471501465
0.6824975,-3.970643005,9.609716492,4.327650604
0.6925505,-3.203787689,10.02869522,3.834875336
0.7026035,-2.36822525,10.28092072,3.673361206
0.7126565,-1.849703522,10.24289978,3.976480865
0.7227095,-2.016157379,10.07854156,4.199067993
0.7327625,-2.680924988,9.478289795,4.142335968
0.7428155,-3.36979248,8.704099731,3.945794678
0.7528685,-3.670816498,8.269703064,3.8227505489999998
0.7629215,-3.6184254460000003,8.057743835,3.772904205
0.7729745,-3.58279953,7.778873749,3.712130585
0.7830264167000001,-3.541335754,7.7273808289999995,3.594924316
0.7930794167,-3.619323578,7.924371185,3.4976266480000002
0.8031324167,-3.8438566589999996,8.016429749,3.347937927
0.8131854167,-4.102818146000001,7.9567039489999996,3.366948395
0.8232384167,-4.339326324,7.7778259279999995,3.42951828
0.8332914167000001,-4.492607574,7.557783507999999,3.528013458
0.8433444167,-4.532275085,7.488477631,3.6628829960000004
0.8533974167,-4.5975393680000005,7.6612184139999995,3.715274048
0.8634504167,-4.758305054,7.932753754,3.7170703119999997
0.8735034167,-4.905,8.073161773999999,3.8411622619999997
0.8835564167000001,-5.072801056,8.07825119,3.99234787
0.8936094167,-5.184917908,8.008496246,4.079616393999999
0.9036624167,-5.214705963,7.89458313,4.099075928
0.9137154167,-5.232219543,7.774981842000001,4.054169312
0.9237684167,-5.354515228,7.577542418999999,3.9284307860000003
0.9338214167000001,-5.514233093,7.316934357,3.893703003
0.9438744167,-5.579796752999999,7.186405792,3.930227051
0.9539274167,-5.597460022000001,7.283404083,4.0489302060000005
0.9639804167,-5.583389282000001,7.523355102999999,4.0978784180000005
0.9740334167,-5.507497101,7.744894409,4.086352386000001
0.9840864167,-5.350323943999999,7.936945037999999,4.082909546000001
0.9941394167000001,-5.175637207,7.993078307999999,4.088597717
1.004192417,-5.143005066000001,7.947423248,4.1640408330000005
1.014245417,-5.112618256,7.867339782999999,4.237238617
1.024298417,-5.090913391,7.827971649,4.2710682680000005
1.034351417,-5.14839386,7.746840363,4.287084961000001
1.044404417,-5.220244446000001,7.685767365,4.297263794
1.054457417,-5.170248413,7.7384577939999994,4.470154266000001
1.064510417,-4.943769379,7.967481537,4.688699799
1.074563417,-4.585264893,8.225993958,4.7298641969999995
1.084616417,-4.202061768,8.388256531,4.648882598999999
1.094669417,-4.049079895,8.310119019,4.518952789
1.104722417,-4.12108017,8.153245239,4.444407806
1.114775417,-4.29427002,7.940537567000001,4.477489014
1.124828417,-4.45563446,7.638016662999999,4.509372711
1.1348814170000001,-4.568350067,7.400011597000001,4.487368469
1.144934417,-4.681814117,7.314988402999999,4.467310181
1.154987417,-4.75171875,7.367529144,4.419709167
1.165040417,-4.747826843,7.409292297,4.521796875
1.175093417,-4.562661896,7.3057077029999995,4.529431
1.1851464170000001,-4.448150023999999,7.132368164,4.542154541
1.195199417,-4.465962982,6.961723022,4.574187927
1.205252417,-4.547693024,6.946155396,4.578678589
1.215305417,-4.68390976,7.0124674989999995,4.60307785
1.225358417,-4.8009663389999995,6.96546524,4.571643218999999
1.2354114170000001,-4.921615448,6.843169556,4.493805084
1.245464417,-4.966522063999999,6.773564301,4.516108704
1.255517417,-5.061125336,6.846911774,4.572391663
1.265570417,-5.077591095,7.002138977,4.780458984
1.275623417,-4.762945404,7.143295441,4.914879456
1.2856764170000001,-4.388873291,7.296277312999999,4.890629883
1.295729417,-4.203109588999999,7.372319182999999,4.741090851
1.305782417,-4.29307251,7.234306182999999,4.7871949769999995
1.315835417,-4.337080994,7.033124542,5.032235413
1.325888417,-4.341122588999999,6.880591736,5.172194366
1.3359414170000001,-4.269721069,6.894063721,5.19988678
1.3459944169999998,-4.154610443,6.97250061,5.19045639
1.3560474169999999,-3.937412109,7.070097656000001,5.264701996
1.366100417,-3.707340546,7.088659057999999,5.266647948999999
1.3761534169999998,-3.54417984,7.123386841,5.314248962
1.386206417,-3.42712326,7.21005661,5.2898497010000005
1.3962594169999998,-3.429967346,7.247029724,5.2034793089999996
1.4063124169999999,-3.460803223,7.269632721,5.14016098
1.416365417,-3.513194275,7.114255829,5.155129852
1.4264184169999998,-3.51843338,6.850354614,5.256768494
1.436471417,-3.37458252,6.63674881,5.345982971000001
