"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.864583338E-3,4.753551912E-3,6.820037961E-3,-1.704298519E-2
1.891758334E-2,-1.279936265E-2,1.022528391E-2,-2.259384841E-2
2.897058333E-2,-2.400621213E-2,8.085967042E-3,-1.756127179E-2
3.902358333E-2,-3.240505233E-2,1.113793929E-3,-6.659151055E-3
4.907658334E-2,-4.540314153E-2,3.205973422E-3,-1.897685463E-3
5.912958334E-2,-6.826017797E-2,1.173012424E-2,-1.007982437E-2
6.918258333E-2,-9.051115811E-2,1.882451959E-2,-3.076459654E-2
7.923558333E-2,-1.126601323E-1,2.442035265E-2,-5.630138144E-2
8.928858334E-2,-1.253333092E-1,2.459425852E-2,-7.108725607E-2
9.934158334E-2,-1.426025778E-1,3.054056317E-2,-6.666214764E-2
1.093945833E-1,-1.576643586E-1,4.772807285E-2,-5.236097053E-2
1.194475833E-1,-1.761247814E-1,6.413943321E-2,-3.471593186E-2
1.295005833E-1,-1.911410242E-1,7.447436452E-2,-1.927892305E-2
1.395535833E-1,-1.976202577E-1,8.520808816E-2,-5.145990290E-3
1.496065833E-1,-2.017513514E-1,1.027945355E-1,-8.674412966E-3
1.596595833E-1,-1.989835352E-1,1.428562105E-1,-1.594377682E-2
1.697125833E-1,-1.969395578E-1,1.842742264E-1,-2.216066048E-2
1.797655833E-1,-2.043980509E-1,2.257064581E-1,-2.776041627E-2
1.898185833E-1,-2.220406830E-1,2.478919327E-1,-5.221036449E-2
1.998715833E-1,-2.576403618E-1,2.544508576E-1,-8.459462970E-2
2.099245833E-1,-3.144636750E-1,2.332853675E-1,-1.058834046E-1
2.199775833E-1,-4.010615051E-1,2.408578843E-1,-1.072057188E-1
2.300305833E-1,-5.085424185E-1,1.890516728E-1,-1.110425368E-1
2.400835833E-1,-6.271867156E-1,7.478132844E-2,-1.291943491E-1
2.501365833E-1,-7.747489810E-1,-1.233679242E-2,-1.571735144E-1
