"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.739375002E-3,-7.214846649E0,7.238048401E0,1.875599670E0
8.257624984E-3,-7.192692719E0,6.622528381E0,1.509910126E0
1.825462497E-2,-6.992558899E0,6.012397156E0,1.302890625E0
2.825162496E-2,-6.851252747E0,5.447471924E0,1.187779999E0
3.824862500E-2,-6.889722748E0,4.976850586E0,1.222358093E0
4.824662500E-2,-7.265740814E0,4.773423615E0,1.619631958E0
5.824362498E-2,-8.004304962E0,4.975952454E0,2.480940857E0
6.824062497E-2,-8.878936157E0,5.669160919E0,3.759282532E0
7.823762501E-2,-9.536668396E0,6.555168457E0,5.063670044E0
8.823462500E-2,-9.783654785E0,6.782695313E0,5.624853058E0
9.823162499E-2,-9.353748779E0,5.915249176E0,5.742658081E0
1.082286250E-1,-8.369395752E0,4.745132446E0,5.600902863E0
1.182256250E-1,-7.468868408E0,3.965852966E0,4.950954437E0
1.282223750E-1,-6.726562042E0,3.664679260E0,4.333488464E0
1.382203750E-1,-6.146967316E0,3.705993347E0,4.161346436E0
1.482173750E-1,-5.762566681E0,3.920946350E0,4.041894836E0
1.582143750E-1,-5.216352539E0,4.292773132E0,3.550317078E0
1.682113750E-1,-4.569846954E0,4.720433807E0,2.410138092E0
1.782083750E-1,-4.268523560E0,5.026247864E0,1.134191437E0
1.882053750E-1,-4.253404999E0,4.971012726E0,3.267704773E-1
1.982023750E-1,-4.337679749E0,4.623285828E0,1.842668152E-1
2.081993750E-1,-4.793781281E0,4.385729828E0,4.420307922E-1
2.181973750E-1,-5.571863251E0,4.596341858E0,1.047821045E0
2.281943750E-1,-6.402036896E0,5.344935150E0,1.803150330E0
2.381913750E-1,-7.510631561E0,6.403533783E0,2.409689026E0
2.481883750E-1,-8.643775177E0,7.613916779E0,3.161575470E0
2.581853750E-1,-9.358688507E0,8.683592377E0,3.741768951E0
2.681823750E-1,-1.006536896E1,9.097032623E0,3.616329803E0
2.781793750E-1,-1.039633072E1,8.991651764E0,3.385210419E0
2.881763750E-1,-1.040037231E1,8.512947235E0,2.858156433E0
2.981733750E-1,-1.080587906E1,7.621101837E0,2.264041901E0
3.081703750E-1,-1.062834824E1,7.089557190E0,2.014211426E0
3.181683750E-1,-1.020143600E1,6.542744293E0,1.550924835E0
3.281653750E-1,-9.674980774E0,6.098917236E0,1.378333740E0
3.381623750E-1,-8.747808838E0,5.969885559E0,1.526076508E0
3.481593750E-1,-8.019423523E0,5.823639679E0,1.604663086E0
3.581563750E-1,-7.275620270E0,5.803282013E0,1.935026093E0
3.681533750E-1,-6.684200134E0,5.775439911E0,2.137405243E0
3.781503750E-1,-6.228248291E0,5.793851624E0,2.342628479E0
3.881473750E-1,-5.968987427E0,5.897735596E0,2.343526611E0
3.981453750E-1,-5.952521667E0,5.917494507E0,2.046244812E0
4.081423750E-1,-6.013145599E0,5.842949524E0,1.675316162E0
4.181393750E-1,-6.181395721E0,5.702990570E0,1.367556152E0
4.281363750E-1,-6.226002960E0,5.734275513E0,1.250649261E0
4.381333750E-1,-6.374344482E0,5.855223999E0,1.132694550E0
4.481303750E-1,-6.729855194E0,5.947881317E0,1.081501007E0
4.581273750E-1,-6.955885162E0,6.072272644E0,1.191971283E0
4.681243750E-1,-7.219636688E0,6.140979767E0,1.264720001E0
4.781213750E-1,-7.566465454E0,6.162984009E0,1.425335999E0
4.881193750E-1,-7.842641144E0,6.247707825E0,1.570234680E0
4.981163750E-1,-8.002957764E0,6.428980865E0,1.575623474E0
5.081133750E-1,-8.038134613E0,6.586154022E0,1.499132538E0
5.181103750E-1,-7.932454376E0,6.705755310E0,1.360820160E0
5.281073750E-1,-7.803273010E0,6.718628540E0,1.157692566E0
5.381043750E-1,-7.714208221E0,6.578819275E0,1.158740387E0
5.481013750E-1,-7.580685883E0,6.392606506E0,1.418749695E0
5.580983750E-1,-7.498506775E0,6.238427124E0,1.707499237E0
5.680963750E-1,-7.473508759E0,6.143823853E0,1.870959320E0
5.780933750E-1,-7.408094788E0,6.152954865E0,1.885479126E0
5.880903750E-1,-7.556436310E0,6.075565796E0,1.658700714E0
5.980873750E-1,-7.757767639E0,6.019282837E0,1.471589813E0
6.080843750E-1,-7.859406281E0,6.068380737E0,1.406624908E0
6.180813750E-1,-7.812703400E0,6.119424591E0,1.421294403E0
6.280783750E-1,-7.709268494E0,6.162385254E0,1.478026428E0
6.380753750E-1,-7.580236816E0,6.197562103E0,1.419348450E0
6.480723750E-1,-7.465724945E0,6.280190277E0,1.367556152E0
6.580703750E-1,-7.310198364E0,6.518494720E0,1.395098877E0
6.680673750E-1,-7.256011047E0,6.698270874E0,1.404828644E0
6.780643750E-1,-7.297325134E0,6.716532898E0,1.465751953E0
6.880613750E-1,-7.417375488E0,6.571634216E0,1.456920319E0
6.980583750E-1,-7.644153900E0,6.311774597E0,1.207089844E0
7.080553750E-1,-7.744295654E0,6.085295563E0,1.014290771E0
7.180523750E-1,-7.550598450E0,5.910459137E0,8.924441528E-1
7.280493750E-1,-7.286697235E0,5.785768433E0,9.252259827E-1
7.380463750E-1,-7.201973419E0,5.688770142E0,1.123264160E0
7.480443750E-1,-7.160809021E0,5.640570374E0,1.275347900E0
7.580413750E-1,-7.067253571E0,5.746699677E0,1.247206421E0
7.680383750E-1,-7.034022675E0,5.957611084E0,1.168919220E0
7.780353750E-1,-6.996001740E0,6.159840546E0,1.088386688E0
7.880323750E-1,-6.995552673E0,6.281537476E0,9.876461792E-1
7.980293750E-1,-7.035519562E0,6.365363159E0,9.496252441E-1
