"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.508624959E-3,4.976965189E-1,-9.523358941E-2,-4.521209300E-1
1.450562500E-2,5.217658877E-1,1.635705680E-1,-4.228903949E-1
2.450262499E-2,5.096351504E-1,5.388895869E-1,-4.333102703E-1
3.449962498E-2,4.829764068E-1,9.803441167E-1,-4.955575168E-1
4.449662496E-2,4.609888196E-1,1.382138729E0,-6.363554001E-1
5.449362501E-2,4.601736665E-1,1.651698947E0,-8.648931384E-1
6.449062499E-2,5.043251514E-1,1.726273656E0,-1.104252934E0
7.448762498E-2,5.506954789E-1,1.595651269E0,-1.236974835E0
8.448462497E-2,5.430929661E-1,1.334773421E0,-1.200629354E0
9.448262496E-2,4.847370982E-1,9.483663440E-1,-1.027415633E0
1.044796250E-1,3.902127147E-1,4.761998951E-1,-7.451416254E-1
1.144766250E-1,2.865909040E-1,6.916329265E-2,-4.250706434E-1
1.244736250E-1,2.131025493E-1,-3.058617115E-1,-1.311394274E-1
1.344703750E-1,1.337461025E-1,-5.531691909E-1,8.957155049E-2
1.444673750E-1,4.861762375E-2,-6.368483901E-1,2.249163240E-1
1.544643750E-1,6.908241659E-3,-5.964347124E-1,3.016078770E-1
1.644613750E-1,3.918202594E-2,-3.955263495E-1,3.665562570E-1
1.744583750E-1,1.435013264E-1,-6.322126836E-2,4.373958111E-1
1.844563750E-1,2.814690471E-1,3.055029809E-1,5.062830448E-1
1.944533750E-1,4.010419548E-1,6.703243256E-1,5.482853055E-1
2.044503750E-1,4.739731550E-1,9.687999487E-1,5.491049886E-1
2.144473750E-1,4.972647429E-1,1.160005450E0,5.017576814E-1
2.244443750E-1,4.701308608E-1,1.311974168E0,3.989295661E-1
2.344413750E-1,4.211118221E-1,1.416103601E0,2.440396398E-1
2.444383750E-1,3.580950201E-1,1.430524111E0,7.462238520E-2
2.544353750E-1,3.082584143E-1,1.371694922E0,-7.098226249E-2
2.644333750E-1,2.788931131E-1,1.242819786E0,-1.860401332E-1
2.744303750E-1,2.704231739E-1,1.020565510E0,-2.189615220E-1
2.844273750E-1,2.547400594E-1,7.988393307E-1,-2.081400305E-1
2.944243750E-1,2.135734260E-1,5.380417109E-1,-2.213671803E-1
3.044213750E-1,1.552659124E-1,2.446175665E-1,-1.925134212E-1
3.144183750E-1,7.630153745E-2,3.883441165E-2,-1.634645760E-1
3.244153750E-1,1.105675101E-2,-1.646452099E-1,-1.108239964E-1
3.344123750E-1,-5.866877735E-2,-3.103280962E-1,-4.810845107E-2
3.444093750E-1,-1.019792333E-1,-4.070991278E-1,1.165288594E-2
3.544073750E-1,-1.419968903E-1,-4.407916367E-1,5.956730619E-2
3.644043750E-1,-1.663690805E-1,-4.186658263E-1,8.775553107E-2
3.744013750E-1,-1.760671586E-1,-3.184746206E-1,8.416523784E-2
3.843983750E-1,-1.617076695E-1,-2.081318945E-1,8.543636650E-2
3.943953750E-1,-1.108506322E-1,-3.932943940E-2,5.857957900E-2
4.043923750E-1,-3.689624742E-2,1.153860986E-1,3.450460359E-2
4.143893750E-1,4.199715704E-2,2.686189413E-1,8.456842974E-3
4.243863750E-1,8.651428670E-2,4.431079328E-1,-1.857690513E-2
4.343833750E-1,1.140037552E-1,5.599551201E-1,-2.475288138E-2
4.443813750E-1,1.230169535E-1,6.357782483E-1,-4.001279548E-2
4.543783750E-1,1.208442971E-1,6.665388942E-1,-5.308028683E-2
4.643753750E-1,1.120944843E-1,6.221660972E-1,-4.605060816E-2
4.743723750E-1,1.007910520E-1,5.656348467E-1,-5.426473171E-2
4.843693750E-1,9.346628934E-2,4.781880975E-1,-7.201629877E-2
4.943663750E-1,8.037635684E-2,3.699991703E-1,-7.120018452E-2
5.043633750E-1,6.327167153E-2,2.904012799E-1,-6.350897998E-2
5.143603750E-1,5.857412517E-2,2.336680591E-1,-6.620814651E-2
