"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.836874995E-3,-3.455414429E0,5.590873718E0,7.188800812E0
8.217125003E-3,-3.431464233E0,5.590724030E0,7.228019257E0
1.827012500E-2,-3.445235596E0,5.584736481E0,7.248676300E0
2.832312500E-2,-3.506907349E0,5.551355896E0,7.277566223E0
3.837712501E-2,-3.551215210E0,5.535189514E0,7.287295990E0
4.843012500E-2,-3.579356689E0,5.541027374E0,7.272925873E0
5.848312500E-2,-3.612288208E0,5.537883911E0,7.252717896E0
6.853712500E-2,-3.614234161E0,5.508095856E0,7.219487000E0
7.859012501E-2,-3.596870270E0,5.519023132E0,7.244934082E0
8.864412500E-2,-3.586392059E0,5.562881927E0,7.279961243E0
9.869712500E-2,-3.582799530E0,5.625601501E0,7.292984161E0
1.087501250E-1,-3.600163422E0,5.664819946E0,7.288942566E0
1.188041250E-1,-3.597768402E0,5.632636871E0,7.287295990E0
1.288571250E-1,-3.550616455E0,5.549859009E0,7.311545563E0
1.389101250E-1,-3.506458282E0,5.488935699E0,7.326215057E0
1.489641250E-1,-3.502416687E0,5.492677917E0,7.319628754E0
1.590171250E-1,-3.509452057E0,5.541925507E0,7.297325134E0
1.690701250E-1,-3.495081940E0,5.578449554E0,7.304809570E0
1.791241250E-1,-3.431314545E0,5.585035858E0,7.304360504E0
1.891771250E-1,-3.393143921E0,5.547014923E0,7.286397858E0
1.992301250E-1,-3.405418396E0,5.488336945E0,7.239844666E0
2.092841250E-1,-3.437002716E0,5.446424103E0,7.232360229E0
2.193371250E-1,-3.496578827E0,5.480553131E0,7.232958984E0
2.293901250E-1,-3.528013458E0,5.516927490E0,7.269932098E0
2.394441250E-1,-3.526666260E0,5.531596985E0,7.260801086E0
2.494971250E-1,-3.488795013E0,5.539829865E0,7.249275055E0
2.595501250E-1,-3.451522522E0,5.529501343E0,7.232958984E0
2.696041250E-1,-3.451971588E0,5.541027374E0,7.224726105E0
2.796571250E-1,-3.477268982E0,5.588628387E0,7.264393616E0
2.897101250E-1,-3.522774353E0,5.627248077E0,7.286547546E0
2.997641250E-1,-3.565735016E0,5.615272980E0,7.294930115E0
3.098171250E-1,-3.561543732E0,5.605543213E0,7.319479065E0
3.198701250E-1,-3.512146454E0,5.623505859E0,7.337591400E0
3.299241250E-1,-3.469934235E0,5.632786560E0,7.328610077E0
3.399771250E-1,-3.415447540E0,5.605094147E0,7.280110931E0
3.500311250E-1,-3.379971313E0,5.590873718E0,7.250472565E0
3.600841250E-1,-3.401227112E0,5.588478699E0,7.245383148E0
3.701371250E-1,-3.429518280E0,5.551954651E0,7.280559998E0
3.801911250E-1,-3.467090149E0,5.516478424E0,7.306007080E0
3.902440417E-1,-3.467239838E0,5.469326477E0,7.283853149E0
4.002970417E-1,-3.496728516E0,5.444029083E0,7.277117157E0
4.103510417E-1,-3.536994781E0,5.443879395E0,7.278913422E0
4.204040417E-1,-3.526815948E0,5.480403442E0,7.262297974E0
4.304570417E-1,-3.506009216E0,5.472170563E0,7.224127350E0
4.405110417E-1,-3.523971863E0,5.476062469E0,7.229516144E0
4.505640417E-1,-3.518134003E0,5.522915039E0,7.215595093E0
4.606170417E-1,-3.578608246E0,5.564229126E0,7.201075287E0
4.706710417E-1,-3.601809998E0,5.551655273E0,7.213349762E0
4.807240417E-1,-3.586242371E0,5.550008698E0,7.232060852E0
4.907770417E-1,-3.547023926E0,5.558091888E0,7.294481049E0
5.008310417E-1,-3.481011200E0,5.590873718E0,7.328610077E0
5.108840417E-1,-3.439098358E0,5.618266754E0,7.380402374E0
5.209370417E-1,-3.404969330E0,5.619763641E0,7.378905487E0
5.309910417E-1,-3.403771820E0,5.563780060E0,7.373067627E0
5.410440417E-1,-3.417992249E0,5.522166595E0,7.365732880E0
5.510970417E-1,-3.422333221E0,5.511987762E0,7.347171478E0
5.611510417E-1,-3.402723999E0,5.554050293E0,7.326065369E0
5.712040417E-1,-3.398981781E0,5.597160645E0,7.301366730E0
5.812580417E-1,-3.389252014E0,5.669310608E0,7.288194122E0
5.913110417E-1,-3.376827850E0,5.716312866E0,7.278164978E0
6.013640417E-1,-3.359314270E0,5.758974152E0,7.252418518E0
6.114180417E-1,-3.369792480E0,5.806575165E0,7.244185638E0
6.214710417E-1,-3.364403687E0,5.902375946E0,7.211703186E0
6.315240417E-1,-3.376528473E0,5.993835754E0,7.194938049E0
6.415780417E-1,-3.335214386E0,5.992039490E0,7.243736572E0
6.516310417E-1,-3.260819092E0,5.952521667E0,7.288194122E0
6.616840417E-1,-3.184028778E0,5.942193146E0,7.336393890E0
6.717380417E-1,-3.130440216E0,5.993985443E0,7.320975952E0
6.817910417E-1,-3.096909943E0,5.926326141E0,7.190148010E0
6.918440417E-1,-3.117566986E0,5.759872284E0,7.043752441E0
7.018980417E-1,-3.247197418E0,5.692362671E0,6.910828857E0
7.119510417E-1,-3.468437347E0,5.862708435E0,6.815028076E0
7.220040417E-1,-3.708987122E0,6.074667664E0,6.832541656E0
7.320580417E-1,-3.860621796E0,6.096222839E0,6.872807922E0
7.421110417E-1,-3.882326660E0,6.053711243E0,6.922953644E0
7.521640417E-1,-3.765569458E0,6.034401398E0,7.021748199E0
7.622180417E-1,-3.610941010E0,5.971831512E0,7.063661041E0
7.722710417E-1,-3.485052795E0,5.978717194E0,7.051835632E0
7.823240417E-1,-3.411555634E0,6.056255951E0,7.097490692E0
7.923780417E-1,-3.335513763E0,6.143973541E0,7.155120850E0
8.024310417E-1,-3.222049713E0,6.121520233E0,7.193590851E0
8.124850417E-1,-3.153641968E0,6.071224823E0,7.233707428E0
8.225380417E-1,-3.144361267E0,5.996081085E0,7.241790619E0
8.325910417E-1,-3.179089050E0,5.929918671E0,7.198380890E0
8.426450417E-1,-3.263663177E0,6.000721436E0,7.172933807E0
8.526980417E-1,-3.383264465E0,6.163582764E0,7.114405518E0
8.627510417E-1,-3.431913300E0,6.304290161E0,7.034920807E0
8.728050417E-1,-3.503165131E0,6.407575378E0,6.991660767E0
8.828580417E-1,-3.601510620E0,6.473887482E0,6.980284424E0
8.929110417E-1,-3.695664825E0,6.549031219E0,6.971901855E0
