"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.198712500E-2,-1.354388613E-2,-4.902821779E-2,-7.743786089E-3
2.204012500E-2,-1.778419316E-2,-4.722696915E-2,-9.105300531E-3
3.209312500E-2,-1.832934283E-2,-4.197921231E-2,-1.168217510E-2
4.214712500E-2,-1.864925027E-2,-3.397318721E-2,-9.411737323E-3
5.220012500E-2,-2.040959895E-2,-3.034702875E-2,-8.756066673E-3
6.225312500E-2,-1.553159207E-2,-2.918427065E-2,-1.280793082E-2
7.230712500E-2,-1.155655738E-2,-3.786005080E-2,-1.655952446E-2
8.236012500E-2,-9.816625156E-3,-4.438017309E-2,-1.634433307E-2
9.241412500E-2,-1.310056914E-2,-3.779710829E-2,-1.230911259E-2
1.024671250E-1,-1.532298885E-2,-2.722211927E-2,-9.804560803E-3
1.125201250E-1,-9.922897443E-3,-1.926699094E-2,-7.230349816E-3
1.225741250E-1,-1.549961045E-3,-1.894421875E-2,-2.038209466E-3
1.326271250E-1,3.089265898E-3,-2.305294387E-2,3.415911924E-4
1.426801250E-1,4.350624047E-3,-2.129471302E-2,-1.943484182E-3
1.527341250E-1,2.149787964E-3,-2.054157108E-2,-4.633809440E-3
1.627871250E-1,1.099690795E-3,-1.838163100E-2,1.823965460E-3
1.728401250E-1,-8.233777480E-4,-1.489661727E-2,4.513491876E-3
1.828941250E-1,3.717041574E-3,-6.508540828E-3,5.732062273E-3
1.929471250E-1,5.518669728E-3,-2.789170248E-3,1.785790315E-3
2.030001250E-1,7.050150540E-3,-2.653859789E-3,-1.330771600E-3
2.130541250E-1,6.426704582E-3,-2.974504372E-3,-6.800372154E-3
2.231071250E-1,7.649533451E-3,-5.370716099E-3,-8.977044374E-3
2.331601250E-1,3.390339436E-3,-9.104201570E-3,-1.307218708E-2
2.432141250E-1,4.354723264E-3,-1.661761664E-2,-1.053275168E-2
2.532671250E-1,2.330454532E-3,-2.436927892E-2,-5.795520730E-3
2.633201250E-1,2.828344703E-3,-3.404482454E-2,-2.759160474E-3
