"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.568083336E-3,1.767681390E-1,-1.141547933E-1,3.901822492E-4
1.651308333E-2,1.777612716E-1,-1.683578491E-1,1.294846553E-2
2.645808333E-2,1.814081967E-1,-1.410527229E-1,2.459979430E-2
3.640308334E-2,1.944145411E-1,-8.140558749E-2,4.043849185E-2
4.634708333E-2,2.145472318E-1,-2.123998664E-2,5.758126080E-2
5.629208333E-2,2.212508917E-1,2.002250589E-2,6.914147735E-2
6.623708333E-2,2.302984446E-1,3.132629395E-2,7.401958853E-2
7.618208334E-2,2.416387200E-1,3.618960083E-2,7.000476122E-2
8.612608333E-2,2.308878005E-1,3.769775108E-2,5.061081797E-2
9.607108333E-2,2.088534236E-1,4.315827414E-2,3.109524027E-2
1.060158750E-1,1.993219703E-1,4.939460009E-2,2.273211628E-2
1.159608750E-1,1.930584013E-1,5.815306306E-2,1.466761995E-2
1.259048750E-1,1.747571528E-1,5.947958305E-2,1.684182510E-2
1.358498750E-1,1.361967474E-1,6.250040233E-2,1.940728351E-2
1.457948750E-1,1.042300239E-1,5.301555246E-2,2.952889353E-2
1.557398750E-1,9.180821478E-2,3.232003003E-2,4.293878376E-2
1.656838750E-1,8.260805905E-2,1.149533782E-4,4.311056435E-2
1.756288750E-1,5.719571188E-2,-2.915730327E-2,4.108099639E-2
1.855738750E-1,2.205210738E-2,-4.865563661E-2,4.155903310E-2
1.955188750E-1,1.798925921E-3,-5.666112900E-2,4.598358274E-2
2.054628750E-1,-6.794118090E-4,-5.175159127E-2,4.897591472E-2
2.154078750E-1,1.472723298E-2,-3.534002230E-2,5.295669287E-2
2.253528750E-1,1.800132357E-2,-4.441760015E-3,4.929963872E-2
2.352978750E-1,-1.266726479E-2,2.326926216E-2,4.038579389E-2
2.452418750E-1,-6.854224950E-2,2.154806070E-2,2.890384197E-2
2.551868750E-1,-1.338962615E-1,-3.758998215E-2,3.306104243E-2
2.651318750E-1,-1.955311298E-1,-1.514587551E-1,4.544101283E-2
2.750768750E-1,-2.144345343E-1,-2.605800331E-1,7.157389820E-2
2.850208750E-1,-2.008606791E-1,-3.347802162E-1,9.313564748E-2
2.949658750E-1,-1.776246279E-1,-3.715351820E-1,1.162873060E-1
3.049108750E-1,-1.686660200E-1,-4.171423614E-1,1.403004974E-1
