"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.192550000E-2,-4.619568586E-2,9.949898720E-2,5.292309523E-1
2.187250000E-2,-4.058200866E-2,9.320008010E-2,5.477005243E-1
3.181950000E-2,-2.816013061E-2,9.119769931E-2,5.643196702E-1
4.176650000E-2,-8.510795422E-3,8.533049375E-2,5.869234800E-1
5.171350000E-2,3.192426171E-3,7.617452741E-2,5.949655771E-1
6.166050000E-2,8.140313439E-3,6.937894225E-2,5.981685519E-1
7.160749999E-2,9.678713977E-3,5.946968496E-2,5.994340181E-1
8.155449999E-2,6.048559211E-3,4.582524672E-2,6.059864759E-1
9.150150001E-2,1.340434421E-3,1.573820040E-2,6.260166764E-1
1.014485000E-1,7.054512855E-3,-1.671374962E-2,6.491765976E-1
1.113955000E-1,1.925334893E-2,-3.536041081E-2,6.802826524E-1
1.213425000E-1,3.034541570E-2,-4.796249047E-2,7.025594711E-1
1.312895000E-1,3.849181905E-2,-6.249318272E-2,7.205066085E-1
1.412365000E-1,4.264235869E-2,-8.190070838E-2,7.472428679E-1
1.511835000E-1,3.431329876E-2,-1.023721918E-1,7.621936798E-1
1.611305000E-1,2.111387253E-2,-1.292016804E-1,7.772975564E-1
1.710775000E-1,1.298813429E-2,-1.295563579E-1,7.983497381E-1
1.810245000E-1,1.834549475E-3,-1.245317683E-1,8.261544704E-1
1.909715000E-1,-7.280038204E-3,-1.330842227E-1,8.497538567E-1
2.009185000E-1,-8.351427503E-3,-1.537695378E-1,8.831312656E-1
2.108655000E-1,-3.779481165E-3,-1.564209312E-1,8.873213530E-1
2.208125000E-1,5.499238148E-3,-1.674863696E-1,8.768618107E-1
2.307595000E-1,2.121477760E-2,-1.746166348E-1,8.728325367E-1
2.407065000E-1,3.932826594E-2,-1.588714719E-1,8.641600013E-1
2.506535000E-1,6.762965024E-2,-1.348303109E-1,8.606792688E-1
2.606005000E-1,9.785600007E-2,-1.241853982E-1,8.505653739E-1
2.705475000E-1,1.133800820E-1,-1.248205826E-1,8.291856050E-1
2.804945000E-1,1.413459331E-1,-1.239550486E-1,8.088321090E-1
2.904415000E-1,1.612895876E-1,-1.441053152E-1,7.923579812E-1
3.003885000E-1,1.826340258E-1,-1.832862794E-1,7.883120775E-1
3.103355000E-1,2.087850571E-1,-2.405232638E-1,7.970657945E-1
3.202825000E-1,2.271014899E-1,-3.009698093E-1,8.027141094E-1
3.302295000E-1,2.347923666E-1,-3.433977664E-1,7.970648408E-1
3.401765000E-1,2.267166078E-1,-3.720216751E-1,7.816632390E-1
