"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.237525001E-2,-1.061622345E1,2.384840698E0,9.562115479E-1
2.232225001E-2,-1.031370255E1,2.739004211E0,-1.351689148E-1
3.227025000E-2,-1.043659698E1,3.488795013E0,-1.190025330E0
4.221825000E-2,-1.066966232E1,3.875440979E0,-1.307830353E0
5.216525000E-2,-1.059781174E1,2.962788849E0,-6.294410706E-1
6.211325001E-2,-1.080153809E1,1.827699280E0,1.854643250E-1
7.206125000E-2,-1.097876953E1,1.001716919E0,4.974156189E-1
8.200825000E-2,-1.097577576E1,4.266128540E-1,8.304730225E-1
9.195625001E-2,-1.059526703E1,-5.792953491E-2,1.459165649E0
1.019042500E-1,-1.015099091E1,1.591191101E-1,1.856888580E0
1.118512500E-1,-9.498348083E0,8.095166016E-1,1.371597748E0
1.217992500E-1,-8.844358063E0,1.761686554E0,9.011260986E-1
1.317462500E-1,-8.384065247E0,2.795287170E0,7.762857056E-1
1.416942500E-1,-8.343798981E0,3.354374542E0,1.196012878E0
1.516422500E-1,-8.539591827E0,3.300935669E0,1.459015961E0
1.615902500E-1,-8.940158844E0,3.111729126E0,1.950743408E0
1.715372500E-1,-9.404343567E0,2.815644836E0,2.087558899E0
1.814852500E-1,-9.640702057E0,2.515369263E0,2.071691895E0
1.914322500E-1,-9.514364777E0,2.220931549E0,2.129172363E0
2.013802500E-1,-9.216184845E0,2.136357422E0,2.128872986E0
2.113282500E-1,-8.822802887E0,2.260449371E0,1.916614380E0
2.212752500E-1,-8.547375641E0,2.420616302E0,1.672023010E0
2.312232500E-1,-8.572523346E0,2.537972260E0,1.580114136E0
2.411712500E-1,-8.838071136E0,2.527943115E0,1.619631958E0
2.511182500E-1,-9.046138458E0,2.352657623E0,1.715133362E0
2.610662500E-1,-9.136849823E0,2.422262878E0,1.643881531E0
2.710142500E-1,-9.285490723E0,2.801723785E0,1.783092041E0
2.809612500E-1,-9.384584656E0,3.755989380E0,2.054627380E0
2.909092500E-1,-9.352401581E0,3.124901733E0,1.468745728E0
3.008572500E-1,-9.793534241E0,2.405348053E0,1.681453400E0
