"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.569166667E-3,-8.700507202E0,-4.434977417E0,1.362466736E0
1.451316666E-2,-8.680748291E0,-4.418960724E0,1.359323273E0
2.445816667E-2,-8.658594360E0,-4.366869049E0,1.322499847E0
3.440216667E-2,-8.639284515E0,-4.308490448E0,1.278191986E0
4.434616667E-2,-8.625812531E0,-4.308490448E0,1.259630585E0
5.429016667E-2,-8.610544281E0,-4.363426208E0,1.328786774E0
6.423416667E-2,-8.602311401E0,-4.374652863E0,1.395847321E0
7.417816667E-2,-8.629554749E0,-4.373605042E0,1.404229889E0
8.412216667E-2,-8.653205566E0,-4.396058350E0,1.397044830E0
9.406616667E-2,-8.653055878E0,-4.426744537E0,1.389560394E0
1.040101667E-1,-8.652008057E0,-4.442761230E0,1.356778564E0
1.139541667E-1,-8.641380157E0,-4.467908936E0,1.354533234E0
1.238991667E-1,-8.641529846E0,-4.489164734E0,1.339564362E0
1.338431667E-1,-8.668623505E0,-4.452790375E0,1.316212921E0
1.437871667E-1,-8.712931366E0,-4.402045898E0,1.286125488E0
1.537311667E-1,-8.751551056E0,-4.419709167E0,1.275347900E0
1.636751667E-1,-8.756041718E0,-4.483626251E0,1.279988251E0
1.736191667E-1,-8.714278564E0,-4.485123138E0,1.322050781E0
1.835631667E-1,-8.640182648E0,-4.433929596E0,1.391805725E0
1.935071667E-1,-8.596922607E0,-4.436474304E0,1.441053314E0
2.034511667E-1,-8.558602295E0,-4.484075317E0,1.438059540E0
2.133951667E-1,-8.568481750E0,-4.489763489E0,1.387614441E0
2.233391667E-1,-8.603808289E0,-4.443958740E0,1.362616425E0
2.332841667E-1,-8.618477783E0,-4.412224731E0,1.334474945E0
2.432281667E-1,-8.645870819E0,-4.428690491E0,1.319805450E0
2.531721667E-1,-8.658594360E0,-4.448599091E0,1.309626617E0
2.631161667E-1,-8.677305450E0,-4.408632202E0,1.303788757E0
2.730601667E-1,-8.697064362E0,-4.384831696E0,1.326541443E0
2.830041667E-1,-8.696465607E0,-4.406386871E0,1.366658020E0
2.929481667E-1,-8.698561249E0,-4.415966949E0,1.369951172E0
3.028921667E-1,-8.694968719E0,-4.441713409E0,1.360071716E0
3.128361667E-1,-8.661588135E0,-4.433929596E0,1.377884674E0
3.227801667E-1,-8.610394592E0,-4.442461853E0,1.418150940E0
3.327251667E-1,-8.552614746E0,-4.458328857E0,1.432071991E0
3.426691667E-1,-8.512947235E0,-4.430337067E0,1.423240356E0
3.526131667E-1,-8.530610504E0,-4.387975159E0,1.388811951E0
3.625571667E-1,-8.604856110E0,-4.374503174E0,1.319955139E0
3.725011667E-1,-8.662935333E0,-4.409680023E0,1.278790741E0
3.824451667E-1,-8.676856384E0,-4.435576172E0,1.310375061E0
3.923891667E-1,-8.665180664E0,-4.464615784E0,1.372645569E0
4.023331667E-1,-8.637338562E0,-4.455484772E0,1.408720551E0
4.122771667E-1,-8.612789612E0,-4.428391113E0,1.404828644E0
4.222211667E-1,-8.618328094E0,-4.405937805E0,1.381776581E0
4.321661667E-1,-8.630153503E0,-4.385280762E0,1.355880432E0
4.421101667E-1,-8.651708679E0,-4.409680023E0,1.337468719E0
4.520541667E-1,-8.683891754E0,-4.419858856E0,1.335223389E0
4.619981667E-1,-8.703201599E0,-4.446653137E0,1.342109070E0
4.719421667E-1,-8.690777435E0,-4.440366211E0,1.399439850E0
4.818861667E-1,-8.676107941E0,-4.431085510E0,1.415606232E0
4.918301667E-1,-8.668623505E0,-4.423002319E0,1.395997009E0
5.017741667E-1,-8.671916656E0,-4.414020996E0,1.362017670E0
5.117181667E-1,-8.660690002E0,-4.440216522E0,1.336420898E0
5.216621667E-1,-8.639733582E0,-4.430187378E0,1.337618408E0
