"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.541166670E-3,2.413151041E-2,5.817126483E-3,3.419029526E-3
1.948516667E-2,2.430072613E-2,-4.695240408E-3,5.007548258E-3
2.943016667E-2,1.373436861E-2,-1.380911097E-2,7.676835172E-3
3.937416667E-2,6.144493818E-5,-1.397996955E-2,6.253567524E-3
4.931816667E-2,-9.669212624E-3,-7.549234666E-3,4.613059573E-3
5.926216667E-2,-1.421795785E-2,-9.548192844E-3,2.558923326E-3
6.920616667E-2,-1.463900320E-2,-1.009866968E-2,1.694994047E-3
7.915016667E-2,-1.166556124E-2,-9.979623370E-3,3.107422963E-4
8.909416667E-2,-8.229284547E-3,-1.503057498E-2,-5.790026858E-3
9.903816667E-2,-1.207726193E-3,-1.293743402E-2,-7.431635167E-3
1.089821667E-1,2.531351987E-3,-5.354881287E-3,-8.806891739E-3
1.189261667E-1,3.724951297E-3,5.104982294E-3,-5.774106830E-3
1.288711667E-1,4.556922708E-3,4.363558255E-3,-2.801486291E-3
1.388151667E-1,-2.125824802E-3,2.077805111E-3,-2.567580901E-3
1.487591667E-1,-7.702755975E-4,2.865301911E-3,-3.429646138E-3
1.587031667E-1,-9.636738105E-4,2.193246037E-3,8.675176650E-4
1.686471667E-1,-3.015373368E-3,6.145376712E-3,2.928005531E-3
1.785911667E-1,-1.253319904E-3,7.141408278E-4,5.415090360E-3
1.885351667E-1,-1.810985617E-3,-1.635272801E-2,3.777779639E-3
1.984791667E-1,8.306203410E-3,-2.248525620E-2,3.128710203E-3
2.084231667E-1,1.401175931E-2,-2.030918747E-2,-4.942798521E-3
2.183671667E-1,1.593195461E-2,-1.329313032E-2,-2.828385215E-3
2.283121667E-1,2.142099664E-2,-2.285220660E-3,-7.133651525E-3
2.382561667E-1,1.581285708E-2,4.361452069E-3,-2.773402259E-3
2.482001667E-1,1.303970721E-2,5.387301557E-3,-2.713215072E-3
2.581441667E-1,2.927588765E-3,1.617503935E-3,4.072403535E-4
2.680881667E-1,-3.805148881E-3,-4.377804697E-3,2.660008147E-3
2.780321667E-1,-5.892872578E-4,-3.246049862E-3,1.979822293E-3
2.879761667E-1,1.027251477E-3,-4.958033096E-4,-2.462063916E-3
2.979201667E-1,9.336003102E-3,1.587548759E-3,-4.153578077E-3
3.078641667E-1,5.502915941E-3,5.984960124E-3,-4.132006783E-3
3.178081667E-1,7.431519683E-3,1.229526196E-2,2.349475399E-4
3.277531667E-1,7.755360100E-3,1.652729139E-2,2.341241576E-3
3.376971667E-1,1.141166221E-2,5.755378865E-3,8.615258150E-3
