"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.392208332E-3,-7.642207947E0,-6.404132538E0,-1.931134186E0
1.534020832E-2,-7.688611450E0,-6.391858063E0,-1.957778778E0
2.528720832E-2,-7.687863007E0,-6.268514557E0,-1.954635315E0
3.523420832E-2,-7.622149658E0,-6.088139648E0,-1.931134186E0
4.518120833E-2,-7.575895844E0,-5.870941315E0,-1.919308777E0
5.512820833E-2,-7.582931213E0,-5.616620178E0,-1.933229828E0
6.507520833E-2,-7.633226624E0,-5.324727173E0,-1.964963837E0
7.502320832E-2,-7.693551178E0,-5.102289734E0,-2.035317535E0
8.497020832E-2,-7.726782074E0,-4.923262024E0,-2.077230377E0
9.491720832E-2,-7.752827911E0,-4.811294861E0,-2.070644073E0
1.048642083E-1,-7.813002777E0,-4.768184509E0,-2.023641815E0
1.148112083E-1,-7.882757721E0,-4.812492371E0,-2.034718781E0
1.247582083E-1,-7.972870331E0,-4.924010468E0,-2.101180573E0
1.347062083E-1,-8.024962006E0,-5.081333313E0,-2.188000031E0
1.446532083E-1,-8.004304962E0,-5.207371216E0,-2.227667542E0
1.546002083E-1,-7.975415039E0,-5.284909973E0,-2.191442871E0
1.645472083E-1,-7.951764221E0,-5.303321686E0,-2.147584076E0
1.744942083E-1,-7.946375427E0,-5.283712463E0,-2.218237152E0
1.844412083E-1,-7.964487762E0,-5.234913940E0,-2.309696960E0
1.943892083E-1,-8.028853912E0,-5.145400085E0,-2.392175446E0
2.043362083E-1,-8.067772980E0,-5.038821716E0,-2.479443970E0
2.142832083E-1,-8.029452667E0,-4.890929260E0,-2.482886810E0
2.242302083E-1,-7.975714417E0,-4.761149139E0,-2.403102722E0
2.341772083E-1,-7.932604065E0,-4.681215363E0,-2.349065094E0
2.441242083E-1,-7.962841187E0,-4.647685089E0,-2.281106415E0
2.540722083E-1,-8.060587921E0,-4.656516724E0,-2.200723572E0
2.640192083E-1,-8.186775513E0,-4.710254974E0,-2.182311859E0
2.739662083E-1,-8.311466217E0,-4.721631317E0,-2.114652557E0
2.839132083E-1,-8.325237579E0,-4.714146881E0,-2.100432129E0
2.938602083E-1,-8.302484894E0,-4.637655945E0,-2.099833374E0
3.038072083E-1,-8.253536682E0,-4.557572479E0,-1.979184265E0
3.137552083E-1,-8.191116486E0,-4.602030029E0,-1.927391968E0
3.237022083E-1,-8.129893799E0,-4.638404388E0,-1.855391693E0
3.336492083E-1,-8.062084808E0,-4.578079834E0,-1.775457916E0
3.435962083E-1,-7.991132355E0,-4.497696991E0,-1.711840210E0
3.535432083E-1,-7.910450134E0,-4.404740295E0,-1.695075073E0
3.634912083E-1,-7.844736786E0,-4.350852356E0,-1.728006592E0
3.734382083E-1,-7.807314606E0,-4.343218231E0,-1.818568268E0
3.833852083E-1,-7.815248108E0,-4.404141541E0,-1.872755585E0
3.933322083E-1,-7.910749512E0,-4.568200378E0,-1.885179749E0
4.032792083E-1,-8.063132629E0,-4.750670929E0,-1.869612122E0
4.132262083E-1,-8.206983490E0,-4.866529999E0,-1.890867920E0
4.231742083E-1,-8.282127228E0,-4.891827393E0,-1.889969788E0
4.331212083E-1,-8.324040070E0,-4.875960388E0,-1.945204926E0
4.430682083E-1,-8.339907074E0,-4.859794006E0,-2.025587769E0
