"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.782620832E-2,-3.277864307E-2,4.448681697E-2,1.916631162E-1
2.777420833E-2,-2.147539146E-2,5.034177750E-2,1.946708858E-1
3.772120833E-2,-9.375998750E-3,3.186315671E-2,1.949846298E-1
4.766820832E-2,6.197101902E-3,2.010583505E-2,1.880300492E-1
5.761520832E-2,7.792456076E-3,2.613532171E-2,1.794169545E-1
6.756220832E-2,6.257143803E-3,4.994264990E-2,1.704106778E-1
7.750920832E-2,1.906847465E-3,6.920091808E-2,1.572367847E-1
8.745720833E-2,-1.895081252E-3,6.295526773E-2,1.398679167E-1
9.740420833E-2,-7.197236642E-3,4.823536053E-2,1.225181371E-1
1.073512083E-1,1.557905111E-3,1.892221346E-2,1.084063128E-1
1.172982083E-1,1.762177050E-2,5.713826977E-3,9.090460837E-2
1.272452083E-1,2.774657682E-2,8.215334266E-3,8.222004026E-2
1.371922083E-1,3.144408762E-2,4.306926858E-3,7.743876427E-2
1.471402083E-1,3.250961751E-2,-1.999404049E-4,7.253082842E-2
1.570872083E-1,3.177124262E-2,-1.088135596E-2,7.858501375E-2
1.670342083E-1,3.782860562E-2,-2.018724009E-2,8.387804031E-2
1.769812083E-1,4.769658297E-2,-2.653332613E-2,9.226814657E-2
1.869282083E-1,5.532734096E-2,-1.695620012E-3,9.763868153E-2
1.968752083E-1,5.238938704E-2,4.263675958E-2,1.043731421E-1
2.068232083E-1,4.417699948E-2,8.178176731E-2,1.139642522E-1
2.167702083E-1,3.673680499E-2,1.120042279E-1,1.217441931E-1
2.267172083E-1,3.126267716E-2,1.201103553E-1,1.296335310E-1
2.366642083E-1,3.234167397E-2,1.092479676E-1,1.355671287E-1
2.466112083E-1,3.909092024E-2,1.006965563E-1,1.464083195E-1
2.565582083E-1,4.306493700E-2,8.459308743E-2,1.555525213E-1
2.665062083E-1,3.777163848E-2,7.907874882E-2,1.704441160E-1
2.764532083E-1,3.065257147E-2,6.111160293E-2,1.821793318E-1
2.864002083E-1,2.764106914E-2,5.260706320E-2,1.967881024E-1
2.963472083E-1,2.414581738E-2,3.121986054E-2,2.013967633E-1
3.062942083E-1,1.819604822E-2,8.690316230E-3,2.058019042E-1
3.162412083E-1,5.859630648E-3,3.104344010E-3,1.984946877E-1
3.261892083E-1,-1.116595790E-2,4.923815839E-3,1.835681945E-1
3.361362083E-1,-3.526265174E-2,9.511534125E-3,1.738707870E-1
3.460832083E-1,-5.602997914E-2,2.145048417E-2,1.653486639E-1
3.560302083E-1,-7.364117354E-2,3.935353830E-2,1.583870053E-1
3.659772083E-1,-9.141031653E-2,6.426367909E-2,1.587361544E-1
3.759242083E-1,-9.493348002E-2,8.396076411E-2,1.588763297E-1
3.858722083E-1,-1.000225171E-1,1.011669114E-1,1.564632356E-1
3.958192083E-1,-1.074326113E-1,1.183581054E-1,1.457825005E-1
4.057662083E-1,-1.195057854E-1,1.312898695E-1,1.445097774E-1
4.157132083E-1,-1.281458884E-1,1.258106530E-1,1.485969573E-1
4.256602083E-1,-1.308207661E-1,1.156000942E-1,1.575124264E-1
4.356082083E-1,-1.232554466E-1,1.035792381E-1,1.724504083E-1
4.455552083E-1,-1.192503199E-1,8.581276238E-2,1.910166293E-1
4.555022083E-1,-1.081431434E-1,8.848728985E-2,2.110208869E-1
4.654492083E-1,-9.853285551E-2,9.613642097E-2,2.351999879E-1
4.753962083E-1,-9.981798381E-2,1.029217690E-1,2.583886087E-1
4.853432083E-1,-9.351694584E-2,1.006216034E-1,2.805032432E-1
4.952912083E-1,-9.866684675E-2,9.005699307E-2,2.986374497E-1
5.052382083E-1,-9.655229747E-2,6.515350938E-2,3.173283339E-1
5.151852083E-1,-9.832416475E-2,4.869775847E-2,3.268013597E-1
5.251322083E-1,-9.671747684E-2,5.476603657E-2,3.356590569E-1
5.350792083E-1,-1.023394987E-1,5.164860934E-2,3.384339511E-1
5.450272083E-1,-1.059254482E-1,5.450511351E-2,3.428055346E-1
5.549742083E-1,-1.191014200E-1,5.164142698E-2,3.481101990E-1
5.649212083E-1,-1.367914677E-1,5.151892453E-2,3.548192382E-1
5.748682083E-1,-1.539683342E-1,5.836004019E-2,3.593759835E-1
5.848152083E-1,-1.726504117E-1,6.150496751E-2,3.666447997E-1
5.947582083E-1,-1.893407851E-1,6.282906234E-2,3.759552538E-1
6.047062083E-1,-2.081347257E-1,7.118073851E-2,3.929491341E-1
6.146532083E-1,-2.243258804E-1,7.848186046E-2,4.115825891E-1
6.246002083E-1,-2.435837388E-1,7.660859078E-2,4.336876273E-1
6.345472083E-1,-2.533997595E-1,7.233220339E-2,4.583081007E-1
6.444942083E-1,-2.735486925E-1,6.604447961E-2,4.799995422E-1
6.544422083E-1,-2.771453261E-1,5.077037588E-2,5.047907829E-1
6.643892083E-1,-2.765261233E-1,3.033754230E-2,5.221380591E-1
